YEAR/MONTH;H_VIAXEIROS;H_NOITES;H_ESTAD_MEDIA;TR_VIAXEIROS;TR_NOITES;TR_ESTAD_MEDIA;DE_ONDE;PROVINCIA
2021/Outubro;63333;99560;1,6;5319;9081;1,7;Todas as procedencias;LUGO
2021/Novembro;29958;50972;1,7;2201;3830;1,7;Todas as procedencias;LUGO
2021/Decembro;20448;37514;1,8;1740;3331;1,9;Todas as procedencias;LUGO
2022/Xaneiro;16206;29216;1,8;424;841;2;Todas as procedencias;LUGO
2022/Febreiro;22040;38897;1,8;590;1118;1,9;Todas as procedencias;LUGO
2022/Marzo;29502;49475;1,7;1082;1888;1,8;Todas as procedencias;LUGO
2022/Abril;58770;88645;1,5;4943;8195;1,7;Todas as procedencias;LUGO
2022/Maio;71720;99385;1,4;5452;7180;1,3;Todas as procedencias;LUGO
2022/Xu–o;73618;110995;1,5;5340;7947;1,5;Todas as procedencias;LUGO
2022/Xullo;91004;148583;1,6;8699;17703;2,2;Todas as procedencias;LUGO
2022/Agosto;108580;190988;1,8;11386;28673;2,5;Todas as procedencias;LUGO
2022/Setembro;93780;138531;1,5;6731;11935;1,7;Todas as procedencias;LUGO
2022/Outubro;67595;103685;1,5;5222;7857;1,5;Todas as procedencias;LUGO
2022/Novembro;30648;53133;1,7;2343;3529;1,6;Todas as procedencias;LUGO
2022/Decembro;24718;43356;1,8;1571;3487;2,3;Todas as procedencias;LUGO
2023/Xaneiro;20219;36160;1,8;341;764;2,1;Todas as procedencias;LUGO
2023/Febreiro;23034;40885;1,8;833;1341;1,6;Todas as procedencias;LUGO
2023/Marzo;34343;57505;1,7;1053;1772;1,7;Todas as procedencias;LUGO
2023/Abril;65688;102191;1,6;3309;6204;1,8;Todas as procedencias;LUGO
2023/Maio;76538;109585;1,4;3608;4807;1,3;Todas as procedencias;LUGO
2023/Xu–o;79746;120575;1,5;4167;7196;1,7;Todas as procedencias;LUGO
2023/Xullo;83246;144236;1,7;6149;13729;2,2;Todas as procedencias;LUGO
2023/Agosto;101454;199270;2;8571;24443;2,9;Todas as procedencias;LUGO
2023/Setembro;93714;141255;1,5;5768;10314;1,8;Todas as procedencias;LUGO
2023/Outubro;69142;110904;1,6;3885;7489;1,9;Todas as procedencias;LUGO
2023/Novembro;29696;54775;1,8;1956;3119;1,6;Todas as procedencias;LUGO
2023/Decembro;23920;46627;2;1790;3939;2,2;Todas as procedencias;LUGO
2017/Xaneiro;17153;30467;..;1453;2699;..;Residentes en Espa–a;LUGO
2017/Febreiro;19185;33240;..;1276;1977;..;Residentes en Espa–a;LUGO
2017/Marzo;25156;45445;..;2034;3099;..;Residentes en Espa–a;LUGO
2017/Abril;46124;77464;..;4595;8909;..;Residentes en Espa–a;LUGO
2017/Maio;36243;62840;..;2912;4631;..;Residentes en Espa–a;LUGO
2017/Xu–o;44039;78797;..;3579;5814;..;Residentes en Espa–a;LUGO
2017/Xullo;63572;111933;..;6217;14968;..;Residentes en Espa–a;LUGO
2017/Agosto;81071;150697;..;10498;27560;..;Residentes en Espa–a;LUGO
2017/Setembro;48923;81147;..;4845;8834;..;Residentes en Espa–a;LUGO
2017/Outubro;43042;80656;..;3877;7346;..;Residentes en Espa–a;LUGO
2017/Novembro;25133;53424;..;2684;4634;..;Residentes en Espa–a;LUGO
2017/Decembro;23311;46281;..;2542;5597;..;Residentes en Espa–a;LUGO
2018/Xaneiro;19246;33662;..;1178;1751;..;Residentes en Espa–a;LUGO
