YEAR/MONTH;H_VIAXEIROS;H_NOITES;H_ESTAD_MEDIA;TR_VIAXEIROS;TR_NOITES;TR_ESTAD_MEDIA;DE_ONDE;PROVINCIA
2022/Setembro;34395;69572;2;3427;6520;1,9;Todas as procedencias;OURENSE
2022/Outubro;32049;66701;2,1;2952;5170;1,7;Todas as procedencias;OURENSE
2022/Novembro;24774;48934;2;1864;2782;1,5;Todas as procedencias;OURENSE
2022/Decembro;22672;40562;1,8;1691;2986;1,8;Todas as procedencias;OURENSE
2023/Xaneiro;17797;32380;1,8;1136;1706;1,4;Todas as procedencias;OURENSE
2023/Febreiro;22574;40016;1,8;1692;2641;1,5;Todas as procedencias;OURENSE
2023/Marzo;23332;42775;1,8;1627;2406;1,5;Todas as procedencias;OURENSE
2023/Abril;32563;63101;1,9;3338;6111;1,8;Todas as procedencias;OURENSE
2023/Maio;28310;58111;2,1;2297;3225;1,4;Todas as procedencias;OURENSE
2023/Xu–o;31178;61720;2;2762;4324;1,6;Todas as procedencias;OURENSE
2023/Xullo;32620;68550;2,1;4263;8317;2;Todas as procedencias;OURENSE
2023/Agosto;44065;90314;2,1;5993;12335;2,1;Todas as procedencias;OURENSE
2023/Setembro;36263;72467;2;4171;7036;1,7;Todas as procedencias;OURENSE
2023/Outubro;31903;66360;2,1;2919;4825;1,7;Todas as procedencias;OURENSE
2023/Novembro;23491;48263;2,1;1413;2133;1,5;Todas as procedencias;OURENSE
2023/Decembro;26076;44976;1,7;2099;3616;1,7;Todas as procedencias;OURENSE
2017/Xaneiro;16123;27004;..;1124;1579;..;Residentes en Espa–a;OURENSE
2017/Febreiro;18141;30178;..;1334;2049;..;Residentes en Espa–a;OURENSE
2017/Marzo;20195;36087;..;1651;2427;..;Residentes en Espa–a;OURENSE
2017/Abril;25163;52335;..;2680;4773;..;Residentes en Espa–a;OURENSE
2017/Maio;22379;42869;..;1571;2652;..;Residentes en Espa–a;OURENSE
2017/Xu–o;24524;47265;..;1822;2933;..;Residentes en Espa–a;OURENSE
2017/Xullo;28142;54578;..;3325;5809;..;Residentes en Espa–a;OURENSE
2017/Agosto;35370;73241;..;4526;10003;..;Residentes en Espa–a;OURENSE
2017/Setembro;26953;56070;..;2591;4046;..;Residentes en Espa–a;OURENSE
2017/Outubro;25301;52262;..;2391;3963;..;Residentes en Espa–a;OURENSE
2017/Novembro;21527;42409;..;1754;2600;..;Residentes en Espa–a;OURENSE
2017/Decembro;18433;31693;..;1786;3338;..;Residentes en Espa–a;OURENSE
2018/Xaneiro;16645;25873;..;1436;1969;..;Residentes en Espa–a;OURENSE
2018/Febreiro;19677;31679;..;2228;3687;..;Residentes en Espa–a;OURENSE
2018/Marzo;27344;48992;..;2945;4989;..;Residentes en Espa–a;OURENSE
2018/Abril;23238;44786;..;1992;3446;..;Residentes en Espa–a;OURENSE
2018/Maio;23998;43418;..;2193;3192;..;Residentes en Espa–a;OURENSE
2018/Xu–o;25353;49677;..;2395;3633;..;Residentes en Espa–a;OURENSE
2018/Xullo;25989;50914;..;3403;6430;..;Residentes en Espa–a;OURENSE
2018/Agosto;35014;71544;..;5468;11659;..;Residentes en Espa–a;OURENSE
2018/Setembro;28992;56772;..;2829;4442;..;Residentes en Espa–a;OURENSE
2018/Outubro;27644;52690;..;2525;4230;..;Residentes en Espa–a;OURENSE
2018/Novembro;24376;45313;..;2263;3603;..;Residentes en Espa–a;OURENSE
2018/Decembro;19594;32621;..;2057;3537;..;Residentes en Espa–a;OURENSE
2019/Xaneiro;15911;25716;..;1296;1847;..;Residentes en Espa–a;OURENSE
2019/Febreiro;18899;31071;..;1630;2535;..;Residentes en Espa–a;OURENSE
2019/Marzo;25776;44128;..;2124;3405;..;Residentes en Espa–a;OURENSE
2019/Abril;28410;51504;..;2708;5173;..;Residentes en Espa–a;OURENSE
2019/Maio;24912;45583;..;2075;3419;..;Residentes en Espa–a;OURENSE
2019/Xu–o;25377;46840;..;2504;3911;..;Residentes en Espa–a;OURENSE
2019/Xullo;31322;58729;..;3098;5743;..;Residentes en Espa–a;OURENSE
2019/Agosto;39201;80492;..;5123;11830;..;Residentes en Espa–a;OURENSE
2019/Setembro;30828;59695;..;2828;5002;..;Residentes en Espa–a;OURENSE
2019/Outubro;28890;54661;..;2387;3887;..;Residentes en Espa–a;OURENSE
2019/Novembro;25953;50976;..;1767;2770;..;Residentes en Espa–a;OURENSE
2019/Decembro;22353;38676;..;1776;3045;..;Residentes en Espa–a;OURENSE
2020/Xaneiro;17556;27739;..;1249;1789;..;Residentes en Espa–a;OURENSE
2020/Febreiro;23480;37604;..;1615;2801;..;Residentes en Espa–a;OURENSE
2020/Marzo;13581;26250;..;378;560;..;Residentes en Espa–a;OURENSE
2020/Abril;0;0;..;..;..;..;Residentes en Espa–a;OURENSE
2020/Maio;876;2969;..;..;..;..;Residentes en Espa–a;OURENSE
2020/Xu–o;8032;14548;..;837;1247;..;Residentes en Espa–a;OURENSE
2020/Xullo;18086;35776;..;3087;6212;..;Residentes en Espa–a;OURENSE
2020/Agosto;29238;60127;..;5547;12743;..;Residentes en Espa–a;OURENSE
2020/Setembro;19120;35439;..;2500;4501;..;Residentes en Espa–a;OURENSE
2020/Outubro;11576;22426;..;1341;2543;..;Residentes en Espa–a;OURENSE
2020/Novembro;7451;14576;..;..;..;..;Residentes en Espa–a;OURENSE
2020/Decembro;8972;16995;..;359;539;..;Residentes en Espa–a;OURENSE
2021/Xaneiro;6801;13201;..;332;527;..;Residentes en Espa–a;OURENSE
2021/Febreiro;6118;12598;..;87;163;..;Residentes en Espa–a;OURENSE
2021/Marzo;12148;20654;..;916;1471;..;Residentes en Espa–a;OURENSE
2021/Abril;14687;25834;..;1625;2577;..;Residentes en Espa–a;OURENSE
2021/Maio;17149;30684;..;2022;3190;..;Residentes en Espa–a;OURENSE
2021/Xu–o;19174;35992;..;2312;3880;..;Residentes en Espa–a;OURENSE
2021/Xullo;29725;57325;..;4707;10420;..;Residentes en Espa–a;OURENSE
2021/Agosto;39765;80346;..;6313;15480;..;Residentes en Espa–a;OURENSE
2021/Setembro;28985;55691;..;3698;6747;..;Residentes en Espa–a;OURENSE
2021/Outubro;27606;54396;..;3327;5892;..;Residentes en Espa–a;OURENSE
2021/Novembro;21166;37297;..;2037;3548;..;Residentes en Espa–a;OURENSE
2021/Decembro;19722;33778;..;1931;3271;..;Residentes en Espa–a;OURENSE
2022/Xaneiro;13326;22295;..;960;1361;..;Residentes en Espa–a;OURENSE
2022/Febreiro;19981;33530;..;1416;2143;..;Residentes en Espa–a;OURENSE
2022/Marzo;20122;37591;..;1187;1774;..;Residentes en Espa–a;OURENSE
2022/Abril;26880;50592;..;2702;5505;..;Residentes en Espa–a;OURENSE
2022/Maio;25904;52343;..;2298;3684;..;Residentes en Espa–a;OURENSE
2022/Xu–o;27538;54155;..;2432;4141;..;Residentes en Espa–a;OURENSE
2022/Xullo;28671;55533;..;3881;7646;..;Residentes en Espa–a;OURENSE
2022/Agosto;40206;81506;..;5036;12094;..;Residentes en Espa–a;OURENSE
2022/Setembro;29880;60385;..;3189;5982;..;Residentes en Espa–a;OURENSE
2022/Outubro;28596;59234;..;2747;4703;..;Residentes en Espa–a;OURENSE
2022/Novembro;22520;43873;..;1596;2421;..;Residentes en Espa–a;OURENSE
2022/Decembro;20757;36149;..;1557;2790;..;Residentes en Espa–a;OURENSE
2023/Xaneiro;15476;27125;..;1184;1687;..;Residentes en Espa–a;OURENSE
2023/Febreiro;19604;33295;..;1685;2393;..;Residentes en Espa–a;OURENSE
2023/Marzo;21710;39005;..;1476;2160;..;Residentes en Espa–a;OURENSE
2023/Abril;28533;55672;..;2787;5183;..;Residentes en Espa–a;OURENSE
2023/Maio;24706;50146;..;1758;2469;..;Residentes en Espa–a;OURENSE
2023/Xu–o;27081;54445;..;2250;3537;..;Residentes en Espa–a;OURENSE
2023/Xullo;29303;62122;..;3693;7260;..;Residentes en Espa–a;OURENSE
2023/Agosto;37842;78054;..;5166;10874;..;Residentes en Espa–a;OURENSE
2023/Setembro;31140;63429;..;3461;5842;..;Residentes en Espa–a;OURENSE
2023/Outubro;28263;58527;..;2347;3946;..;Residentes en Espa–a;OURENSE
2023/Novembro;21651;42866;..;1277;1934;..;Residentes en Espa–a;OURENSE
2023/Decembro;23852;40677;..;1817;3127;..;Residentes en Espa–a;OURENSE
2017/Xaneiro;1336;3480;..;149;285;..;Residentes no estranxeiro;OURENSE
2017/Febreiro;1891;4141;..;184;330;..;Residentes no estranxeiro;OURENSE
2017/Marzo;1851;5487;..;62;100;..;Residentes no estranxeiro;OURENSE
2017/Abril;3309;7551;..;209;367;..;Residentes no estranxeiro;OURENSE
2017/Maio;3218;6011;..;396;741;..;Residentes no estranxeiro;OURENSE
2017/Xu–o;3904;7610;..;301;517;..;Residentes no estranxeiro;OURENSE
2017/Xullo;3617;7951;..;467;1018;..;Residentes no estranxeiro;OURENSE
2017/Agosto;4695;9836;..;505;1099;..;Residentes no estranxeiro;OURENSE
2017/Setembro;4388;8647;..;446;711;..;Residentes no estranxeiro;OURENSE
2017/Outubro;3046;6229;..;250;426;..;Residentes no estranxeiro;OURENSE
2017/Novembro;1713;3709;..;43;58;..;Residentes no estranxeiro;OURENSE
2017/Decembro;1801;3862;..;78;132;..;Residentes no estranxeiro;OURENSE
2018/Xaneiro;1862;3184;..;185;360;..;Residentes no estranxeiro;OURENSE
2018/Febreiro;2528;5541;..;236;432;..;Residentes no estranxeiro;OURENSE
2018/Marzo;2067;4746;..;243;501;..;Residentes no estranxeiro;OURENSE
2018/Abril;3239;5901;..;257;417;..;Residentes no estranxeiro;OURENSE
2018/Maio;4070;8200;..;266;444;..;Residentes no estranxeiro;OURENSE
2018/Xu–o;3554;6902;..;389;843;..;Residentes no estranxeiro;OURENSE
2018/Xullo;5506;10600;..;463;951;..;Residentes no estranxeiro;OURENSE
2018/Agosto;5920;10392;..;626;1455;..;Residentes no estranxeiro;OURENSE
2018/Setembro;5748;9256;..;392;742;..;Residentes no estranxeiro;OURENSE
2018/Outubro;4353;7823;..;314;507;..;Residentes no estranxeiro;OURENSE
2018/Novembro;2029;5226;..;104;217;..;Residentes no estranxeiro;OURENSE
2018/Decembro;3097;6207;..;88;277;..;Residentes no estranxeiro;OURENSE
2019/Xaneiro;1812;5110;..;191;312;..;Residentes no estranxeiro;OURENSE
2019/Febreiro;1760;4948;..;125;192;..;Residentes no estranxeiro;OURENSE
2019/Marzo;2424;7085;..;138;248;..;Residentes no estranxeiro;OURENSE
2019/Abril;3178;6890;..;261;617;..;Residentes no estranxeiro;OURENSE
2019/Maio;4309;8672;..;450;823;..;Residentes no estranxeiro;OURENSE
2019/Xu–o;4715;8909;..;495;987;..;Residentes no estranxeiro;OURENSE
2019/Xullo;3977;8221;..;690;1605;..;Residentes no estranxeiro;OURENSE
2019/Agosto;5835;11705;..;1022;1923;..;Residentes no estranxeiro;OURENSE
2019/Setembro;5141;10199;..;582;1020;..;Residentes no estranxeiro;OURENSE
2019/Outubro;3884;6285;..;216;307;..;Residentes no estranxeiro;OURENSE
2019/Novembro;2471;5932;..;113;209;..;Residentes no estranxeiro;OURENSE
2019/Decembro;2567;6421;..;143;250;..;Residentes no estranxeiro;OURENSE
2020/Xaneiro;2061;5089;..;136;212;..;Residentes no estranxeiro;OURENSE
2020/Febreiro;2871;6914;..;137;187;..;Residentes no estranxeiro;OURENSE
2020/Marzo;1791;5316;..;27;27;..;Residentes no estranxeiro;OURENSE
2020/Abril;0;0;..;..;..;..;Residentes no estranxeiro;OURENSE
2020/Maio;16;81;..;..;..;..;Residentes no estranxeiro;OURENSE
2020/Xu–o;266;1110;..;0;0;..;Residentes no estranxeiro;OURENSE
2020/Xullo;1269;2963;..;284;882;..;Residentes no estranxeiro;OURENSE
2020/Agosto;2120;4696;..;410;1052;..;Residentes no estranxeiro;OURENSE
2020/Setembro;1517;3423;..;167;370;..;Residentes no estranxeiro;OURENSE
2020/Outubro;894;2267;..;40;76;..;Residentes no estranxeiro;OURENSE
2020/Novembro;428;681;..;..;..;..;Residentes no estranxeiro;OURENSE
2020/Decembro;506;846;..;0;0;..;Residentes no estranxeiro;OURENSE
2021/Xaneiro;465;753;..;0;0;..;Residentes no estranxeiro;OURENSE
2021/Febreiro;558;748;..;0;0;..;Residentes no estranxeiro;OURENSE
2021/Marzo;640;841;..;27;40;..;Residentes no estranxeiro;OURENSE
2021/Abril;1054;1356;..;5;5;..;Residentes no estranxeiro;OURENSE
2021/Maio;1158;1790;..;131;205;..;Residentes no estranxeiro;OURENSE
2021/Xu–o;2243;3221;..;247;394;..;Residentes no estranxeiro;OURENSE
2021/Xullo;2183;4410;..;423;1029;..;Residentes no estranxeiro;OURENSE
2021/Agosto;3603;6060;..;598;1150;..;Residentes no estranxeiro;OURENSE
2021/Setembro;2998;4731;..;519;1001;..;Residentes no estranxeiro;OURENSE
2021/Outubro;3191;4381;..;382;664;..;Residentes no estranxeiro;OURENSE
2021/Novembro;1749;2867;..;107;169;..;Residentes no estranxeiro;OURENSE
2021/Decembro;1290;2430;..;93;165;..;Residentes no estranxeiro;OURENSE
2022/Xaneiro;959;2030;..;60;92;..;Residentes no estranxeiro;OURENSE
2022/Febreiro;1733;3079;..;53;66;..;Residentes no estranxeiro;OURENSE
2022/Marzo;1427;2995;..;78;128;..;Residentes no estranxeiro;OURENSE
2022/Abril;2827;5796;..;394;670;..;Residentes no estranxeiro;OURENSE
2022/Maio;3530;5808;..;481;674;..;Residentes no estranxeiro;OURENSE
2022/Xu–o;4128;6496;..;494;764;..;Residentes no estranxeiro;OURENSE
2022/Xullo;4180;9900;..;592;1201;..;Residentes no estranxeiro;OURENSE
2022/Agosto;5437;12648;..;886;2054;..;Residentes no estranxeiro;OURENSE
2022/Setembro;4515;9187;..;534;896;..;Residentes no estranxeiro;OURENSE
2022/Outubro;3452;7467;..;381;605;..;Residentes no estranxeiro;OURENSE
2022/Novembro;2254;5061;..;149;185;..;Residentes no estranxeiro;OURENSE
2022/Decembro;1914;4412;..;134;196;..;Residentes no estranxeiro;OURENSE
2023/Xaneiro;2320;5255;..;152;240;..;Residentes no estranxeiro;OURENSE
2023/Febreiro;2971;6721;..;282;460;..;Residentes no estranxeiro;OURENSE
2023/Marzo;1622;3770;..;195;276;..;Residentes no estranxeiro;OURENSE
2023/Abril;4030;7428;..;517;706;..;Residentes no estranxeiro;OURENSE
2023/Maio;3605;7964;..;539;756;..;Residentes no estranxeiro;OURENSE
2023/Xu–o;4097;7275;..;512;787;..;Residentes no estranxeiro;OURENSE
2023/Xullo;3317;6429;..;570;1057;..;Residentes no estranxeiro;OURENSE
2023/Agosto;6223;12260;..;827;1461;..;Residentes no estranxeiro;OURENSE
2023/Setembro;5123;9038;..;710;1194;..;Residentes no estranxeiro;OURENSE
2023/Outubro;3641;7833;..;572;879;..;Residentes no estranxeiro;OURENSE
2023/Novembro;1840;5398;..;136;199;..;Residentes no estranxeiro;OURENSE
2023/Decembro;2224;4299;..;282;489;..;Residentes no estranxeiro;OURENSE
2017/Xaneiro;50618;94467;1,9;622;1173;1,9;Todas as procedencias;PONTEVEDRA
2017/Febreiro;55995;99695;1,8;948;1632;1,7;Todas as procedencias;PONTEVEDRA
2017/Marzo;62959;128397;2;1309;1991;1,5;Todas as procedencias;PONTEVEDRA
2017/Abril;110048;237045;2,2;4218;8718;2,1;Todas as procedencias;PONTEVEDRA
2017/Maio;101844;206432;2;3810;6378;1,7;Todas as procedencias;PONTEVEDRA
2017/Xu–o;145278;331055;2,3;5609;11739;2,1;Todas as procedencias;PONTEVEDRA
2017/Xullo;217137;575119;2,7;9630;24101;2,5;Todas as procedencias;PONTEVEDRA
2017/Agosto;255939;742105;2,9;10392;38088;3,7;Todas as procedencias;PONTEVEDRA
2017/Setembro;169669;411999;2,4;6739;14981;2,2;Todas as procedencias;PONTEVEDRA
2017/Outubro;131842;303644;2,3;4046;7673;1,9;Todas as procedencias;PONTEVEDRA
2017/Novembro;70833;151627;2,1;1509;2467;1,6;Todas as procedencias;PONTEVEDRA
2017/Decembro;67041;131594;2;2131;4665;2,2;Todas as procedencias;PONTEVEDRA
2018/Xaneiro;53592;106683;2;739;1253;1,7;Todas as procedencias;PONTEVEDRA
2018/Febreiro;54815;97830;1,8;933;1410;1,5;Todas as procedencias;PONTEVEDRA
2018/Marzo;79276;163283;2,1;2300;4352;1,9;Todas as procedencias;PONTEVEDRA
2018/Abril;93455;200568;2,2;2463;3935;1,6;Todas as procedencias;PONTEVEDRA
2018/Maio;108331;216829;2;3938;5819;1,5;Todas as procedencias;PONTEVEDRA
2018/Xu–o;138223;318817;2,3;5113;9411;1,8;Todas as procedencias;PONTEVEDRA
2018/Xullo;189064;514263;2,7;7599;18729;2,5;Todas as procedencias;PONTEVEDRA
2018/Agosto;239567;696054;2,9;10755;34671;3,2;Todas as procedencias;PONTEVEDRA
2018/Setembro;174051;412049;2,4;6544;12204;1,9;Todas as procedencias;PONTEVEDRA
2018/Outubro;121001;290816;2,4;4070;7243;1,8;Todas as procedencias;PONTEVEDRA
2018/Novembro;74003;160766;2,2;1731;2914;1,7;Todas as procedencias;PONTEVEDRA
2018/Decembro;75562;144477;1,9;1916;3659;1,9;Todas as procedencias;PONTEVEDRA
2019/Xaneiro;51325;98729;1,9;891;2331;2,6;Todas as procedencias;PONTEVEDRA
2019/Febreiro;54567;102028;1,9;1273;2815;2,2;Todas as procedencias;PONTEVEDRA
2019/Marzo;73464;153132;2,1;1716;3632;2,1;Todas as procedencias;PONTEVEDRA
2019/Abril;114997;243281;2,1;3717;7458;2;Todas as procedencias;PONTEVEDRA
2019/Maio;125728;254180;2;4498;7609;1,7;Todas as procedencias;PONTEVEDRA
2019/Xu–o;157260;341940;2,2;5268;9001;1,7;Todas as procedencias;PONTEVEDRA
2019/Xullo;204110;550240;2,7;7618;21316;2,8;Todas as procedencias;PONTEVEDRA
2019/Agosto;242912;708404;2,9;11233;34644;3,1;Todas as procedencias;PONTEVEDRA
2019/Setembro;186163;431245;2,3;5720;11427;2;Todas as procedencias;PONTEVEDRA
2019/Outubro;128728;276818;2,2;3132;5294;1,7;Todas as procedencias;PONTEVEDRA
2019/Novembro;77352;160880;2,1;1933;3039;1,6;Todas as procedencias;PONTEVEDRA
2019/Decembro;91500;173433;1,9;2833;5891;2,1;Todas as procedencias;PONTEVEDRA
2020/Xaneiro;56534;104239;1,8;970;1561;1,6;Todas as procedencias;PONTEVEDRA
2020/Febreiro;59491;111021;1,9;1413;2084;1,5;Todas as procedencias;PONTEVEDRA
2020/Marzo;25372;52100;2,1;401;669;1,7;Todas as procedencias;PONTEVEDRA
2020/Abril;0;0;0;..;..;..;Todas as procedencias;PONTEVEDRA
2020/Maio;1446;8094;5,6;..;..;1,4;Todas as procedencias;PONTEVEDRA
2020/Xu–o;19264;48842;2,5;1444;2985;2,1;Todas as procedencias;PONTEVEDRA
2020/Xullo;111504;297294;2,7;4339;15668;3,6;Todas as procedencias;PONTEVEDRA
2020/Agosto;154644;433066;2,8;7355;26230;3,6;Todas as procedencias;PONTEVEDRA
2020/Setembro;78894;180006;2,3;2958;6817;2,3;Todas as procedencias;PONTEVEDRA
2020/Outubro;48804;95659;2;1042;1724;1,7;Todas as procedencias;PONTEVEDRA
2020/Novembro;16073;39761;2,5;119;145;1,7;Todas as procedencias;PONTEVEDRA
2020/Decembro;15061;34198;2,3;356;582;1,6;Todas as procedencias;PONTEVEDRA
2021/Xaneiro;12643;34487;2,7;152;205;1,4;Todas as procedencias;PONTEVEDRA
2021/Febreiro;13303;31382;2,4;122;189;1,6;Todas as procedencias;PONTEVEDRA
2021/Marzo;27575;54165;2;890;1206;1,4;Todas as procedencias;PONTEVEDRA
2021/Abril;28722;55226;1,9;1253;2157;1,7;Todas as procedencias;PONTEVEDRA
2021/Maio;50219;92425;1,8;1999;2669;1,3;Todas as procedencias;PONTEVEDRA
2021/Xu–o;93828;202148;2,2;3097;5962;1,9;Todas as procedencias;PONTEVEDRA
2021/Xullo;171704;465081;2,7;7714;21833;2,8;Todas as procedencias;PONTEVEDRA
2021/Agosto;224848;654137;2,9;9944;31971;3,2;Todas as procedencias;PONTEVEDRA
2021/Setembro;148061;356440;2,4;5803;11831;2;Todas as procedencias;PONTEVEDRA
2021/Outubro;120871;260699;2,2;3927;7107;1,8;Todas as procedencias;PONTEVEDRA
2021/Novembro;69371;139492;2;2357;3548;1,5;Todas as procedencias;PONTEVEDRA
2021/Decembro;75764;149574;2;2541;4918;1,9;Todas as procedencias;PONTEVEDRA
2022/Xaneiro;35887;70829;2;900;1359;1,5;Todas as procedencias;PONTEVEDRA
2022/Febreiro;50256;93623;1,9;1138;2055;1,8;Todas as procedencias;PONTEVEDRA
2022/Marzo;57999;122593;2,1;1433;2160;1,5;Todas as procedencias;PONTEVEDRA
2022/Abril;109089;221392;2;4214;8372;2;Todas as procedencias;PONTEVEDRA
2022/Maio;123231;242198;2;6059;9888;1,6;Todas as procedencias;PONTEVEDRA
2022/Xu–o;149029;327517;2,2;5790;11125;1,9;Todas as procedencias;PONTEVEDRA
2022/Xullo;218175;561365;2,6;6800;21446;2,9;Todas as procedencias;PONTEVEDRA
2022/Agosto;255637;695796;2,7;9707;30202;3,2;Todas as procedencias;PONTEVEDRA
2022/Setembro;182605;415227;2,3;5910;10966;1,9;Todas as procedencias;PONTEVEDRA
2022/Outubro;132417;300500;2,3;3472;6757;1,9;Todas as procedencias;PONTEVEDRA
2022/Novembro;76238;164056;2,2;1995;3465;1,7;Todas as procedencias;PONTEVEDRA
2022/Decembro;104191;184171;1,8;2685;5353;2;Todas as procedencias;PONTEVEDRA
2023/Xaneiro;60737;102577;1,7;1040;2048;2;Todas as procedencias;PONTEVEDRA
2023/Febreiro;55242;96830;1,8;894;1778;2;Todas as procedencias;PONTEVEDRA
2023/Marzo;69616;129523;1,9;1482;2550;1,7;Todas as procedencias;PONTEVEDRA
2023/Abril;125715;244836;2;3634;6779;1,9;Todas as procedencias;PONTEVEDRA
2023/Maio;132781;244774;1,8;4116;6413;1,6;Todas as procedencias;PONTEVEDRA
2023/Xu–o;149008;311552;2,1;5201;9562;1,8;Todas as procedencias;PONTEVEDRA
2023/Xullo;216393;567456;2,6;7006;19504;2,8;Todas as procedencias;PONTEVEDRA
2023/Agosto;265838;707468;2,7;7877;31133;4;Todas as procedencias;PONTEVEDRA
2023/Setembro;188842;432655;2,3;5392;11023;2;Todas as procedencias;PONTEVEDRA
2023/Outubro;146007;310380;2,1;3214;5556;1,7;Todas as procedencias;PONTEVEDRA
2023/Novembro;84116;168100;2;1200;2654;2,2;Todas as procedencias;PONTEVEDRA
2023/Decembro;117777;200627;1,7;2938;6038;2,1;Todas as procedencias;PONTEVEDRA
2017/Xaneiro;42592;78672;..;596;1095;..;Residentes en Espa–a;PONTEVEDRA
2017/Febreiro;46202;82078;..;792;1182;..;Residentes en Espa–a;PONTEVEDRA
2017/Marzo;52755;107408;..;1087;1697;..;Residentes en Espa–a;PONTEVEDRA
2017/Abril;87323;193059;..;3288;7138;..;Residentes en Espa–a;PONTEVEDRA
2017/Maio;71050;153980;..;2164;3451;..;Residentes en Espa–a;PONTEVEDRA
2017/Xu–o;106767;261853;..;3684;7320;..;Residentes en Espa–a;PONTEVEDRA
2017/Xullo;173052;487168;..;7311;18068;..;Residentes en Espa–a;PONTEVEDRA
2017/Agosto;206653;632316;..;8041;28489;..;Residentes en Espa–a;PONTEVEDRA
2017/Setembro;122024;329829;..;4439;10592;..;Residentes en Espa–a;PONTEVEDRA
2017/Outubro;100183;247956;..;2597;4976;..;Residentes en Espa–a;PONTEVEDRA
2017/Novembro;60077;132070;..;1289;1902;..;Residentes en Espa–a;PONTEVEDRA
2017/Decembro;55885;110600;..;1963;4297;..;Residentes en Espa–a;PONTEVEDRA
2018/Xaneiro;45209;88749;..;718;1185;..;Residentes en Espa–a;PONTEVEDRA
2018/Febreiro;44496;77701;..;831;1148;..;Residentes en Espa–a;PONTEVEDRA
2018/Marzo;65243;135020;..;2075;3878;..;Residentes en Espa–a;PONTEVEDRA
2018/Abril;69686;154878;..;1993;3205;..;Residentes en Espa–a;PONTEVEDRA
2018/Maio;74112;162415;..;2539;3838;..;Residentes en Espa–a;PONTEVEDRA
2018/Xu–o;100052;246574;..;3873;6750;..;Residentes en Espa–a;PONTEVEDRA
2018/Xullo;145893;430926;..;6054;15029;..;Residentes en Espa–a;PONTEVEDRA
2018/Agosto;189670;583127;..;8609;28112;..;Residentes en Espa–a;PONTEVEDRA
2018/Setembro;120389;316528;..;4506;8809;..;Residentes en Espa–a;PONTEVEDRA
2018/Outubro;90289;233360;..;2774;4972;..;Residentes en Espa–a;PONTEVEDRA
2018/Novembro;62831;138817;..;1455;2504;..;Residentes en Espa–a;PONTEVEDRA
2018/Decembro;61200;118677;..;1736;3265;..;Residentes en Espa–a;PONTEVEDRA
2019/Xaneiro;43020;80593;..;824;2246;..;Residentes en Espa–a;PONTEVEDRA
2019/Febreiro;45825;85205;..;1177;1796;..;Residentes en Espa–a;PONTEVEDRA
2019/Marzo;58539;124565;..;1410;2450;..;Residentes en Espa–a;PONTEVEDRA
2019/Abril;82136;182240;..;2735;5584;..;Residentes en Espa–a;PONTEVEDRA
2019/Maio;80340;182361;..;3009;4931;..;Residentes en Espa–a;PONTEVEDRA
2019/Xu–o;104025;246253;..;4154;7233;..;Residentes en Espa–a;PONTEVEDRA
2019/Xullo;158326;451833;..;6122;16474;..;Residentes en Espa–a;PONTEVEDRA
2019/Agosto;187200;588862;..;9590;28838;..;Residentes en Espa–a;PONTEVEDRA
2019/Setembro;121528;320443;..;3974;8482;..;Residentes en Espa–a;PONTEVEDRA
2019/Outubro;93548;219033;..;2268;4156;..;Residentes en Espa–a;PONTEVEDRA
2019/Novembro;64208;136397;..;1866;2934;..;Residentes en Espa–a;PONTEVEDRA
2019/Decembro;79829;152264;..;2784;5805;..;Residentes en Espa–a;PONTEVEDRA
2020/Xaneiro;47932;87581;..;945;1527;..;Residentes en Espa–a;PONTEVEDRA
2020/Febreiro;48680;90457;..;1352;2018;..;Residentes en Espa–a;PONTEVEDRA
2020/Marzo;20008;41233;..;316;578;..;Residentes en Espa–a;PONTEVEDRA
2020/Abril;0;0;..;..;..;..;Residentes en Espa–a;PONTEVEDRA
2020/Maio;1236;6318;..;..;..;..;Residentes en Espa–a;PONTEVEDRA
2020/Xu–o;18340;43555;..;1442;2978;..;Residentes en Espa–a;PONTEVEDRA
2020/Xullo;100636;271180;..;4226;15369;..;Residentes en Espa–a;PONTEVEDRA
2020/Agosto;139227;396215;..;7073;25561;..;Residentes en Espa–a;PONTEVEDRA
2020/Setembro;70658;162323;..;2897;6724;..;Residentes en Espa–a;PONTEVEDRA
2020/Outubro;43180;84310;..;1021;1696;..;Residentes en Espa–a;PONTEVEDRA
2020/Novembro;14584;34346;..;..;..;..;Residentes en Espa–a;PONTEVEDRA
2020/Decembro;13637;29696;..;346;567;..;Residentes en Espa–a;PONTEVEDRA
2021/Xaneiro;10899;27351;..;150;203;..;Residentes en Espa–a;PONTEVEDRA
2021/Febreiro;11886;26272;..;122;189;..;Residentes en Espa–a;PONTEVEDRA
2021/Marzo;25730;49062;..;848;1128;..;Residentes en Espa–a;PONTEVEDRA
2021/Abril;26433;49995;..;1188;2065;..;Residentes en Espa–a;PONTEVEDRA
2021/Maio;44741;80553;..;1968;2611;..;Residentes en Espa–a;PONTEVEDRA
2021/Xu–o;76867;166315;..;2965;5667;..;Residentes en Espa–a;PONTEVEDRA
2021/Xullo;151982;423887;..;7502;21224;..;Residentes en Espa–a;PONTEVEDRA
2021/Agosto;194589;582620;..;9336;30738;..;Residentes en Espa–a;PONTEVEDRA
