"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoT"
"Total zona de costa","Indicador Poboación (2)","Todas",2020,"2020",2.12,"2,12"
"Total zona de costa","Indicador Poboación (2)","Todas",2021,"2021",3.52,"3,52"
"Total zona de costa","Indicador Poboación (2)","Todas",2022,"2022",4.48,"4,48"
"Total zona de costa","Indicador Poboación (2)","Todas",2023,"2023",4.74,"4,74"
"Total zona de costa","Indicador Poboación (2)","Fóra de Galicia",2011,"2011",2.30,"2,30"
"Total zona de costa","Indicador Poboación (2)","Fóra de Galicia",2017,"2017",3.07,"3,07"
"Total zona de costa","Indicador Poboación (2)","Fóra de Galicia",2018,"2018",2.87,"2,87"
"Total zona de costa","Indicador Poboación (2)","Fóra de Galicia",2019,"2019",3.13,"3,13"
"Total zona de costa","Indicador Poboación (2)","Fóra de Galicia",2020,"2020",1.30,"1,30"
"Total zona de costa","Indicador Poboación (2)","Fóra de Galicia",2021,"2021",2.30,"2,30"
"Total zona de costa","Indicador Poboación (2)","Fóra de Galicia",2022,"2022",3.14,"3,14"
"Total zona de costa","Indicador Poboación (2)","Fóra de Galicia",2023,"2023",3.26,"3,26"
"Total zona de costa","Indicador Estacional (1)","Todas",2011,"2011",43.8,"43,8"
"Total zona de costa","Indicador Estacional (1)","Todas",2017,"2017",36.6,"36,6"
"Total zona de costa","Indicador Estacional (1)","Todas",2018,"2018",43.2,"43,2"
"Total zona de costa","Indicador Estacional (1)","Todas",2019,"2019",42.3,"42,3"
"Total zona de costa","Indicador Estacional (1)","Todas",2020,"2020",56.7,"56,7"
"Total zona de costa","Indicador Estacional (1)","Todas",2021,"2021",51.0,"51,0"
"Total zona de costa","Indicador Estacional (1)","Todas",2022,"2022",43.3,"43,3"
"Total zona de costa","Indicador Estacional (1)","Todas",2023,"2023",37.5,"37,5"
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2011,"2011",43.6,"43,6"
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2017,"2017",44.4,"44,4"
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2018,"2018",49.8,"49,8"
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2019,"2019",41.9,"41,9"
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2020,"2020",57.6,"57,6"
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2021,"2021",53.9,"53,9"
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2022,"2022",42.6,"42,6"
"Total zona de costa","Indicador Estacional (1)","Fóra de Galicia",2023,"2023",43.0,"43,0"
"Total zona de costa","Indicador Estacional (2)","Todas",2011,"2011",,"-"
