"Destinos,""Indicadores"",""Orixe dos viaxeiros"",""CodTempo"",""Tempo"",""DatoN"",""DatoT"""
"Galicia,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.85,""0,85"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.72,""0,72"""
"Ancares - Courel,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",1.17,""1,17"""
"Celanova - Limia,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.33,""0,33"""
"Costa da Morte,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.72,""0,72"""
"Deza - Tabeir—s,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.27,""0,27"""
"Ferrolterra,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.50,""0,50"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.68,""0,68"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.58,""0,58"""
"Mari–a Lucense,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",1.17,""1,17"""
"O Ribeiro,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.48,""0,48"""
"R’a de Arousa,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",2.32,""2,32"""
"R’a de Muros e Noia,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.61,""0,61"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.54,""0,54"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.60,""0,60"""
"Ribeira Sacra,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",1.15,""1,15"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.49,""0,49"""
"Terras de Santiago,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",1.66,""1,66"""
"Ver’n - Viana,""Indicador Poboaci—n (1)"",""Todas"",2014,""2014"",0.51,""0,51"""
"Galicia,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",3.10,""3,10"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",2.64,""2,64"""
"Ancares - Courel,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",4.26,""4,26"""
"Celanova - Limia,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",1.19,""1,19"""
"Costa da Morte,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",2.62,""2,62"""
"Deza - Tabeir—s,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",0.98,""0,98"""
"Ferrolterra,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",1.82,""1,82"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",2.48,""2,48"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",2.10,""2,10"""
"Mari–a Lucense,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",4.25,""4,25"""
"O Ribeiro,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",1.75,""1,75"""
"R’a de Arousa,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",8.48,""8,48"""
"R’a de Muros e Noia,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",2.21,""2,21"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",1.98,""1,98"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",2.19,""2,19"""
"Ribeira Sacra,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",4.21,""4,21"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",1.80,""1,80"""
"Terras de Santiago,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",6.06,""6,06"""
"Ver’n - Viana,""Indicador Poboaci—n (2)"",""Todas"",2014,""2014"",1.86,""1,86"""
"Galicia,""Indicador Estacional (1)"",""Todas"",2014,""2014"",38.0,""38,0"""
"A Coru–a e As Mari–as,""Indicador Estacional (1)"",""Todas"",2014,""2014"",31.2,""31,2"""
"Ancares - Courel,""Indicador Estacional (1)"",""Todas"",2014,""2014"",35.8,""35,8"""
"Celanova - Limia,""Indicador Estacional (1)"",""Todas"",2014,""2014"",30.6,""30,6"""
"Costa da Morte,""Indicador Estacional (1)"",""Todas"",2014,""2014"",41.6,""41,6"""
"Deza - Tabeir—s,""Indicador Estacional (1)"",""Todas"",2014,""2014"",34.4,""34,4"""
"Ferrolterra,""Indicador Estacional (1)"",""Todas"",2014,""2014"",43.1,""43,1"""
"Lugo e a Terra Ch‡,""Indicador Estacional (1)"",""Todas"",2014,""2014"",27.3,""27,3"""
"Manzaneda - Trevinca,""Indicador Estacional (1)"",""Todas"",2014,""2014"",28.1,""28,1"""
"Mari–a Lucense,""Indicador Estacional (1)"",""Todas"",2014,""2014"",50.0,""50,0"""
"O Ribeiro,""Indicador Estacional (1)"",""Todas"",2014,""2014"",25.2,""25,2"""
"R’a de Arousa,""Indicador Estacional (1)"",""Todas"",2014,""2014"",55.6,""55,6"""
"R’a de Muros e Noia,""Indicador Estacional (1)"",""Todas"",2014,""2014"",60.2,""60,2"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (1)"",""Todas"",2014,""2014"",38.5,""38,5"""
"R’a e Terras de Pontevedra,""Indicador Estacional (1)"",""Todas"",2014,""2014"",40.7,""40,7"""
"Ribeira Sacra,""Indicador Estacional (1)"",""Todas"",2014,""2014"",30.4,""30,4"""
"Terras de Ourense e Allariz,""Indicador Estacional (1)"",""Todas"",2014,""2014"",22.4,""22,4"""
"Terras de Santiago,""Indicador Estacional (1)"",""Todas"",2014,""2014"",27.9,""27,9"""
"Ver’n - Viana,""Indicador Estacional (1)"",""Todas"",2014,""2014"",21.7,""21,7"""
"Galicia,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-0.2,""-0,2"""
"A Coru–a e As Mari–as,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-0.6,""-0,6"""
"Ancares - Courel,""Indicador Estacional (2)"",""Todas"",2014,""2014"",0.7,""0,7"""
"Celanova - Limia,""Indicador Estacional (2)"",""Todas"",2014,""2014"",4.1,""4,1"""
"Costa da Morte,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-8.5,""-8,5"""
"Deza - Tabeir—s,""Indicador Estacional (2)"",""Todas"",2014,""2014"",10.8,""10,8"""
"Ferrolterra,""Indicador Estacional (2)"",""Todas"",2014,""2014"",2.6,""2,6"""
"Lugo e a Terra Ch‡,""Indicador Estacional (2)"",""Todas"",2014,""2014"",2.1,""2,1"""
"Manzaneda - Trevinca,""Indicador Estacional (2)"",""Todas"",2014,""2014"",5.0,""5,0"""
"Mari–a Lucense,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-3.7,""-3,7"""
"O Ribeiro,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-0.7,""-0,7"""
"R’a de Arousa,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-1.0,""-1,0"""
"R’a de Muros e Noia,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-4.0,""-4,0"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (2)"",""Todas"",2014,""2014"",0.2,""0,2"""
"R’a e Terras de Pontevedra,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-0.8,""-0,8"""
"Ribeira Sacra,""Indicador Estacional (2)"",""Todas"",2014,""2014"",-0.3,""-0,3"""
"Terras de Ourense e Allariz,""Indicador Estacional (2)"",""Todas"",2014,""2014"",1.8,""1,8"""
"Terras de Santiago,""Indicador Estacional (2)"",""Todas"",2014,""2014"",0.4,""0,4"""
"Ver’n - Viana,""Indicador Estacional (2)"",""Todas"",2014,""2014"",0.1,""0,1"""
"Galicia,""Noites"",""F—ra de Galicia"",2014,""2014"",5888679,""5.888.679"""
"A Coru–a e As Mari–as,""Noites"",""F—ra de Galicia"",2014,""2014"",799364,""799.364"""
"Ancares - Courel,""Noites"",""F—ra de Galicia"",2014,""2014"",62122,""62.122"""
"Celanova - Limia,""Noites"",""F—ra de Galicia"",2014,""2014"",23735,""23.735"""
"Costa da Morte,""Noites"",""F—ra de Galicia"",2014,""2014"",199031,""199.031"""
"Deza - Tabeir—s,""Noites"",""F—ra de Galicia"",2014,""2014"",40296,""40.296"""
"Ferrolterra,""Noites"",""F—ra de Galicia"",2014,""2014"",252148,""252.148"""
"Lugo e a Terra Ch‡,""Noites"",""F—ra de Galicia"",2014,""2014"",332944,""332.944"""
"Manzaneda - Trevinca,""Noites"",""F—ra de Galicia"",2014,""2014"",20158,""20.158"""
"Mari–a Lucense,""Noites"",""F—ra de Galicia"",2014,""2014"",225271,""225.271"""
"O Ribeiro,""Noites"",""F—ra de Galicia"",2014,""2014"",32376,""32.376"""
"R’a de Arousa,""Noites"",""F—ra de Galicia"",2014,""2014"",1050702,""1.050.702"""
"R’a de Muros e Noia,""Noites"",""F—ra de Galicia"",2014,""2014"",52190,""52.190"""
"R’a de Vigo e Baixo Mi–o,""Noites"",""F—ra de Galicia"",2014,""2014"",726986,""726.986"""
"R’a e Terras de Pontevedra,""Noites"",""F—ra de Galicia"",2014,""2014"",316339,""316.339"""
"Ribeira Sacra,""Noites"",""F—ra de Galicia"",2014,""2014"",174350,""174.350"""
"Terras de Ourense e Allariz,""Noites"",""F—ra de Galicia"",2014,""2014"",144747,""144.747"""
"Terras de Santiago,""Noites"",""F—ra de Galicia"",2014,""2014"",1394073,""1.394.073"""
"Ver’n - Viana,""Noites"",""F—ra de Galicia"",2014,""2014"",41847,""41.847"""
"Galicia,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",199,""199"""
"A Coru–a e As Mari–as,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",849,""849"""
"Ancares - Courel,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",28,""28"""
"Celanova - Limia,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",13,""13"""
"Costa da Morte,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",116,""116"""
"Deza - Tabeir—s,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",26,""26"""
"Ferrolterra,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",159,""159"""
"Lugo e a Terra Ch‡,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",78,""78"""
"Manzaneda - Trevinca,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",14,""14"""
"Mari–a Lucense,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",162,""162"""
"O Ribeiro,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",32,""32"""
"R’a de Arousa,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",1669,""1.669"""
"R’a de Muros e Noia,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",130,""130"""
"R’a de Vigo e Baixo Mi–o,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",451,""451"""
"R’a e Terras de Pontevedra,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",324,""324"""
"Ribeira Sacra,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",68,""68"""
"Terras de Ourense e Allariz,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",181,""181"""
"Terras de Santiago,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",460,""460"""
"Ver’n - Viana,""Indicador ‡rea"",""F—ra de Galicia"",2014,""2014"",24,""24"""
"Galicia,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",2327,""2.327"""
"A Coru–a e As Mari–as,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",4146,""4.146"""
"Ancares - Courel,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Celanova - Limia,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Costa da Morte,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",437,""437"""
"Deza - Tabeir—s,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Ferrolterra,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",527,""527"""
"Lugo e a Terra Ch‡,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Manzaneda - Trevinca,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Mari–a Lucense,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",859,""859"""
"O Ribeiro,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"R’a de Arousa,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",2121,""2.121"""
"R’a de Muros e Noia,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",365,""365"""
"R’a de Vigo e Baixo Mi–o,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",2483,""2.483"""
"R’a e Terras de Pontevedra,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",1520,""1.520"""
"Ribeira Sacra,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Terras de Ourense e Allariz,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Terras de Santiago,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Ver’n - Viana,""Indicador Costa"",""F—ra de Galicia"",2014,""2014"",,""-"""
"Galicia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.59,""0,59"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.51,""0,51"""
"Ancares - Courel,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.88,""0,88"""
"Celanova - Limia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.14,""0,14"""
"Costa da Morte,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.45,""0,45"""
"Deza - Tabeir—s,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.16,""0,16"""
"Ferrolterra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.35,""0,35"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.47,""0,47"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.18,""0,18"""
"Mari–a Lucense,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.85,""0,85"""
"O Ribeiro,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.19,""0,19"""
"R’a de Arousa,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",1.49,""1,49"""
"R’a de Muros e Noia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.33,""0,33"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.38,""0,38"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.38,""0,38"""
"Ribeira Sacra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.75,""0,75"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.26,""0,26"""
"Terras de Santiago,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",1.39,""1,39"""
"Ver’n - Viana,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2014,""2014"",0.33,""0,33"""
"Galicia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",2.15,""2,15"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",1.87,""1,87"""
"Ancares - Courel,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",3.20,""3,20"""
"Celanova - Limia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",0.51,""0,51"""
"Costa da Morte,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",1.65,""1,65"""
"Deza - Tabeir—s,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",0.57,""0,57"""
"Ferrolterra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",1.28,""1,28"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",1.71,""1,71"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",0.65,""0,65"""
"Mari–a Lucense,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",3.09,""3,09"""
"O Ribeiro,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",0.68,""0,68"""
"R’a de Arousa,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",5.44,""5,44"""
"R’a de Muros e Noia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",1.20,""1,20"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",1.38,""1,38"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",1.39,""1,39"""
"Ribeira Sacra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",2.75,""2,75"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",0.96,""0,96"""
"Terras de Santiago,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",5.09,""5,09"""
"Ver’n - Viana,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2014,""2014"",1.20,""1,20"""
"Galicia,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",39.3,""39,3"""
"A Coru–a e As Mari–as,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",32.0,""32,0"""
"Ancares - Courel,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",40.5,""40,5"""
"Celanova - Limia,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",40.6,""40,6"""
"Costa da Morte,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",46.6,""46,6"""
"Deza - Tabeir—s,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",43.5,""43,5"""
"Ferrolterra,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",43.0,""43,0"""
"Lugo e a Terra Ch‡,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",31.9,""31,9"""
"Manzaneda - Trevinca,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",29.8,""29,8"""
"Mari–a Lucense,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",53.8,""53,8"""
"O Ribeiro,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",30.4,""30,4"""
"R’a de Arousa,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",53.4,""53,4"""
"R’a de Muros e Noia,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",59.5,""59,5"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",42.0,""42,0"""
"R’a e Terras de Pontevedra,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",40.0,""40,0"""
"Ribeira Sacra,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",34.6,""34,6"""
"Terras de Ourense e Allariz,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",27.7,""27,7"""
"Terras de Santiago,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",30.6,""30,6"""
"Ver’n - Viana,""Indicador Estacional (1)"",""F—ra de Galicia"",2014,""2014"",24.1,""24,1"""
"Galicia,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-0.4,""-0,4"""
"A Coru–a e As Mari–as,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-1.4,""-1,4"""
"Ancares - Courel,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-1.2,""-1,2"""
"Celanova - Limia,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",6.0,""6,0"""
"Costa da Morte,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-7.9,""-7,9"""
"Deza - Tabeir—s,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",5.2,""5,2"""
"Ferrolterra,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",5.0,""5,0"""
"Lugo e a Terra Ch‡,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",2.6,""2,6"""
"Manzaneda - Trevinca,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-2.2,""-2,2"""
"Mari–a Lucense,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-5.6,""-5,6"""
"O Ribeiro,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-2.1,""-2,1"""
"R’a de Arousa,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-0.1,""-0,1"""
"R’a de Muros e Noia,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-4.5,""-4,5"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",2.1,""2,1"""
"R’a e Terras de Pontevedra,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-2.7,""-2,7"""
"Ribeira Sacra,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-0.6,""-0,6"""
"Terras de Ourense e Allariz,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",3.0,""3,0"""
"Terras de Santiago,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",-0.5,""-0,5"""
"Ver’n - Viana,""Indicador Estacional (2)"",""F—ra de Galicia"",2014,""2014"",0.4,""0,4"""
"Galicia,""Noites"",""Todas"",2015,""2015"",9205581,""9.205.581"""
"A Coru–a e As Mari–as,""Noites"",""Todas"",2015,""2015"",1180999,""1.180.999"""
"Ancares - Courel,""Noites"",""Todas"",2015,""2015"",99616,""99.616"""
"Celanova - Limia,""Noites"",""Todas"",2015,""2015"",58279,""58.279"""
"Costa da Morte,""Noites"",""Todas"",2015,""2015"",318506,""318.506"""
"Deza - Tabeir—s,""Noites"",""Todas"",2015,""2015"",87019,""87.019"""
"Ferrolterra,""Noites"",""Todas"",2015,""2015"",389915,""389.915"""
"Lugo e a Terra Ch‡,""Noites"",""Todas"",2015,""2015"",519388,""519.388"""
"Manzaneda - Trevinca,""Noites"",""Todas"",2015,""2015"",66736,""66.736"""
"Mari–a Lucense,""Noites"",""Todas"",2015,""2015"",354905,""354.905"""
"O Ribeiro,""Noites"",""Todas"",2015,""2015"",103370,""103.370"""
"R’a de Arousa,""Noites"",""Todas"",2015,""2015"",1793622,""1.793.622"""
"R’a de Muros e Noia,""Noites"",""Todas"",2015,""2015"",97623,""97.623"""
"R’a de Vigo e Baixo Mi–o,""Noites"",""Todas"",2015,""2015"",1164987,""1.164.987"""
"R’a e Terras de Pontevedra,""Noites"",""Todas"",2015,""2015"",528427,""528.427"""
"Ribeira Sacra,""Noites"",""Todas"",2015,""2015"",293233,""293.233"""
"Terras de Ourense e Allariz,""Noites"",""Todas"",2015,""2015"",296440,""296.440"""
"Terras de Santiago,""Noites"",""Todas"",2015,""2015"",1794456,""1.794.456"""
"Ver’n - Viana,""Noites"",""Todas"",2015,""2015"",58059,""58.059"""
"Galicia,""Indicador ‡rea"",""Todas"",2015,""2015"",311,""311"""
"A Coru–a e As Mari–as,""Indicador ‡rea"",""Todas"",2015,""2015"",1255,""1.255"""
"Ancares - Courel,""Indicador ‡rea"",""Todas"",2015,""2015"",46,""46"""
"Celanova - Limia,""Indicador ‡rea"",""Todas"",2015,""2015"",33,""33"""
"Costa da Morte,""Indicador ‡rea"",""Todas"",2015,""2015"",186,""186"""
"Deza - Tabeir—s,""Indicador ‡rea"",""Todas"",2015,""2015"",56,""56"""
"Ferrolterra,""Indicador ‡rea"",""Todas"",2015,""2015"",245,""245"""
"Lugo e a Terra Ch‡,""Indicador ‡rea"",""Todas"",2015,""2015"",122,""122"""
"Manzaneda - Trevinca,""Indicador ‡rea"",""Todas"",2015,""2015"",48,""48"""
"Mari–a Lucense,""Indicador ‡rea"",""Todas"",2015,""2015"",254,""254"""
"O Ribeiro,""Indicador ‡rea"",""Todas"",2015,""2015"",103,""103"""
"R’a de Arousa,""Indicador ‡rea"",""Todas"",2015,""2015"",2849,""2.849"""
"R’a de Muros e Noia,""Indicador ‡rea"",""Todas"",2015,""2015"",243,""243"""
"R’a de Vigo e Baixo Mi–o,""Indicador ‡rea"",""Todas"",2015,""2015"",723,""723"""
"R’a e Terras de Pontevedra,""Indicador ‡rea"",""Todas"",2015,""2015"",542,""542"""
"Ribeira Sacra,""Indicador ‡rea"",""Todas"",2015,""2015"",115,""115"""
"Terras de Ourense e Allariz,""Indicador ‡rea"",""Todas"",2015,""2015"",372,""372"""
"Terras de Santiago,""Indicador ‡rea"",""Todas"",2015,""2015"",592,""592"""
"Ver’n - Viana,""Indicador ‡rea"",""Todas"",2015,""2015"",33,""33"""
"Galicia,""Indicador Costa"",""Todas"",2015,""2015"",3638,""3.638"""
"A Coru–a e As Mari–as,""Indicador Costa"",""Todas"",2015,""2015"",6125,""6.125"""
"Ancares - Courel,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Celanova - Limia,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Costa da Morte,""Indicador Costa"",""Todas"",2015,""2015"",699,""699"""
"Deza - Tabeir—s,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Ferrolterra,""Indicador Costa"",""Todas"",2015,""2015"",815,""815"""
"Lugo e a Terra Ch‡,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Manzaneda - Trevinca,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Mari–a Lucense,""Indicador Costa"",""Todas"",2015,""2015"",1353,""1.353"""
"O Ribeiro,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"R’a de Arousa,""Indicador Costa"",""Todas"",2015,""2015"",3621,""3.621"""
"R’a de Muros e Noia,""Indicador Costa"",""Todas"",2015,""2015"",682,""682"""
"R’a de Vigo e Baixo Mi–o,""Indicador Costa"",""Todas"",2015,""2015"",3979,""3.979"""
"R’a e Terras de Pontevedra,""Indicador Costa"",""Todas"",2015,""2015"",2539,""2.539"""
"Ribeira Sacra,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Terras de Ourense e Allariz,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Terras de Santiago,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Ver’n - Viana,""Indicador Costa"",""Todas"",2015,""2015"",,""-"""
"Galicia,""Indicador Poboaci—n (1)"",""Todas"",2015,""2015"",0.92,""0,92"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (1)"",""Todas"",2015,""2015"",0.76,""0,76"""
