"Destinos,""Indicadores"",""Orixe dos viaxeiros"",""CodTempo"",""Tempo"",""DatoN"",""DatoT"""
"R’a de Muros e Noia,""Indicador Poboaci—n (1)"",""Todas"",2011,""2011"",0.59,""0,59"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (1)"",""Todas"",2011,""2011"",0.59,""0,59"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (1)"",""Todas"",2011,""2011"",0.73,""0,73"""
"Ribeira Sacra,""Indicador Poboaci—n (1)"",""Todas"",2011,""2011"",0.92,""0,92"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (1)"",""Todas"",2011,""2011"",0.50,""0,50"""
"Terras de Santiago,""Indicador Poboaci—n (1)"",""Todas"",2011,""2011"",1.50,""1,50"""
"Ver’n - Viana,""Indicador Poboaci—n (1)"",""Todas"",2011,""2011"",0.33,""0,33"""
"Galicia,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",3.08,""3,08"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",2.69,""2,69"""
"Ancares - Courel,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",4.19,""4,19"""
"Celanova - Limia,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",1.26,""1,26"""
"Costa da Morte,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",1.55,""1,55"""
"Deza - Tabeir—s,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",1.78,""1,78"""
"Ferrolterra,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",1.89,""1,89"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",2.50,""2,50"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",1.76,""1,76"""
"Mari–a Lucense,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",3.89,""3,89"""
"O Ribeiro,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",2.23,""2,23"""
"R’a de Arousa,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",8.71,""8,71"""
"R’a de Muros e Noia,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",2.16,""2,16"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",2.16,""2,16"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",2.66,""2,66"""
"Ribeira Sacra,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",3.37,""3,37"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",1.83,""1,83"""
"Terras de Santiago,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",5.49,""5,49"""
"Ver’n - Viana,""Indicador Poboaci—n (2)"",""Todas"",2011,""2011"",1.22,""1,22"""
