grid_ids,species,total_area_km2,iucn_category
1,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
2,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
3,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
4,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
5,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
6,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
7,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
8,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
16,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
17,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
18,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
19,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
20,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
21,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
22,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
23,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
24,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
25,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
26,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
31,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
32,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
33,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
34,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
35,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
36,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
37,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
38,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
39,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
40,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
41,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
46,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
47,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
48,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
49,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
50,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
51,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
52,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
53,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
54,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
55,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
56,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
61,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
62,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
63,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
64,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
65,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
66,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
67,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
68,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
69,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
70,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
76,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
77,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
78,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
79,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
80,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
81,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
82,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
83,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
84,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
85,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
86,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
87,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
89,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
91,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
92,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
93,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
94,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
95,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
96,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
97,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
98,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
99,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
100,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
101,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
102,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
103,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
104,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
106,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
107,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
108,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
109,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
110,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
111,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
112,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
113,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
114,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
115,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
116,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
117,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
118,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
119,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
120,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
121,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
122,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
123,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
124,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
125,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
126,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
127,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
128,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
129,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
130,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
131,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
132,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
133,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
134,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
135,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
136,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
137,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
138,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
139,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
140,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
141,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
142,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
143,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
144,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
145,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
146,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
147,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
148,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
149,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
150,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
152,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
153,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
154,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
155,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
156,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
157,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
158,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
159,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
160,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
161,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
162,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
163,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
164,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
165,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
168,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
169,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
170,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
171,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
172,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
173,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
174,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
175,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
176,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
177,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
178,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
179,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
180,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
184,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
185,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
186,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
187,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
188,MARINEFISH_PART5,11522501.42,CR;LC;NT;EN;VU
