grid_ids,species,total_area_km2,iucn_category
1,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
2,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
3,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
4,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
5,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
6,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
7,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
8,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
16,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
17,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
18,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
19,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
20,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
21,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
22,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
23,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
24,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
25,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
26,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
31,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
32,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
33,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
34,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
35,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
36,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
37,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
38,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
39,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
40,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
41,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
46,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
47,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
48,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
49,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
50,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
51,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
52,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
53,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
54,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
55,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
56,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
61,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
62,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
63,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
64,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
65,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
66,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
67,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
68,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
69,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
70,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
76,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
77,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
78,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
79,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
80,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
81,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
82,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
83,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
84,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
85,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
86,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
87,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
89,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
91,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
92,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
93,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
94,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
95,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
96,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
97,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
98,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
99,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
100,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
101,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
102,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
103,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
104,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
106,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
107,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
108,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
109,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
110,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
111,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
112,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
113,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
114,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
115,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
116,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
117,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
118,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
119,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
120,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
121,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
122,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
123,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
124,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
125,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
126,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
127,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
128,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
129,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
130,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
131,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
132,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
133,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
134,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
135,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
136,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
137,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
138,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
139,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
140,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
141,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
142,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
143,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
144,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
145,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
146,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
147,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
148,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
149,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
150,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
152,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
153,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
154,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
155,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
156,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
157,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
158,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
159,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
160,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
161,FW_OTHER_PART2,1336493.97,LC;CR;NT;VU;EN;EX
