grid_ids,species,total_area_km2,iucn_category
100,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
101,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
102,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
103,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
104,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
106,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
107,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
108,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
109,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
110,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
111,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
112,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
113,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
114,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
115,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
116,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
117,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
118,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
119,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
120,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
121,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
122,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
123,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
124,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
125,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
126,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
127,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
128,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
129,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
130,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
131,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
132,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
133,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
134,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
135,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
136,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
137,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
138,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
139,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
140,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
141,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
142,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
143,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
