grid_ids,species,total_area_km2,iucn_category
108,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
109,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
110,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
111,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
112,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
113,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
114,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
115,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
116,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
117,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
118,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
119,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
120,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
121,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
122,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
123,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
124,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
125,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
126,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
127,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
128,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
129,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
130,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
131,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
132,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
133,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
134,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
135,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
136,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
137,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
138,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
139,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
140,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
141,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
142,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
143,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
144,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
145,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
146,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
147,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
148,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
149,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
150,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
152,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
153,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
154,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
155,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
156,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
157,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
158,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
159,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
160,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
161,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
162,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
163,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
164,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
165,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
168,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
169,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
170,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
171,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
172,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
173,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
174,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
175,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
176,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
177,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
178,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
179,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
180,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
184,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
185,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
186,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
187,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
188,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
189,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
190,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
191,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
192,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
193,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
200,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
201,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
202,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
203,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
204,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
