grid_ids,species,total_area_km2,iucn_category
100,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
101,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
102,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
103,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
104,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
106,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
107,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
108,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
109,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
110,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
111,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
112,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
113,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
114,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
115,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
116,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
117,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
118,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
119,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
120,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
121,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
122,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
123,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
124,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
125,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
126,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
127,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
128,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
129,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
130,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
131,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
132,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
133,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
134,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
135,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
136,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
137,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
138,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
139,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
140,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
141,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
142,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
143,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
144,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
145,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
146,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
147,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
148,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
149,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
150,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
152,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
153,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
154,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
155,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
156,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
157,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
158,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
159,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
160,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
161,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
162,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
163,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
164,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
165,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
168,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
169,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
170,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
171,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
172,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
173,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
174,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
175,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
176,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
177,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
178,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
179,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
180,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
184,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
185,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
186,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
187,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
188,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
189,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
190,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
191,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
192,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
193,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
200,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
201,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
202,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
203,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
204,FW_OTHER_PART1,2249555.69,LC;NT;VU;EN;CR;EX
