species,iucn_category,area_km2,biodiversity_score
FW_OTHER_PART1,LC;NT;VU;EN;CR;EX,2249555.69,0.8536
FW_OTHER_PART2,LC;CR;NT;VU;EN;EX,1336493.97,0.9178
FW_OTHER_PART3,LC;CR;EN;VU;NT,1329226.91,0.6099
FW_OTHER_PART4,LC;VU;NT;EN;CR,302383.25,0.9863
FW_PLANTS_PART1,LC;EN;NT;VU,440.22,1
MAMMALS,LC;EN;VU;CR;NT,9203099.93,0.8143
