species,iucn_category,area_km2,biodiversity_score
MARINEFISH_PART1,VU;NT;LC;CR;EN,13718512.03,0.9474
MARINEFISH_PART2,CR;VU;NT;LC;EN,13644902.24,0.9367
MARINEFISH_PART3,CR;LC;VU;EN;NT,12361381.18,0.9525
MARINEFISH_PART4,CR;LC;VU;NT;EN,14726433.8,0.9718
MARINEFISH_PART5,CR;LC;NT;EN;VU,11522501.42,0.9234
MARINEFISH_PART6,CR;EN;LC;VU;NT;EX,12249062.72,0.9664
