"rgn_id","year","Ep"
1,2009,6.61860872152214
2,2009,6.75773364040712
4,2009,6.79810082747899
3,2009,6.5852935237271
1,2010,6.93112347532554
2,2010,7.03877041073185
4,2010,7.06246880326989
3,2010,6.91447269367928
1,2011,7.11950472381772
2,2011,7.10674567915871
4,2011,7.34537902521699
3,2011,7.15605009849178
1,2012,7.38401474216822
2,2012,7.38258611847916
4,2012,7.72514647199349
3,2012,7.41606102142468
1,2013,7.55283229339716
2,2013,7.65553129988477
4,2013,8.06250676835471
3,2013,7.51590004699942
1,2014,7.67574774529952
2,2014,7.84738251114497
4,2014,8.15108836352712
3,2014,7.67214309968908
1,2015,7.72809273611556
2,2015,7.85955606572065
4,2015,8.23031817259037
3,2015,7.79356944057493
1,2016,7.78351450513704
2,2016,7.91963801262553
4,2016,8.15140973190544
3,2016,7.87428711243753
1,2017,7.85160785052955
2,2017,8.04252974218678
4,2017,8.16303565370645
3,2017,7.99487235805835
1,2018,7.84051702243218
2,2018,8.09310350266168
4,2018,8.12527367330115
3,2018,7.96958418715622
1,2019,7.93229046279057
2,2019,8.12413394370651
4,2019,8.15533129562325
3,2019,8.04612245060849
1,2020,7.35180033603062
2,2020,7.29278535064481
4,2020,7.49814616938314
3,2020,7.20362745514482
1,2021,7.0584519764987
2,2021,7.09831277275695
4,2021,7.08481071741498
3,2021,7.18574792475707
1,2022,7.5474730484637
2,2022,7.6651363056185
4,2022,7.40948432713046
3,2022,7.82556258199026
1,2023,7.79225807535623
2,2023,7.95206679419522
4,2023,7.46784920985481
3,2023,8.11120389048147
