year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1950,182,27,Lepidorhombus,Megrims,503124,2956.08571109604,Lepidorhombus-27
1950,182,27,Lepidorhombus boscii,Fourspot megrim,600027,0.00103044979249288,Lepidorhombus_boscii-27
1950,182,27,Lichia amia,Leerfish,600692,14.0654572864285,Lichia_amia-27
1950,182,27,Limanda limanda,Common dab,600695,2.35167288408374,Limanda_limanda-27
1950,182,27,Lithognathus mormyrus,Sand steenbras,600706,60.4019838825,Lithognathus_mormyrus-27
1950,182,27,Littorina,Periwinkles,590049,68.1180196959234,Littorina-27
1950,182,27,Liza,Mullets,504212,2.1437436020819e-4,Liza-27
1950,182,27,Liza aurata,Golden grey mullet,601735,138.533935733606,Liza_aurata-27
1950,182,27,Liza ramada,Thinlip grey mullet,604583,4.21187722216323,Liza_ramada-27
1950,182,27,Lophius,Frogfishes,500112,2286.00800819343,Lophius-27
1950,182,27,Lophius budegassa,Blackbellied angler,605094,1.29396146709803,Lophius_budegassa-27
1950,182,27,Lophius piscatorius,Angler,600716,0.0232643516117548,Lophius_piscatorius-27
1950,182,27,Macrouridae,"Grenadiers, rattails",400185,110.978072119439,Macrouridae-27
1950,182,27,Maja squinado,Spinous spider crab,690387,16.1869705870029,Maja_squinado-27
1950,182,27,Marine finfishes not identified,Finfishes,100139,89606.2950384561,Marine_finfishes_not_identified-27
1950,182,27,Marine fishes not identified,Marine fishes nei,100039,25174.7409742026,Marine_fishes_not_identified-27
1950,182,27,Marine pelagic fishes not identified,Pelagic fishes,100339,4136.09935814608,Marine_pelagic_fishes_not_identified-27
1950,182,27,Melanogrammus aeglefinus,Haddock,601381,1.16656407064244,Melanogrammus_aeglefinus-27
1950,182,27,Melicertus kerathurus,Caramote prawn,690070,0.299975044552675,Melicertus_kerathurus-27
1950,182,27,Merlangius merlangus,Whiting,600029,11.5996021789976,Merlangius_merlangus-27
1950,182,27,Merluccius merluccius,European hake,600030,215368.875050678,Merluccius_merluccius-27
1950,182,27,Microchirus variegatus,Thickback sole,600032,0.00213540013831057,Microchirus_variegatus-27
1950,182,27,Micromesistius poutassou,Blue whiting,600031,12169.1298426934,Micromesistius_poutassou-27
