stock_name,common
Ruvettus_pretiosus,Oilfish
Lampris_guttatus,NA
Scomberesox_saurus_saurus,NA
Sparus_aurata,Gilthead seabream
Trachurus_mediterraneus,Mediterranean horse mackerel
Trachurus_picturatus,Blue jack mackerel
Trichiurus_lepturus,Largehead hairtail
Umbrina_cirrosa,Shi drum
Beryx_splendens,Splendid alfonsino
Mullus_surmuletus,Surmullet
Osmerus_eperlanus,European smelt
Phycis_blennoides,Greater forkbeard
Platichthys_flesus,European flounder
Pleuronectes_platessa,European plaice
Scophthalmus_maximus,Turbot
Sardina_pilchardus,European pilchard
Serranus_cabrilla,NA
Spondyliosoma_cantharus,Black seabream
Sprattus_sprattus,European sprat
Trachinus_draco,Greater weever
Trachurus_trachurus,Atlantic horse mackerel
Chelidonichthys_lucerna,Tub gurnard
Trisopterus_luscus,Pouting
Zeus_faber,John dory
Melanogrammus_aeglefinus,Haddock
Microstomus_kitt,Lemon sole
Molva_dypterygia,Blue ling
Atherina_boyeri,Bigscale sand smelt
Sciaena_umbra,NA
Muraena_helena,NA
Mola_mola,Ocean sunfish
Mora_moro,NA
Chelon_auratus,NA
Peristedion_cataphractum,NA
Phycis_phycis,Forkbeard
Diplodus_puntazzo,NA
Diplodus_annularis,Annular seabream
Diplodus_sargus_sargus,NA
Diplodus_vulgaris,Common twobanded seabream
Pagrus_pagrus,Red porgy
Scorpaena_porcus,NA
Scorpaena_scrofa,NA
Serranus_scriba,NA
Synapturichthys_kleinii,NA
Spicara_smaris,Picarel
Trachinotus_ovatus,Pompano
Uranoscopus_scaber,NA
Arnoglossus_kessleri,NA
Tetrapturus_belone,NA
Caranx_rhonchus,False scad
Dipturus_batis,NA
Raja_clavata,Thornback ray
Dasyatis_pastinaca,NA
Acipenser_sturio,NA
Diplodus_cervinus_cervinus,NA
Chelon_labrosus,NA
Epigonus_telescopus,Black cardinal fish
Petromyzon_marinus,Sea lamprey
Alopias_superciliosus,Bigeye thresher
Alopias_vulpinus,Thresher
Gymnura_altavela,NA
Leucoraja_naevus,Cuckoo ray
Raja_montagui,NA
Myliobatis_aquila,NA
Dentex_gibbosus,Pink dentex
Dentex_maroccanus,NA
Umbrina_ronchus,NA
Umbrina_canariensis,Canary drum
Galeorhinus_galeus,Tope shark
Citharus_linguatula,NA
Hoplostethus_mediterraneus_mediterraneus,NA
Mustelus_mustelus,NA
Pomadasys_incisus,Bastard grunt
Pontinus_kuhlii,NA
Aetomylaeus_bovinus,NA
Trigla_lyra,NA
Pagrus_auriga,NA
Chelidonichthys_lastoviza,NA
Lophius_budegassa,NA
Torpedo_marmorata,NA
Alosa_fallax,NA
Halobatrachus_didactylus,NA
Raja_microocellata,NA
Epinephelus_marginatus,Dusky grouper
Balistes_capriscus,Grey triggerfish
Leucoraja_circularis,NA
Dipturus_oxyrinchus,NA
Raja_undulata,NA
Mobula_mobular,NA
Leucoraja_fullonica,NA
