rgn_id,year,value
1,2005,0.6458390402337302
2,2005,0.6458390402337302
3,2005,0.6458390402337302
1,2006,0.6610664553359638
2,2006,0.6610664553359638
3,2006,0.6610664553359638
1,2007,0.6723348063112771
2,2007,0.6723348063112771
3,2007,0.6723348063112771
1,2008,0.6675636171557819
2,2008,0.6675636171557819
3,2008,0.6675636171557819
1,2009,0.6367772659071398
2,2009,0.6367772659071398
3,2009,0.6367772659071398
1,2010,0.634884898208264
2,2010,0.634884898208264
3,2010,0.634884898208264
1,2011,0.6274808457210539
2,2011,0.6274808457210539
3,2011,0.6274808457210539
1,2012,0.6085189610235415
2,2012,0.6085189610235415
3,2012,0.6085189610235415
1,2013,0.6019485306948817
2,2013,0.6019485306948817
3,2013,0.6019485306948817
1,2014,0.612177759058753
2,2014,0.612177759058753
3,2014,0.612177759058753
1,2015,0.6361697233065506
2,2015,0.6361697233065506
3,2015,0.6361697233065506
1,2016,0.6549419207103679
2,2016,0.6549419207103679
3,2016,0.6549419207103679
1,2017,0.6728511448122249
2,2017,0.6728511448122249
3,2017,0.6728511448122249
1,2018,0.6852145185822283
2,2018,0.6852145185822283
3,2018,0.6852145185822283
1,2019,0.6938114375201156
2,2019,0.6938114375201156
3,2019,0.6938114375201156
1,2020,0.6122361475204393
2,2020,0.6122361475204393
3,2020,0.6122361475204393
1,2021,0.6453465698518915
2,2021,0.6453465698518915
3,2021,0.6453465698518915
1,2022,0.6776809543049187
2,2022,0.6776809543049187
3,2022,0.6776809543049187
