"rgn_id","year","value"
1,2020,-8.9
2,2020,-8.9
3,2020,-8.9
1,2021,7.6
2,2021,7.6
3,2021,7.6
1,2022,4.1
2,2022,4.1
3,2022,4.1
1,2023,1.8
2,2023,1.8
3,2023,1.8
1,2024,2.2
2,2024,2.2
3,2024,2.2
