sci_name,source_file
accipiter nisus,BIRDS_intersection_IUCN
actitis hypoleucos,BIRDS_intersection_IUCN
apus apus,BIRDS_intersection_IUCN
aythya fuligula,BIRDS_intersection_IUCN
calidris minuta,BIRDS_intersection_IUCN
cisticola juncidis,BIRDS_intersection_IUCN
coccothraustes coccothraustes,BIRDS_intersection_IUCN
emberiza cia,BIRDS_intersection_IUCN
loxia curvirostra,BIRDS_intersection_IUCN
passer montanus,BIRDS_intersection_IUCN
spinus spinus,BIRDS_intersection_IUCN
periparus ater,BIRDS_intersection_IUCN
delichon urbicum,BIRDS_intersection_IUCN
garrulus glandarius,BIRDS_intersection_IUCN
lanius meridionalis,BIRDS_intersection_IUCN
cyanistes caeruleus,BIRDS_intersection_IUCN
corvus corone,BIRDS_intersection_IUCN
calandrella brachydactyla,BIRDS_intersection_IUCN
anthus spinoletta,BIRDS_intersection_IUCN
alauda arvensis,BIRDS_intersection_IUCN
anthus trivialis,BIRDS_intersection_IUCN
ficedula parva,BIRDS_intersection_IUCN
carduelis carduelis,BIRDS_intersection_IUCN
serinus serinus,BIRDS_intersection_IUCN
curruca melanocephala,BIRDS_intersection_IUCN
troglodytes troglodytes,BIRDS_intersection_IUCN
anthus petrosus,BIRDS_intersection_IUCN
emberiza cirlus,BIRDS_intersection_IUCN
pyrrhula pyrrhula,BIRDS_intersection_IUCN
chloris chloris,BIRDS_intersection_IUCN
columba palumbus,BIRDS_intersection_IUCN
coturnix coturnix,BIRDS_intersection_IUCN
erithacus rubecula,BIRDS_intersection_IUCN
linaria cannabina,BIRDS_intersection_IUCN
prunella modularis,BIRDS_intersection_IUCN
turdus philomelos,BIRDS_intersection_IUCN
acrocephalus paludicola,BIRDS_intersection_IUCN
curruca undata,BIRDS_intersection_IUCN
numenius phaeopus,BIRDS_intersection_IUCN
turdus iliacus,BIRDS_intersection_IUCN
branta bernicla,BIRDS_intersection_IUCN
charadrius alexandrinus,BIRDS_intersection_IUCN
charadrius dubius,BIRDS_intersection_IUCN
emberiza calandra,BIRDS_intersection_IUCN
fulica atra,BIRDS_intersection_IUCN
galerida cristata,BIRDS_intersection_IUCN
rallus aquaticus,BIRDS_intersection_IUCN
pyrrhocorax pyrrhocorax,BIRDS_intersection_IUCN
oriolus oriolus,BIRDS_intersection_IUCN
mareca strepera,BIRDS_intersection_IUCN
caprimulgus europaeus,BIRDS_intersection_IUCN
lanius collurio,BIRDS_intersection_IUCN
burhinus oedicnemus,BIRDS_intersection_IUCN
corvus monedula,BIRDS_intersection_IUCN
asio otus,BIRDS_intersection_IUCN
recurvirostra avosetta,BIRDS_intersection_IUCN
luscinia megarhynchos,BIRDS_intersection_IUCN
cinclus cinclus,BIRDS_intersection_IUCN
calidris maritima,BIRDS_intersection_IUCN
clamator glandarius,BIRDS_intersection_IUCN
jynx torquilla,BIRDS_intersection_IUCN
acrocephalus arundinaceus,BIRDS_intersection_IUCN
petronia petronia,BIRDS_intersection_IUCN
melanitta fusca,BIRDS_intersection_IUCN
oenanthe oenanthe,BIRDS_intersection_IUCN
anas acuta,BIRDS_intersection_IUCN
tringa ochropus,BIRDS_intersection_IUCN
regulus regulus,BIRDS_intersection_IUCN
lanius senator,BIRDS_intersection_IUCN
tichodroma muraria,BIRDS_intersection_IUCN
asio flammeus,BIRDS_intersection_IUCN
poecile palustris,BIRDS_intersection_IUCN
ptyonoprogne rupestris,BIRDS_intersection_IUCN
sitta europaea,BIRDS_intersection_IUCN
Ardenna gravis,BIRDS_intersection
Ardenna grisea,BIRDS_intersection
Rissa tridactyla,BIRDS_intersection
Hydrobates pelagicus,BIRDS_intersection
Larus ridibundus,BIRDS_intersection
Oceanites oceanicus,BIRDS_intersection
Stercorarius pomarinus,BIRDS_intersection
Morus bassanus,BIRDS_intersection
Pterodroma madeira,BIRDS_intersection
Puffinus lherminieri,BIRDS_intersection
Puffinus puffinus,BIRDS_intersection
Pterodroma cahow,BIRDS_intersection
Pterodroma deserta,BIRDS_intersection
Pterodroma feae,BIRDS_intersection
Uria aalge,BIRDS_intersection
Bulweria bulwerii,BIRDS_intersection
Calonectris borealis,BIRDS_intersection
Calonectris diomedea,BIRDS_intersection
Catharacta skua,BIRDS_intersection
Fratercula arctica,BIRDS_intersection
Xema sabini,BIRDS_intersection
Alca torda,BIRDS_intersection
Hydrobates jabejabe,BIRDS_intersection
Hydrobates castro,BIRDS_intersection
Hydrobates leucorhous,BIRDS_intersection
Calidris ferruginea,BIRDS_intersection
Arenaria interpres,BIRDS_intersection
Pluvialis squatarola,BIRDS_intersection
Calidris alpina,BIRDS_intersection
Calidris alba,BIRDS_intersection
Calidris canutus,BIRDS_intersection
Limosa lapponica,BIRDS_intersection
Larus marinus,BIRDS_intersection
Puffinus mauretanicus,BIRDS_intersection
Larus fuscus,BIRDS_intersection
Calidris falcinellus,BIRDS_intersection
Larus canus,BIRDS_intersection
Pinguinus impennis,BIRDS_intersection
Larus argentatus,BIRDS_intersection
Chlidonias niger,BIRDS_intersection
Larus michahellis,BIRDS_intersection
Hydrocoloeus minutus,BIRDS_intersection
Gavia immer,BIRDS_intersection
Aythya marila,BIRDS_intersection
Gavia stellata,BIRDS_intersection
Larus melanocephalus,BIRDS_intersection
Podiceps cristatus,BIRDS_intersection
Thalasseus sandvicensis,BIRDS_intersection
Gavia arctica,BIRDS_intersection
Gulosus aristotelis,BIRDS_intersection
Melanitta nigra,BIRDS_intersection
Alcedo atthis,BIRDS_intersection
Motacilla cinerea,BIRDS_intersection
Podiceps nigricollis,BIRDS_intersection
Somateria mollissima,BIRDS_intersection
Anthus pratensis,BIRDS_intersection
Buteo buteo,BIRDS_intersection
Circaetus gallicus,BIRDS_intersection
Circus aeruginosus,BIRDS_intersection
Circus cyaneus,BIRDS_intersection
Circus pygargus,BIRDS_intersection
Falco tinnunculus,BIRDS_intersection
Otus scops,BIRDS_intersection
Aythya ferina,BIRDS_intersection
Saxicola torquatus,BIRDS_intersection
Anas crecca,BIRDS_intersection
Upupa epops,BIRDS_intersection
Milvus migrans,BIRDS_intersection
Acrocephalus scirpaceus,BIRDS_intersection
Anas platyrhynchos,BIRDS_intersection
Ardea cinerea,BIRDS_intersection
Athene noctua,BIRDS_intersection
Charadrius hiaticula,BIRDS_intersection
Cuculus canorus,BIRDS_intersection
Emberiza schoeniclus,BIRDS_intersection
Falco peregrinus,BIRDS_intersection
Fringilla coelebs,BIRDS_intersection
Gallinago gallinago,BIRDS_intersection
Gallinula chloropus,BIRDS_intersection
