scientificname,commonname,family,genus,order,class,phylum
Scyliorhinus canicula,Lesser spotted dogfish,Scyliorhinidae,Scyliorhinus,Carcharhiniformes,Elasmobranchii,Chordata
Sebastes mentella,Beaked Redfish,Sebastidae,Sebastes,Perciformes,Teleostei,Chordata
Sebastes mentella,Deepwater Redfish,Sebastidae,Sebastes,Perciformes,Teleostei,Chordata
Sebastes norvegicus,Golden Redfish,Sebastidae,Sebastes,Perciformes,Teleostei,Chordata
Solea solea,Common sole,Soleidae,Solea,Pleuronectiformes,Teleostei,Chordata
Sprattus sprattus,Sprat,Clupeidae,Sprattus,Clupeiformes,Teleostei,Chordata
Squalus acanthias,Spurdog,Squalidae,Squalus,Squaliformes,Elasmobranchii,Chordata
Squatina squatina,Angel shark,Squatinidae,Squatina,Squatiniformes,Elasmobranchii,Chordata
Trachurus picturatus,Blue jack mackerel,Carangidae,Trachurus,Carangiformes,Teleostei,Chordata
Trachurus trachurus,Horse mackerel,Carangidae,Trachurus,Carangiformes,Teleostei,Chordata
Trisopterus esmarkii,Norway pout,Gadidae,Trisopterus,Gadiformes,Teleostei,Chordata
