"rgn_id","year","Ep"
1,2009,6.61860872152214
2,2009,6.75773364040712
3,2009,6.5852935237271
4,2009,6.79810082747899
1,2010,6.93112347532554
2,2010,7.03877041073185
3,2010,6.91447269367928
4,2010,7.06246880326989
1,2011,7.11950472381772
2,2011,7.10674567915871
3,2011,7.15605009849178
4,2011,7.34537902521699
1,2012,7.38401474216822
2,2012,7.38258611847916
3,2012,7.41606102142468
4,2012,7.72514647199349
1,2013,7.55283229339716
2,2013,7.65553129988477
3,2013,7.51590004699942
4,2013,8.06250676835471
1,2014,7.67574774529952
2,2014,7.84738251114497
3,2014,7.67214309968908
4,2014,8.15108836352712
1,2015,7.72809273611556
2,2015,7.85955606572065
3,2015,7.79356944057493
4,2015,8.23031817259037
1,2016,7.78351450513704
2,2016,7.91963801262553
3,2016,7.87428711243753
4,2016,8.15140973190544
1,2017,7.85160785052955
2,2017,8.04252974218678
3,2017,7.99487235805835
4,2017,8.16303565370645
1,2018,7.84051702243218
2,2018,8.09310350266168
3,2018,7.96958418715622
4,2018,8.12527367330115
1,2019,7.93229046279057
2,2019,8.12413394370651
3,2019,8.04612245060849
4,2019,8.15533129562325
1,2020,7.35180033603062
2,2020,7.29278535064481
3,2020,7.20362745514482
4,2020,7.49814616938314
1,2021,7.0584519764987
2,2021,7.09831277275695
3,2021,7.18574792475707
4,2021,7.08481071741498
1,2022,7.5474730484637
2,2022,7.6651363056185
3,2022,7.82556258199026
4,2022,7.40948432713046
1,2023,7.79225807535623
2,2023,7.95206679419522
3,2023,8.11120389048147
4,2023,7.46784920985481
1,2024,7.91078604550123
2,2024,8.17289710309628
3,2024,8.35035136203817
4,2024,7.54266043952722
