ANO,MES,PROVINCIA,RAMA,REXIME,AFILIACIONS
2009,Xaneiro,Ourense,Servizos de aloxamento,Réxime de autónomos,141
2009,Xaneiro,Ourense,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,3279
2009,Xaneiro,Ourense,Servizos de comidas e bebidas,Réxime de autónomos,2895
2009,Xaneiro,Pontevedra,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,588
2009,Xaneiro,Pontevedra,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,152
2009,Xaneiro,Pontevedra,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1288
2009,Xaneiro,Pontevedra,"Agricultura, gandeiría e pesca",Réxime de autónomos,7517
2009,Xaneiro,Pontevedra,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,30368
2009,Xaneiro,Pontevedra,Construción,Réxime de autónomos,11187
2009,Xaneiro,Pontevedra,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,63931
2009,Xaneiro,Pontevedra,Industria e enerxía,Réxime de autónomos,5460
2009,Xaneiro,Pontevedra,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,717
2009,Xaneiro,Pontevedra,Non clasificados,Réxime de autónomos,0
2009,Xaneiro,Pontevedra,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,158050
2009,Xaneiro,Pontevedra,Resto de servizos,Réxime de autónomos,39064
2009,Xaneiro,Pontevedra,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,2354
2009,Xaneiro,Pontevedra,Servizos de aloxamento,Réxime de autónomos,473
2009,Xaneiro,Pontevedra,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,11346
2009,Xaneiro,Pontevedra,Servizos de comidas e bebidas,Réxime de autónomos,7299
2009,Outubro,A Coruña,Agrario,Agrario,1417
2009,Outubro,A Coruña,Mar,Mar,6823
2009,Outubro,A Coruña,R. especial empregados fogar,R. especial empregados fogar,8461
2009,Outubro,Lugo,Agrario,Agrario,1367
2009,Outubro,Lugo,Mar,Mar,1894
2009,Outubro,Lugo,R. especial empregados fogar,R. especial empregados fogar,2862
2009,Outubro,Ourense,Agrario,Agrario,442
2009,Outubro,Ourense,Mar,Mar,0
2009,Outubro,Ourense,R. especial empregados fogar,R. especial empregados fogar,2966
2009,Outubro,Pontevedra,Agrario,Agrario,1390
2009,Outubro,Pontevedra,Mar,Mar,16011
2009,Outubro,Pontevedra,R. especial empregados fogar,R. especial empregados fogar,6185
2009,Outubro,A Coruña,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,700
2009,Outubro,A Coruña,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,163
2009,Outubro,A Coruña,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1880
2009,Outubro,A Coruña,"Agricultura, gandeiría e pesca",Réxime de autónomos,15552
2009,Outubro,A Coruña,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,39525
2009,Outubro,A Coruña,Construción,Réxime de autónomos,12839
2009,Outubro,A Coruña,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,55054
2009,Outubro,A Coruña,Industria e enerxía,Réxime de autónomos,5782
2009,Outubro,A Coruña,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1996
2009,Outubro,A Coruña,Non clasificados,Réxime de autónomos,0
2009,Outubro,A Coruña,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,208555
2009,Outubro,A Coruña,Resto de servizos,Réxime de autónomos,45394
2009,Outubro,A Coruña,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,2795
2009,Outubro,A Coruña,Servizos de aloxamento,Réxime de autónomos,549
2009,Outubro,A Coruña,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,14694
2009,Outubro,A Coruña,Servizos de comidas e bebidas,Réxime de autónomos,10070
