Rama de actividade,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 (p)
"R25 Fabricación de produtos metálicos, agás maquinaria e equipamento","450,442","502,892","599,164","636,329","688,078","719,403","851,248","843,425","940,751","771,035","722,396","720,768","592,238","619,865","605,873","654,158","674,104","713,799","720,069","738,956","704,886","828,085","977,705"
"R26 Fabricación de produtos informáticos, electrónicos e ópticos","32,409","35,091","37,847","44,625","46,031","44,032","52,506","51,705","83,426","104,110","104,809","60,258","65,557","43,437","62,481","72,585","70,894","74,731","85,018","83,197","79,048","77,463","83,557"
R27 Fabricación de material e equipamento eléctrico,"179,461","156,719","118,023","95,496","117,743","121,077","169,517","233,342","259,167","216,218","92,361","107,751","104,689","125,853","123,498","120,150","106,341","99,787","306,594","244,934","15,361","32,351","94,597"
R28 Fabricación de maquinaria e equipamento n.c.n.,"119,015","137,327","151,243","166,301","180,100","197,134","234,407","270,060","283,185","298,851","215,799","236,899","223,384","209,994","213,888","190,339","198,664","216,335","249,009","257,890","276,382","279,533","292,724"
"R29 Fabricación de vehículos de motor, remolques e semirremolques","711,396","746,006","772,799","832,477","839,394","854,704","1,006,710","1,222,872","1,122,264","978,732","1,006,825","977,951","921,650","1,047,127","1,060,172","1,009,707","947,040","968,412","1,088,351","1,241,375","1,179,134","1,316,435","1,367,547"
R30 Fabricación doutro material de transporte,"69,592","183,246","219,510","253,260","199,716","167,900","79,418","111,281","181,557","314,610","435,069","275,932","265,018","172,093","196,689","201,968","166,182","164,235","162,068","156,913","99,556","176,923","164,155"
R31 Fabricación de mobles,"112,364","121,611","103,094","143,540","140,513","183,040","191,054","191,488","201,003","183,763","162,374","143,924","148,057","137,588","125,575","115,343","129,128","160,392","144,722","156,612","118,508","151,054","162,872"
R32 Outras industrias manufactureiras,"18,327","19,777","16,565","23,445","23,218","30,275","31,597","32,046","33,420","40,679","35,189","34,737","35,161","35,402","38,310","40,256","45,404","52,407","61,085","64,461","57,455","65,949","74,979"
R33 Reparación e instalación de maquinaria e equipamento,"165,680","211,463","253,350","275,671","245,503","267,795","314,779","326,792","375,389","301,539","345,575","327,411","291,846","335,334","363,044","397,451","383,724","399,825","488,955","497,265","508,592","522,813","575,331"
"D. Enerxía eléctrica, gas, vapor e aire acondicionado","933,865","924,493","1,033,080","1,162,109","1,123,293","1,100,596","1,208,484","1,384,661","1,492,379","1,692,927","1,924,556","1,878,095","2,201,230","2,724,488","2,365,031","2,002,506","1,997,823","1,904,586","2,671,706","1,901,545","1,426,162","2,226,598","3,177,299"
"R35 Fornecemento de enerxía eléctrica, gas, vapor e aire acondicionado","933,865","924,493","1,033,080","1,162,109","1,123,293","1,100,596","1,208,484","1,384,661","1,492,379","1,692,927","1,924,556","1,878,095","2,201,230","2,724,488","2,365,031","2,002,506","1,997,823","1,904,586","2,671,706","1,901,545","1,426,162","2,226,598","3,177,299"
"E. Subministro de auga, actividades de saneamento, xestión de residuos e descontaminación","135,750","169,982","204,858","234,591","254,379","269,983","266,895","321,909","380,737","379,395","349,888","413,115","371,054","372,733","367,596","416,690","431,626","442,029","488,822","478,754","492,081","552,507","534,592"
"R36_39M Suministro de auga, actividades de saneamento, xestión de residuos e descontaminación de mercado","114,506","145,673","185,549","212,574","230,174","250,261","244,632","295,041","352,954","350,720","311,420","374,848","338,936","338,607","332,690","390,143","402,108","404,672","449,496","438,012","448,751","510,006","490,716"
R37_38NM Actividades de saneamento e xestión de residuos de non mercado,"21,244","24,309","19,309","22,017","24,205","19,722","22,263","26,868","27,783","28,675","38,468","38,267","32,118","34,126","34,906","26,547","29,518","37,357","39,326","40,742","43,330","42,501","43,876"
F. Construción,"3,541,202","3,916,930","4,272,713","4,558,078","4,846,593","5,404,205","5,969,478","6,203,531","6,568,841","6,291,830","5,480,626","4,664,400","3,942,812","3,428,065","3,419,459","3,551,397","3,780,085","4,028,672","4,176,252","4,464,345","3,994,457","3,951,134","4,281,005"
R41_43 Construción ,"3,541,202","3,916,930","4,272,713","4,558,078","4,846,593","5,404,205","5,969,478","6,203,531","6,568,841","6,291,830","5,480,626","4,664,400","3,942,812","3,428,065","3,419,459","3,551,397","3,780,085","4,028,672","4,176,252","4,464,345","3,994,457","3,951,134","4,281,005"
G. Comercio e reparación de vehículos,"3,911,183","4,169,741","4,661,783","4,943,678","5,375,343","5,795,757","6,260,925","6,816,171","6,716,397","6,099,966","6,244,881","6,033,875","5,874,988","5,793,798","5,949,967","6,252,899","6,666,435","6,595,793","6,655,294","6,818,743","6,391,911","7,449,321","8,457,170"
R45 Venda e reparación de vehículos de motor,"608,825","665,191","629,715","668,402","734,417","846,283","842,714","982,210","910,025","786,873","754,763","734,483","646,620","600,167","610,054","649,148","722,653","839,797","781,116","788,493","786,300","808,243","1,045,077"
"R46 Comercio polo xunto e intermediarios do comercio, agás de vehículos de motor","1,265,443","1,472,169","1,805,588","1,946,005","2,098,955","2,278,034","2,584,690","2,886,650","2,721,706","2,404,067","2,476,503","2,500,701","2,489,764","2,486,671","2,658,108","2,863,117","3,080,908","3,008,844","3,059,403","3,144,563","2,786,120","3,582,318","4,074,462"
