"year","catch","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","species"
2006,227.1,0.98317513051334,1.22095179083734,1.4267267796755,1.60925675937005,1.82772065153075,0.244249076187896,1.41492736117873,"Trisopterus luscus"
2006,1214.7,1.07251106468965,1.34201669765142,1.52772682865361,1.68316899277402,1.91056088850893,0.226671429060899,1.51202468087208,"Trisopterus luscus"
2007,202.6,0.953246978677698,1.19800363457719,1.34569189134326,1.47925169387662,1.66842522111047,0.191208045775487,1.33283690393626,"Trisopterus luscus"
2007,520.7,1.0904501804063,1.32843292531614,1.4648251257032,1.58819996563079,1.78558355424059,0.183689193957148,1.452600341341,"Trisopterus luscus"
2008,318,1.13548925589505,1.36234694316322,1.47566647972588,1.59645763916183,1.77970196955194,0.171547265829928,1.47150847689009,"Trisopterus luscus"
2008,1061,1.20696315272894,1.42890121457674,1.54976668275014,1.65960965189713,1.83355527237597,0.160106583776167,1.54101401785148,"Trisopterus luscus"
2009,344.4,1.1022105336311,1.30912417397225,1.40528452421178,1.49862964515722,1.65142071174527,0.139593971806079,1.40086011428089,"Trisopterus luscus"
2009,606.8,1.19059131825062,1.39811757672767,1.48780062360737,1.5737966152238,1.7323362577761,0.136906114388291,1.48052876864685,"Trisopterus luscus"
2010,645,1.22855522446333,1.39599610486447,1.47825053557553,1.56163295258641,1.70942566651943,0.126920466545582,1.47667673171778,"Trisopterus luscus"
2010,847.9,1.23686203520245,1.37863039600387,1.45899070851235,1.54574982399224,1.68830768595121,0.118421715444475,1.46159987505698,"Trisopterus luscus"
2011,1132.8,1.196020234551,1.32253595810977,1.3955382956275,1.47611416631829,1.60169919165658,0.108680827763432,1.39819786133651,"Trisopterus luscus"
2011,676.43,1.08690207419768,1.20443726460084,1.27041706765152,1.33635276297644,1.47338606369892,0.0995939736209147,1.27192107786451,"Trisopterus luscus"
2012,2185.71,1.11916644357731,1.21675807937726,1.27912976606478,1.3431001803754,1.4847132770095,0.0938288156853383,1.2816385492356,"Trisopterus luscus"
2012,914.97,0.758417210578884,0.833763727405757,0.880769806776572,0.929953393357205,1.05057427537954,0.0742765835979564,0.885112894831105,"Trisopterus luscus"
2013,1663.06,0.722520285806705,0.797176715064845,0.83324446151315,0.877686325172444,0.976074580237434,0.0631995633500209,0.840312804293089,"Trisopterus luscus"
2013,746.17,0.487775060425902,0.548843482398437,0.585171896970502,0.627656807173555,0.719050192978376,0.0609825883496054,0.59081944610636,"Trisopterus luscus"
2014,1009.73,0.463443787229647,0.513718927298866,0.552124364985456,0.592518251744839,0.690874055715526,0.0583090599594413,0.557275738719763,"Trisopterus luscus"
2014,550.33,0.344470536958697,0.402477167782161,0.442559593132035,0.484054243874479,0.582932465402481,0.061046941044334,0.446936457690769,"Trisopterus luscus"
