"year","Galician_name","FAOcode","total_kg","total_euros","Scientific_name","English_name","Family","Order.or.higher.taxa"
2022,"Buche bravo","ASN",8150,3260,"Ascophyllum nodosum","North Atlantic rockweed","FUCACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)"
2022,"Burro","HAD",191773.71,368882.29,"Melanogrammus aeglefinus","Haddock","GADIDAE","GADIFORMES"
2022,"Cabezudo","UUC",1.1,3.3,"Uranoscopus scaber","Stargazer","URANOSCOPIDAE","LABRIFORMES (URANOSCOPOIDEI)"
2022,"Cabra de altura","BRF",535291.034,2326829.671,"Helicolenus dactylopterus","Blackbelly rosefish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Cabra dourada","REG",284,1931.37,"Sebastes norvegicus","Golden redfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Cabracho de fondo","TJX",7066.6,41471.74,"Trachyscorpia cristulata","Atlantic thornyhead","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Cabras","RED",17829.5,61091.2,"Sebastes spp","Atlantic redfishes NEI","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Cadelucha","DXL",740.6,35053.926,"Donax trunculus","Truncate donax","DONACIDAE","BIVALVIA"
2022,"Camarón común","CPR",76905.85,2363798.383,"Palaemon serratus","Common prawn","PALAEMONIDAE","DECAPODA (PLEOCYEMATA) CARIDEA"
2022,"Camarón de poza","PNQ",501.5,4513.5,"Palaemon elegans","Rockpool prawn","PALAEMONIDAE","DECAPODA (PLEOCYEMATA) CARIDEA"
2022,"Cangrexo común","CRG",39916.95,78752.397,"Carcinus maenas","Green crab","CARCINIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA"
2022,"Cangrexo real","KEF",681.75,10604.72,"Chaceon affinis","Deep-sea red crab","GERYONIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA"
2022,"Caracola","WHE",9.6,23.46,"Buccinum undatum","Whelk","BUCCINIDAE","GASTROPODA"
2022,"Carallos de mar nep","CUX",142,335.12,"Holothuroidea","Sea cucumbers NEI","","ECHINODERMATA (HOLOTHUROIDEA)"
2022,"Caramuxo","PEE",187.55,345.95,"Littorina littorea","Common periwinkle","LITTORINIDAE","GASTROPODA"
2022,"Carneiro","VEV",76836.07,747074.348,"Venus verrucosa","Warty venus","VENERIDAE","BIVALVIA"
2022,"Castañeta","POA",1063599.61,3271303.69,"Brama brama","Atlantic pomfret","BRAMIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Castañeta de aleta longa","TAL",137,212.63,"Taractichthys longipinnis","Big-scale pomfret","BRAMIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Castañeta de quilla","TCR",198,257.74,"Taractes rubescens","","BRAMIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Castañeta macho","BYS",19345.45,136973.07,"Beryx splendens","Splendid alfonsino","BERYCIDAE","BERYCIFORMES"
2022,"Castañeta vermella","BXD",37955.76,1081145.03,"Beryx decadactylus","Alfonsino","BERYCIDAE","BERYCIFORMES"
2022,"Cazapa","SHO",8007.1,2809.64,"Galeus melastomus","Blackmouth catshark","PENTANCHIDAE","CARCHARHINIFORMES"
2022,"Cazón","GAG",8620.1,13912.93,"Galeorhinus galeus","Tope shark","TRIAKIDAE","CARCHARHINIFORMES"
2022,"Cazón liso","SMD",283.1,312.16,"Mustelus mustelus","Smooth-hound","TRIAKIDAE","CARCHARHINIFORMES"
2022,"Centola ou centolo","JDV",700685.835,6451512.995,"Maja brachydactyla","Common spider crab","MAJIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA"
2022,"Chaparella","CTB",69740.53,292695.732,"Diplodus vulgaris","Common two-banded seabream","SPARIDAE","ACANTHURIFORMES"
2022,"Cherna de ley","GPW",2191.6,19977.89,"Epinephelus aeneus","White grouper","EPINEPHELIDAE","PERCIFORMES (PERCOIDEI)"
2022,"Choco","CTC",606592.096,4550467.30299999,"Sepia officinalis","Common cuttlefish","SEPIIDAE","CEPHALOPODA (CUTTLEFISHES)"
2022,"Chopiño","CTR",2529.95,17766.008,"Sepiola rondeletii","Dwarf bobtail squid","SEPIOLIDAE","CEPHALOPODA (CUTTLEFISHES)"
2022,"Choquiño","EJE",688.25,9190.358,"Sepia elegans","Elegant cuttlefish","SEPIIDAE","CEPHALOPODA (CUTTLEFISHES)"
2022,"Choquiño picudo","IAR",63.7,978.65,"Sepia orbignyana","Pink cuttlefish","SEPIIDAE","CEPHALOPODA (CUTTLEFISHES)"
2022,"Choupa","BRB",102489.89,170820.495999999,"Spondyliosoma cantharus","Black seabream","SPARIDAE","ACANTHURIFORMES"
2022,"Cigala","NEP",206774.15,3135588,"Nephrops norvegicus","Norway lobster","NEPHROPIDAE","DECAPODA (PLEOCYEMATA) ASTACIDEA"
2022,"Cochinilla","OIL",1114,2913.59,"Ruvettus pretiosus","Oilfish","GEMPYLIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Cogombro de mar real","JCR",73445.35,235488.47,"Parastichopus regalis","Royal cucumber","STICHOPODIDAE","ECHINODERMATA (HOLOTHUROIDEA)"
2022,"Congro","COE",1304321.88,2767817.00400001,"Conger conger","European conger","CONGRIDAE","ANGUILLIFORMES"
2022,"Conguito","ICC",4903.5,8545.754,"Polybius corrugatus","Wrinkled swimcrab","POLYBIIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA"
2022,"Coreano","WIT",673568.3,1816272.07,"Glyptocephalus cynoglossus","Witch flounder","PLEURONECTIDAE","CARANGIFORMES (PLEURONECTOIDEI)"
2022,"Cornicha","ULO",498220.099999999,2913875.867,"Spisula solida","Solid surf clam","MACTRIDAE","BIVALVIA"
2022,"Correa","HLZ",21811,12135.1,"Himanthalia elongata","Sea thong","HIMANTHALIACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)"
2022,"Corvina real","MGR",1354.55,7463.036,"Argyrosomus regius","Meagre","SCIAENIDAE","ACANTHURIFORMES"
2022,"Curuxo","BLL",28094.17,487711.471000001,"Scophthalmus rhombus","Brill","SCOPHTHALMIDAE","CARANGIFORMES (PLEURONECTOIDEI)"
2022,"Dentón","DEC",3701.66,45071.563,"Dentex dentex","Common dentex","SPARIDAE","ACANTHURIFORMES"
2022,"Dentón angoleño","DEA",8962.6,32574.618,"Dentex angolensis","Angolan dentex","SPARIDAE","ACANTHURIFORMES"
2022,"Dentón ollón","DEL",8617.35,31277.59,"Dentex macrophthalmus","Large-eye dentex","SPARIDAE","ACANTHURIFORMES"
2022,"Doncela","COU",5477.99,21344.565,"Coris julis","Rainbow wrasse","LABRIDAE","LABRIFORMES (LABROIDEI)"
2022,"Dourada","SBG",8077.41,156558.819,"Sparus aurata","Gilthead seabream","SPARIDAE","ACANTHURIFORMES"
2022,"Dourado común","DOL",233,1437.1,"Coryphaena hippurus","Common dolphinfish","CORYPHAENIDAE","CARANGIFORMES (CARANGOIDEI)"
2022,"Escacho de altura","GUN",4210.85,7622.55,"Trigla lyra","Piper gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Escacho de cremalleira","GUR",70645.5,59134.48,"Chelidonichthys cuculus","Red gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Escacho de pluma","GUM",4.5,15.75,"Chelidonichthys obscurus","Longfin gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Escachos","GUY",145848.83,430061.144,"Trigla spp","Gurnards NEI","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Escarapote de pedra","RSE",59601.6100000001,438927.098,"Scorpaena scrofa","Red scorpionfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Escarapote de pintas","BBS",19743.75,123033.95,"Scorpaena porcus","Black scorpionfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Escarapote rosado","EZS",1073.8,6275.302,"Scorpaena elongata","Slender rockfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Escarpón","LYY",3852.34,3228.591,"Callionymus lyra","Dragonet","CALLIONYMIDAE","SYNGNATHIFORMES"
2022,"Escolar negro","LEC",34361.7,107114.49,"Lepidocybium flavobrunneum","Escolar","GEMPYLIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Faneca","BIB",545076.581000001,1438067.293,"Trisopterus luscus","Pouting(=Bib)","GADIDAE","GADIFORMES"
2022,"Faneca brava","TOZ",17.3,26.09,"Echiichthys vipera","Lesser weever","TRACHINIDAE","PERCIFORMES (PERCOIDEI)"
2022,"Ferreira","SSB",763.4,5314.55,"Lithognathus mormyrus","Sand steenbras","SPARIDAE","ACANTHURIFORMES"
2022,"Fideo de mar","KJT",6933,7269.95,"Codium tomentosum","","CODIACEAE","CHLOROPHYTA (ULVOPHYCEAE)"
2022,"Fodón","POD",3685.65,14463.978,"Trisopterus minutus","Poor cod","GADIDAE","GADIFORMES"
2022,"Fogoneiro","POK",2493.6,6102.59,"Pollachius virens","Saithe(=Pollock)","GADIDAE","GADIFORMES"
2022,"Fucus","FUV",7025,2458.75,"Fucus vesiculosus","Bladder wrack","FUCACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)"
2022,"Galana","SBS",365.5,337.94,"Oblada melanurus","Saddled seabream","SPARIDAE","ACANTHURIFORMES"
2022,"Galludo","QUB",49700.3,355657.92,"Squalus blainville","Longnose spurdog","SQUALIDAE","SQUALIFORMES"
2022,"Gamba branca","DPS",0.75,9.39,"Parapenaeus longirostris","Deep-water rose shrimp","PENAEIDAE","DECAPODA (DENDROBRANCHIATA) PENAEOIDEA"
2022,"Gamba rosada","ARA",32.75,492.48,"Aristeus antennatus","Blue and red shrimp","ARISTEIDAE","DECAPODA (DENDROBRANCHIATA) PENAEOIDEA"
2022,"Gamba vermella","ARS",455.3,8523.82,"Aristaeomorpha foliacea","Giant red shrimp","ARISTEIDAE","DECAPODA (DENDROBRANCHIATA) PENAEOIDEA"
2022,"Gata común","ETX",41.5,132,"Etmopterus spinax","Velvet belly","ETMOPTERIDAE","SQUALIFORMES"
2022,"Gavilán","UBI",2839.2,252381.349,"Scoletoma impatiens","","LUMBRINERIDAE","ANELLIDA (POLYCHAETA)"
2022,"Golfo","UDP",373846.5,324234.55,"Undaria pinnatifida","Wakame","ALARIACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)"
2022,"Jaiba de roca dientuda","KCB",203.75,1222.5,"Cancer bellianus","Toothed rock crab","CANCRIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA"
2022,"Lagosta","SLO",738.3,13896.225,"Palinurus elephas","Common spiny lobster","PALINURIDAE","DECAPODA (PLEOCYEMATA) ACHELATA"
2022,"Lamprea de mar","LAU",6066.8,171749.58,"Petromyzon marinus","Sea lamprey","PETROMYZONTIDAE","PETROMYZONTIFORMES"
2022,"Lapa común","QTV",137.2,493.92,"Patella vulgata","Limpet","PATELLIDAE","GASTROPODA"
2022,"Linguado","SOL",165688.27,2972948.475,"Solea solea","Common sole","SOLEIDAE","CARANGIFORMES (PLEURONECTOIDEI)"
2022,"Linguado de area","SOS",26999.84,227099.821,"Pegusa lascaris","Sand sole","SOLEIDAE","CARANGIFORMES (PLEURONECTOIDEI)"
2022,"Linguado de pintas","OAL",2882.95,53124.323,"Solea senegalensis","Senegalese sole","SOLEIDAE","CARANGIFORMES (PLEURONECTOIDEI)"
2022,"Lirio","WHB",21418128.72,15125513.184,"Micromesistius poutassou","Blue whiting(=Poutassou)","GADIDAE","GADIFORMES"
2022,"Lirpia raiada","MKG",31152.093,127115.333,"Microchirus variegatus","Thickback sole","SOLEIDAE","CARANGIFORMES (PLEURONECTOIDEI)"
2022,"Longueirón","EQI",57883.75,531238.733,"Ensis siliqua","Sword razor shell","PHARIDAE","BIVALVIA"
2022,"Longueirón vello","RAE",29602.6,239937.56,"Solen marginatus","European razor clam","SOLENIDAE","BIVALVIA"
2022,"Lorchos","GOB",9954.85,20024.696,"Gobius spp","Atlantic gobies NEI","GOBIIDAE","GOBIIFORMES"
2022,"Lumbrigante","LBE",22696.75,731215.786,"Homarus gammarus","European lobster","NEPHROPIDAE","DECAPODA (PLEOCYEMATA) ASTACIDEA"
2022,"Lura","SQR",275785.2,3160894.875,"Loligo vulgaris","European squid","LOLIGINIDAE","CEPHALOPODA (SQUIDS)"
2022,"Lura colorada","SQF",205.4,3391.8,"Loligo forbesii","Veined squid","LOLIGINIDAE","CEPHALOPODA (SQUIDS)"
2022,"Madrela","LCM",1572.8,12794.04,"Ciliata mustela","Fivebeard rockling","GAIDROPSARIDAE","GADIFORMES"
2022,"Maragota","USB",259787.13,679654.661999999,"Labrus bergylta","Ballan wrasse","LABRIDAE","LABRIFORMES (LABROIDEI)"
