"year","Galician_name","total_kg","total_euros","Spanish_name","FAO","Scientific_Name"
2022,"cigala",206774.15,3135588,NA,"NEP","Nephrops norvegicus"
2022,"cochinilla",1114,2913.59,"Escolar o pez mantequilla","OIL","Ruvettus pretiosus"
2022,"cogombro de mar real",73445.35,235488.47,"Espardeña","JCR","Parastichopus (=Stichopus) regalis"
2022,"congro",1304321.88,2767817.00400001,"Congrio","COE","Conger conger"
2022,"conguito",4903.5,8545.754,"Cangrejo de arrugas","ICC","Liocarcinus corrugatus"
2022,"coreano",673568.3,1816272.07,"Mendo","WIT","Glyptocephalus cynoglossus"
2022,"cornicha",498220.099999999,2913875.867,"Almeja blanca o clica","ULO","Spisula solida"
2022,"correa",21811,12135.1,NA,"HLZ","Himanthalia elongata"
2022,"corvina real",1354.55,7463.036,"Corvina","MGR","Argyrosomus regius"
2022,"curuxo",28094.17,487711.471000001,"Remol","BLL","Scophthalmus rhombus"
2022,"dentón",3701.66,45071.563,"Dentón o dentón europeo","DEC","Dentex dentex"
2022,"dentón angoleño",8962.6,32574.618,NA,NA,NA
2022,"dentón ollón",8617.35,31277.59,"Cachucho","DEL","Dentex macrophthalmus"
2022,"doncela",5477.99,21344.565,"Julia","COU","Coris julis"
2022,"dourada",8077.41,156558.819,"Dorada","SBG","Sparus aurata"
2022,"dourado común",233,1437.1,"Lampuga","DOL","Coryphaena hippurus"
2022,"escacho de altura",4210.85,7622.55,"Garneo","GUN","Trigla lyra"
2022,"escacho de cremalleira",70645.5,59134.48,NA,NA,NA
2022,"escacho de pluma",4.5,15.75,"Arete aletón","GUM","Chelidonichthys obscurus"
2022,"escachos",145848.83,430061.144,NA,NA,NA
2022,"escarapote de pedra",59601.6100000001,438927.098,"Cabracho","RSE","Scorpaena scrofa"
2022,"escarapote de pintas",19743.75,123033.95,"Rascacio","BBS","Scorpaena porcus"
2022,"escarapote rosado",1073.8,6275.302,"Gallineta rosada","EZS","Scorpaena elongata"
2022,"escarpón",3852.34,3228.591,"Dragoncillo","LYY","Callionymus lyra"
2022,"escolar negro",34361.7,107114.49,NA,NA,NA
2022,"faneca",545076.581000001,1438067.293,NA,NA,NA
2022,"faneca brava",17.3,26.09,"Salvariego","TOZ","Trachinus vipera"
2022,"ferreira",763.4,5314.55,"Herrera","SSB","Lithognathus mormyrus"
2022,"fideo de mar",6933,7269.95,NA,NA,NA
2022,"fodón",3685.65,14463.978,NA,NA,NA
2022,"fogoneiro",2493.6,6102.59,"Carbonero o fogonero o colin","POK","Pollachius virens"
2022,"fucus",7025,2458.75,NA,NA,NA
2022,"galana",365.5,337.94,"Oblada","SBS","Oblada melanura"
2022,"galludo",49700.3,355657.92,NA,NA,NA
2022,"gamba branca",0.75,9.39,"Gamba, gamba blanca o gamba de altura","DPS","Parapenaeus longirostris"
2022,"gamba rosada",32.75,492.48,"Gamba roja del mediterráneo","ARA","Aristeus antennatus"
2022,"gamba vermella",455.3,8523.82,"Langostino moruno o chorizo","ARS","Aristaeomorpha foliacea"
2022,"gata común",41.5,132,"Negrito","ETX","Etmopterus spinax"
2022,"gavilán",2839.2,252381.349,NA,NA,NA
2022,"golfo",373846.5,324234.55,"Abeto marino","UDP","Undaria pinnatifida"
2022,"jaiba de roca dientuda",203.75,1222.5,NA,NA,NA
2022,"lagosta",738.3,13896.225,"Langosta","SLO","Palinurus elephas"
2022,"lamprea de mar",6066.8,171749.58,"Lamprea","LAU","Petromyzon marinus"
2022,"lapa común",137.2,493.92,"Lapa","QTV","Patella vulgata"
2022,"linguado",165688.27,2972948.475,"Lenguado europeo","SOL","Solea solea"
2022,"linguado de area",26999.84,227099.821,"Lenguado de arena","SOS","Solea lascaris"
2022,"linguado de pintas",2882.95,53124.323,"Lenguado senegalés o lenguado rubio","OAL","Solea senegalensis"
2022,"lirio",21418128.72,15125513.184,"Bacaladilla","WHB","Micromesistius poutassou"
2022,"lirpia raiada",31152.093,127115.333,"Golleta","MKG","Microchirus variegatus"
2022,"longueirón",57883.75,531238.733,"Muergo","EQI","Ensis siliqua"
2022,"longueirón vello",29602.6,239937.56,"Longueirón","RAE","Solen marginatus"
2022,"lorchos",9954.85,20024.696,NA,NA,NA
2022,"lumbrigante",22696.75,731215.786,"Bogavante europeo","LBE","Homarus gammarus"
2022,"lura",275785.2,3160894.875,"Calamar o calamar europeo","SQR","Loligo vulgaris"
2022,"lura colorada",205.4,3391.8,"Calamar veteado","SQF","Loligo forbesi"
2022,"madrela",1572.8,12794.04,"Barbada o madreanguila","LCM","Ciliata mustela"
2022,"maragota",259787.13,679654.661999999,NA,NA,NA
2022,"marlín branco",37,68.45,"Aguja blanca del Atlántico","WHM","Tetrapturus albidus"
2022,"marraxo azul",2190.4,8610.605,"Marrajo","SMA","Isurus oxyrinchus"
2022,"maruca",72267.5,145967.77,NA,NA,NA
2022,"maruca do mediterráneo",86,145.55,NA,NA,NA
2022,"melga",19.8,59.4,"Mielga","DGS","Squalus acanthias"
2022,"melgacho",398296.2,183917.988,"Pintarroja","SYC","Scyliorhinus canicula"
2022,"melva",205,205.27,NA,NA,NA
2022,"melvas",1920.8,1830.54,NA,NA,NA
2022,"mendo limón",191763.2,479102.28,"Mendo limón o falsa limanda","LEM","Microstomus kitt"
2022,"merlán",869.25,1484.15,NA,NA,NA
2022,"mero",22435.55,612668.81,NA,NA,NA
2022,"mero dourado",143.2,544.76,"Falso abade","EPK","Epinephelus costae"
2022,"mero xigante",138.2,1242.636,"Cherne dentón","EFJ","Epinephelus caninus"
2022,"miñoca de area",780.56,19519.913,NA,NA,NA
2022,"miñoca de tubo",1592.585,40979.744,NA,NA,NA
2022,"morea",125.25,103.61,"Morena","MMH","Muraena helena"
2022,"muxo beizos finos",4659.8,9109.09,"Morragute","MGC","Liza ramada"
2022,"muxo cabezudo",27187.15,44995.12,"Mugil","MUF","Mugil cephalus"
2022,"muxo dourado",636.15,814.068,"Galupe o lisa","MGA","Liza aurata"
2022,"muxo negro",1318.4,1328.56,NA,NA,NA
2022,"muxo saltón gris",9335.55,13922.8,"Galua","LZS","Liza saliens"
2022,"muxos",2.8,1.5,NA,NA,NA
2022,"navalla",542059.43,7173765.22199999,"Navaja","EQK","Ensis magnus (=arcuatus)"
2022,"nécora",106126.45,2004236.596,NA,"LIO","Necora puber"
2022,"obispo",2027.4,4628.13,NA,NA,NA
2022,"olayo atlántico",23026.3,4677.49,NA,NA,NA
2022,"ollomol",57569.29,1488471.172,"Besugo","SBR","Pagellus bogaraveo"
2022,"ortiguilla de mar",19930,257745.371,NA,"NOW","Anemonia sulcata"
2022,"ostra",92848.545,557750.03,NA,NA,NA
2022,"ostra rizada",253528.49,269500.409,NA,"OYG","Crassostrea gigas"
2022,"ourizo",655824.8,7481715.774,"Erizo de mar","URM","Paracentrotus lividus"
2022,"outras",19890,19413,NA,NA,NA
2022,"ovas de maruca",2.5,7,NA,"LI0","Molva molva"
2022,"ovas de abadexo",3,7.59,NA,NA,NA
2022,"ovas de pescada",145011.72,654789.595,NA,"HK0","Merluccius merluccius"
2022,"pampo azul",11.4,50.9,"Pampano","BLB","Stromateus fiatola"
2022,"pancho bicudo",102028.88,488023.77,"Aligote","SBA","Pagellus acarne"
2022,"patexo",28480,2994.76,NA,NA,NA
2022,"peixe araña",1723.35,1936.98,"Escorpión","WEG","Trachinus draco"
2022,"peixe cinta",6934,15078.95,"Pez cinta","CBC","Cepola macrophthalma"
2022,"peixe espada",797207.55,5934366.15,NA,NA,NA
2022,"peixe limón",12.25,47.675,"Pez de limón","AMB","Seriola dumerili"
2022,"peixe negro",18,9,"Romerillo","CEO","Centrolophus niger"
2022,"peixe pau",50737.04,124868.52,"Maruca azul o arbitán","BLI","Molva dypterygia"
2022,"peixe porco",9306.81,34172.279,"Pez ballesta","TRG","Balistes capriscus (=carolinensis)"
2022,"peixe sabre",5677,19713.37,"Pez sable","LHT","Trichiurus lepturus"
2022,"peixe sabre alongado",1592.6,6297.84,"Sable alargado","BDL","Benthodesmus elongatus"
2022,"peixe sabre negro",40132.47,150794.28,"Sable negro","BSF","Aphanopus carbo"
2022,"peixe sabre prateado",8063.83,36679.51,"Pez cinto o sable plateado","SFS","Lepidopus caudatus"
2022,"peixe sapo",4684419.045,25339320.773,"Rape negro","ANK","Lophius budegassa"
2022,"peixe xabaril",94,12.8,NA,NA,NA
2022,"pejerreyes",107.6,171.57,NA,NA,NA
2022,"peneira",938.5,21947.88,"Oreja de mar","HLT","Haliotis tuberculata"
2022,"percebe",242793.394,8311062.24700001,NA,"PCB","Pollicipes pollicipes"
2022,"pescada",21963335.108,98338072.0620001,"Merluza o merluza europea","HKE","Merluccius merluccius"
2022,"piarda común",53652.5,121160.079,"Abichon","ATP","Atherina presbyter"
2022,"pión de altura",2006.6,4881.68,"Peón","ARY","Argentina sphyraena"
2022,"polbo",2260843.19,20741649.801,"Pulpo","OCC","Octopus vulgaris"
2022,"polbo cabezón",469105.25,1249541.875,"Pulpo blanco","EOI","Eledone cirrhosa"
2022,"pota común",359610.1,539925.883,"Volador","SQM","Illex coindetii"
2022,"pota pequena",762258.05,1051535.83,"Pota costera","TDQ","Todaropsis eblanae"
2022,"pota voadora",10308450.47,14680187.804,"Pota","SQI","Illex illecebrosus"
2022,"potón común",3078.5,10049.69,NA,NA,NA
2022,"prago",16418.875,259200.013,"Pargo","RPG","Pagrus pagrus"
2022,"puntilla común",3431.25,20424.28,"Calamarín picudo","OUL","Alloteuthis subulata"
2022,"puntilla pequena",11752.95,76665.643,"Calamarín menor","OUM","Alloteuthis media"
2022,"quenlla",930963.75,1910737.99,"Tintorera o caella","BSH","Prionace glauca"
2022,"rabioso",88.1,79.05,"Almendra de mar","GKL","Glycymeris glycymeris"
2022,"raia boca de rosa",24870,76310.31,NA,NA,NA
2022,"raia coreada",3340.4,6731.36,"Raya de ojos","RJE","Raja microocellata"
2022,"raia cravuda",795205.84,1899847.584,"Raya de clavos","RJC","Raja clavata"
2022,"raia de círculos",13011.35,34129.28,"Raya falsa vela","RJI","Raja circularis"
2022,"raia de pintas",71136.96,174793.385,"Raya pintada","RJM","Raja montagui"
2022,"raia espiñeta",23100.5,62490.67,NA,NA,NA
2022,"raia riscada",20530.36,59520.749,"Raya mosaico","RJU","Raja undulata"
2022,"raia santiaguesa",134490.2,253781.2,NA,NA,NA
2022,"raias",118712.065,327444.656,NA,NA,NA
2022,"rapante",523226.92,2391451.23,"Gallo del norte","MEG","Lepidorhombus whiffiagonis"
2022,"rapante de manchas",63569.2,254162.74,"Gallo","LDB","Lepidorhombus boscii"
2022,"rapantes",4291952.90999999,17355629.847,"Lepidorhombus spp","LEZ","Gallo"
2022,"rapapelos de kessler",25.65,60.76,"Peluda","RKZ","Arnoglossus kessleri"
2022,"rapapelos de ollos grandes",1.25,4.125,NA,NA,NA
2022,"rascón bicudo",51.5,103,"Solleta","CIL","Citharus linguatula"
2022,"rei",2623.05,3465.377,NA,NA,NA
2022,"reloxo prateado",512.6,1635.15,"Reloj mediterráneo","HPR","Hoplostethus mediterraneus"
2022,"reló",57676.19,244441.714,NA,"DSX","Dosinia exoleta"
2022,"robaliza",388885.08,5395938.136,"Lubina o róbalo","BSS","Dicentrarchus labrax"
2022,"robaliza de pintas",669.7,4930.643,"Baila","SPU","Dicentrarchus punctatus"
2022,"rodaballo",67533.6300000001,1557214.207,NA,NA,NA
2022,"roncador mulato",801.45,1265.43,"Burro o roncador","GBR","Plectorhinchus mediterraneus"
2022,"roxa",40062.8,26895.45,"Alitan","SYT","Scyliorhinus stellaris"
2022,"rufo imperial",7328.7,58011.56,NA,NA,NA
2022,"saboga",211451.15,165594.311,"Salema","SLM","Sarpa salpa"
2022,"salema",14666.45,9914.822,NA,NA,NA
2022,"salmonete de lama",1702.95,23503.496,"Salmonete de fango","MUT","Mullus barbatus"
2022,"salmonete de rocha",77185.7,1168766.397,"Salmonete de roca","MUR","Mullus surmuletus"
2022,"salmonetes",274.2,5412.25,NA,NA,NA
2022,"salmón do atlántico",6.7,117.25,"Salmón atlántico o salmón","SAL","Salmo salar"
2022,"sanmartiño",221041.6,2746600.32,"Pez de San Pedro","JOD","Zeus faber"
2022,"sanmartiño prateado",2.9,5.8,"Gallo plateado o San Pedro americano","JOS","Zenopsis conchifer"
2022,"santiaguiño",658.69,62734.18,"Santiaguiños o cigarras","YLX","Scyllarus spp"
2022,"sardiña",11461192.46,13677612.547,"Sardina","PIL","Sardina pilchardus"
