2003;Bivalvos;CLJ;Ameixa xaponesa;1224864,49;8605292,46;7,03
2003;Bivalvos;COC;Berberecho;966915,00;3334940,61;3,45
2003;Bivalvos;CTG;Ameixa fina;213713,00;3506040,03;16,41
2003;Bivalvos;CTS;Ameixa babosa;128266,00;1412285,29;11,01
2003;Bivalvos;MSM;Mexillón;246956117,45;126011590,38;0,51
2003;Bivalvos;OYF;Ostra plana;2073092,00;6069945,00;2,93
2003;Bivalvos;OYG;Ostra rizada;127000,00;177750,00;1,40
2003;Cefalópodos;OCC;Polbo;10240,00;60472,94;5,91
2003;Peixes;ORC;Salmóns do Pacífico;50000,00;150000,00;3,00
2003;Peixes;SBR;Ollomol;8665,00;79884,41;9,22
2003;Peixes;TUR;Rodaballo;3141182,00;27307694,64;8,69
2004;Bivalvos;CLJ;Ameixa xaponesa;1520277,50;9413711,36;6,19
2004;Bivalvos;COC;Berberecho;1052940,50;3390281,60;3,22
2004;Bivalvos;CTG;Ameixa fina;226426,00;5399276,23;23,85
2004;Bivalvos;CTS;Ameixa babosa;310197,50;3186811,00;10,27
2004;Bivalvos;MSM;Mexillón;292292494,73;141123717,83;0,48
2004;Bivalvos;MSM.;Mexillón (parques de cultivo);23104,00;26466,25;1,15
2004;Bivalvos;OYF;Ostra plana;2574511,00;7653185,60;2,97
2004;Bivalvos;OYG;Ostra rizada;122940,00;153675,00;1,25
2004;Cefalópodos;OCC;Polbo;12658,00;80246,00;6,34
2004;Peixes;BSS;Robaliza;5000,00;50000,00;10,00
2004;Peixes;ORC;Salmóns do Pacífico;30000,00;81000,00;2,70
2004;Peixes;SBR;Ollomol;48047,00;387310,00;8,06
2004;Peixes;TRS;Troita común;120000,00;360000,00;3,00
2004;Peixes;TUR;Rodaballo;3605956,88;28027164,00;7,77
2005;Bivalvos;CLJ;Ameixa xaponesa;1342593,50;7991946,88;5,95
2005;Bivalvos;COC;Berberecho;508855,00;1332633,75;2,62
2005;Bivalvos;CTG;Ameixa fina;185628,00;4779632,00;25,75
2005;Bivalvos;CTS;Ameixa babosa;268694,00;3019498,50;11,24
