"Column1","Area","Units","Country","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","Latin species name","English","Spanish","French"
"DPS","27.8.c","TLW","ES","0.04","0.01","0.02","0.02","0.01","0.07","0","0","0","0","0.01","0","0.4","0","0","0","0","Parapenaeus longirostris","Deep-water rose shrimp","Gamba de altura","Crevette rose du large"
"DPS","27.9.a","TLW","ES","2044.73","1953.58","1458.91","1642.94","1405.83","586.42","516.94","285.09","774.05","660.08","1119.34","1989.58","1216.2","3087.7","1643","476","373.5","Parapenaeus longirostris","Deep-water rose shrimp","Gamba de altura","Crevette rose du large"
"DPX","27.8.c","TLW","ES","0.63","2.14","1.44","3.15","7.83","14.34","7.61","3.87","16.16","14.34","11.85","8.07","5.1","2.7","4","11.3","1.7","Perciformes","Demersal percomorphs nei","Percomorfos demersales nep","Percomorphes démersaux nca"
"DPX","27.9.a","TLW","ES","4.49","5.71","14.55","20.68","16.6","9.72","18.25","23.57","8.68","9.45","39.25","35.41","50.1","45.6","11","20.3","11.2","Perciformes","Demersal percomorphs nei","Percomorfos demersales nep","Percomorphes démersaux nca"
"DSX","27.8.c","TLW","ES","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0","0","0","0","Dosinia exoleta","Mature dosinia","Reloj","Montre radiée"
"DSX","27.9.a","TLW","ES","57.65","72.13","74.97","108.46","279.1","271.73","260.25","224.85","0.01","0","0","0","0","0","0","0","0","Dosinia exoleta","Mature dosinia","Reloj","Montre radiée"
"DXL","27.8.c","TLW","ES","0","0","0","0","0","0.17","0.6","2.13","7.74","8.39","0","0","0","0","0","0","0","Donax trunculus","Truncate donax","Coquina truncada","Flion tronqué"
"DXL","27.9.a","TLW","ES","86.38","117.32","127.86","32.96","23.71","14.85","24.55","55.92","41.24","46.28","0","0","0","0","0","0","0","Donax trunculus","Truncate donax","Coquina truncada","Flion tronqué"
"DYL","27.8.c","TLW","ES","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","Dactylopterus volitans","Flying gurnard","Alón volador","Grondin volant"
"DYL","27.9.a","TLW","ES","0","0","0","0","0","0","0","0","0.03","0.04","0","0","0","0","0","0","0","Dactylopterus volitans","Flying gurnard","Alón volador","Grondin volant"
"EAG","27.8.c","TLW","ES","0","0","0.88","0","32.95","0","0","0","0","0.02","0","0","0","0","0","0","0","Myliobatidae","Eagle rays nei","Aguilas de mar nep","Aigles de mer nca"
"EAG","27.9.a","TLW","ES","7.44","7.13","6.35","7.66","11.59","15.75","9.35","6.36","8.18","6.15","9.28","16.37","9.7","10.4","5","5.7","2.4","Myliobatidae","Eagle rays nei","Aguilas de mar nep","Aigles de mer nca"
"ECE","27.9.a","TLW","ES","0","0","0","0","0","0","0.9","9.08","5.45","2.84","0","0","0","0","0","0","0","Cheilopogon heterurus",NA,NA,NA
"EFJ","27.8.c","TLW","ES","0","0","0","0","0","0.04","0","0.01","0","0.01","0","0","0","0","0","0","0","Epinephelus caninus","Dogtooth grouper","Mero dentón","Mérou gris"
"EJE","27.8.c","TLW","ES","0","0.09","0.1","0.02","0","0","0.04","0.06","0","0","0","0","0","0","0","0","0","Sepia elegans","Elegant cuttlefish","Sepia elegante","Seiche élégante"
"EJE","27.9.a","TLW","ES","4.91","21.83","36.63","24.48","7.36","5.48","25.07","8.87","1.74","23.15","0","0","0","0","0","0","0","Sepia elegans","Elegant cuttlefish","Sepia elegante","Seiche élégante"
"ELE","27.8.c","TLW","ES","1.06","2.21","3.69","3.56","2.77","6.37","6.62","5.7","6.29","5.91","7.34","5.59","6.5","5.4","4","5.8","10.8","Anguilla anguilla","European eel","Anguila europea","Anguille d'Europe"
"ELE","27.9.a","TLW","ES","0.01","24.94","29.22","20.15","24.94","21.91","29.37","24.31","37.8","44.2","30.64","28.55","25.7","41.8","30","23.6","52.4","Anguilla anguilla","European eel","Anguila europea","Anguille d'Europe"
"EOI","27.8.c","TLW","ES","139.82","46.53","50.79","72.94","104.23","94.51","119.34","261.17","185.98","341.83","0","0","0","0","0","0","0","Eledone cirrosa","Horned octopus","Pulpo blanco","Élédone commune"
"EOI","27.9.a","TLW","ES","256.91","205.44","206.35","183.85","128.66","209.09","290.8","316.79","288.31","295.74","0","0","0","0","0","0","0","Eledone cirrosa","Horned octopus","Pulpo blanco","Élédone commune"
"EPI","27.8.c","TLW","ES","0.2","0.36","1.5","0.92","0.26","0.75","0.21","0.08","0.05","0.01","1.89","0.86","25.3","0.01","0.01","0.01","0.8","Epigonus telescopus","Black cardinal fish","Boca negra(Pez del diablo)","Poisson cardinal"
"EPI","27.9.a","TLW","ES","0.02","0.45","0.7","0.16","0.12","0.26","0.36","0.01","0","0.11","0","0.15","0.5","28.1","4","23","9","Epigonus telescopus","Black cardinal fish","Boca negra(Pez del diablo)","Poisson cardinal"
"EQE","27.8.c","TLW","ES","0","0","0","0","0","13.26","15.33","13.28","16.59","10.7","0","0","0","0","0","0","0","Ensis ensis","Pod razor shell","Navaja","Couteau-sabre"
"EQE","27.9.a","TLW","ES","0","0","0","0","0","540.46","523.82","439.79","409.25","356.93","0","0","0","0","0","0","0","Ensis ensis","Pod razor shell","Navaja","Couteau-sabre"
"EQI","27.8.c","TLW","ES","10.32","12.65","12.41","16.66","15.95","13.12","7.51","5.81","3.33","5.37","0","0","0","0","0","0","0","Ensis siliqua","Sword razor shell","Muergo","Couteau-silique"
"EQI","27.9.a","TLW","ES","48.37","25.75","31.89","38.2","28.84","31.44","22.6","12.45","28.05","61.15","0","0","0","0","0","0","0","Ensis siliqua","Sword razor shell","Muergo","Couteau-silique"
"EQK","27.8.c","TLW","ES","12.77","6.33","2.2","4.13","6.83","0","0","0","0","0","0","0","0","0","0","0","0","Ensis arcuatus","Arched razor shell",NA,NA
"EQK","27.9.a","TLW","ES","520.51","476.47","441.82","549.33","528.83","0","0","0","0","0","0","0","0","0","0","0","0","Ensis arcuatus","Arched razor shell",NA,NA
"ETP","27.8.c","TLW","ES","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0","0","0","0","Etmopterus pusillus","Smooth lanternshark","Tollo lucero liso","Sagre nain"
"ETR","27.9.a","TLW","ES","0","0","0","0","0","0.01","0","0.01","0","0","0","0","0","0","0","0","0","Etmopterus princeps","Great lanternshark","Tollo lucero raspa","Sagre rude"
"ETX","27.8.c","TLW","ES","0","0.04","0.14","0.04","0.15","0.02","0","0.09","0","0","0.56","1.88","0","0.01","0","80.3","0","Etmopterus spinax","Velvet belly","Negrito","Sagre commun"
"ETX","27.9.a","TLW","ES","0","0","0.05","0.09","0.8","0.03","0.01","0","0","0.34","0","0","0","0","0","40.1","0","Etmopterus spinax","Velvet belly","Negrito","Sagre commun"
"EZS","27.9.a","TLW","ES","0","0","0.89","12.72","0","0","0.02","0","0","0.06","0","0","0","0","0","0","0","Scorpaena elongata","Slender rockfish","Gallineta rosada","Rascasse rose"
"F83","27.9.a","TLW","ES","0","0.01","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA
"FAC","27.8.c","TLW","ES","0","0","0","0.01","0.02","0","0","0","0","0","0","0","0","0","0","0","0","Pasiphaea tarda","Crimson pasiphaeid",NA,NA
"FAL","27.9.a","TLW","ES","0","0","0","0","0","0","0","0","0","0","0.76","0","0","0","0","0","0","Carcharhinus falciformis","Silky shark","Tiburón jaquetón","Requin soyeux"
"FAV","27.9.a","TLW","ES","1.04","0.64","1.02","3.31","5.37","1.38","0.45","0.79","0.52","0.19","0","0","0","0","0","0","0","Pasiphaea sivado","White glass shrimp","Camarón cristal blanco","Sivade blanc"
"FEL","27.9.a","TLW","ES","0","0","0.01","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","Alpheus glaber","Red snapping shrimp","Camarón carneo","Cardon rouge"
"FIM","27.8.c","TLW","ES","0","0","0","0.06","0","0.21","0.16","0","0","0","0","0","0","0","0","0","0","Aphia minuta","Transparent goby","Chanquete","Nonnat"
"FIM","27.9.a","TLW","ES","0","0","0.01","0","0.01","0.04","0.92","4.71","1.02","0.52","0","0","0","0","0","0","0","Aphia minuta","Transparent goby","Chanquete","Nonnat"
"FIN","27.8.c","TLW","ES","0.34","141.51","3.1","38.97","114.12","151.49","213.06","248.58","337.14","437.38","661.46","1174.73","941.3","1253.9","1328","1585.4","1457.9","Osteichthyes","Finfishes nei","Peces de escama nep","Poissons téléostéens nca"
"FIN","27.9.a","TLW","ES","1.09","6.8","2.31","50.03","179.13","257.02","296.21","367.37","570.55","731.35","824.17","937.59","1287.2","1274.6","1535","1885.8","2083.9","Osteichthyes","Finfishes nei","Peces de escama nep","Poissons téléostéens nca"
"FLE","27.8.c","TLW","ES","3.22","3.12","2.46","3.9","3.33","2.34","3.07","3.82","2.9","1.99","2.42","8.9","7.3","4.2","1","0.7","1","Platichthys flesus","European flounder","Platija europea","Flet d'Europe"
"FLE","27.9.a","TLW","ES","9.05","10.58","14.94","8.67","8.6","8.17","11.98","14.57","14.94","10.09","5.46","13","13","15.3","8","13.7","27.1","Platichthys flesus","European flounder","Platija europea","Flet d'Europe"
"FLX","27.8.c","TLW","ES","0.12","0.08","0.35","0.18","0.4","0.18","0.41","0.48","0.58","0.01","2.13","5.49","2","2","17","7.2","1.3","Pleuronectiformes","Flatfishes nei","Peces planos nep","Poissons plats nca"
"FLX","27.9.a","TLW","ES","1.78","9.37","10.7","8.93","6.09","4.15","7.15","15.91","21.31","0.56","157.32","257.44","354.4","257.5","289","485.5","206","Pleuronectiformes","Flatfishes nei","Peces planos nep","Poissons plats nca"
"FLY","27.9.a","TLW","ES","0.05","0.22","0.3","0.05","0.01","0.08","0.48","0.84","0.05","0","0","0","0","0","0","0","0","Exocoetidae","Flyingfishes nei","Voladores nep","Exocets nca"
"FOR","27.8.c","TLW","ES","5.35","1.99","2.86","3.31","4.4","16.17","16.12","26.1","80.61","116.56","87.65","117.53","60.6","26.1","15","13.8","6.9","Phycis phycis","Forkbeard","Brótola de roca","Phycis de roche"
"FOR","27.9.a","TLW","ES","20.45","20.37","20.39","15.96","23.49","20.24","27.52","36.4","39.21","37.8","32.93","40.49","40.9","21.1","23","15","17.1","Phycis phycis","Forkbeard","Brótola de roca","Phycis de roche"
"FOX","27.8.c","TLW","ES","0.11","1.86","3.58","12.22","37.4","19.2","3.15","8.19","13.13","14.8","16.34","38.98","34.8","61.6","64","39","99.8","Phycis spp","Forkbeards nei","Brótolas nep","Phycis nca"
"FOX","27.9.a","TLW","ES","0.15","4.26","31.28","6.18","8.5","7.62","10.34","10.37","6.78","7.55","7.72","28.11","45.7","102.3","80","68.8","76.9","Phycis spp","Forkbeards nei","Brótolas nep","Phycis nca"
"FRI","27.8.c","TLW","ES","10.59","0","1.11","5.36","0.01","5.91","94.93","17.83","33.96","1.79","0","0","0","0","0","0","0","Auxis thazard","Frigate tuna","Melva","Auxide"
"FRI","27.9.a","TLW","ES","110.45","17.81","8.93","4.24","3.84","9.31","9.49","43.88","27.34","16.83","0","0","0","0","0","0","0","Auxis thazard","Frigate tuna","Melva","Auxide"
"FRZ","27.8.c","TLW","ES","0.09","0.07","14.19","41.21","0.78","29.35","220.47","16.76","45.49","21.69","1028.84","208.31","158.2","30","0.01","8.7","4.3","Auxis thazard, A. rochei","Frigate and bullet tunas","Melva y melvera","Auxide et bonitou"
"FRZ","27.9.a","TLW","ES","3.98","17.45","4.99","7.58","14.15","1.01","51.33","39.51","29.55","2.75","427.5","551.11","461","333.4","464","381.7","60.2","Auxis thazard, A. rochei","Frigate and bullet tunas","Melva y melvera","Auxide et bonitou"
"GAD","27.8.c","TLW","ES","0.92","3.46","0.68","1.13","0.69","20.16","30.03","65.87","87.43","0.75","34.51","788.8","2117.3","7677.8","180","64.7","96.4","Gadiformes","Gadiformes nei","Gadiformes nep","Gadiformes nca"
"GAD","27.9.a","TLW","ES","2.52","1.84","3.11","3.1","3.47","7.96","13.28","29.52","28.32","1.39","7.71","234.78","588","1866.4","3393","630.3","224.4","Gadiformes","Gadiformes nei","Gadiformes nep","Gadiformes nca"
"GAG","27.8.c","TLW","ES","7.68","7.89","6.53","3.27","4.24","3.53","0.66","4.46","4.06","5.61","2.37","7.25","12.5","49.8","21","38.9","30.6","Galeorhinus galeus","Tope shark","Cazón","Requin-hâ"
"GAG","27.9.a","TLW","ES","57.36","49.29","38.04","36.07","37.74","35.87","38.46","52.96","51.54","41.8","38.72","89.27","81.2","87.8","294","333.2","331.7","Galeorhinus galeus","Tope shark","Cazón","Requin-hâ"
"GAM","27.9.a","TLW","ES","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","Galeus murinus","Mouse catshark","Pintarroja islándica","Chien islandais"
"GAR","27.8.c","TLW","ES","31.68","71.98","49.97","39.27","49.31","38.42","85.76","98.5","93.15","69.39","67.13","96.87","36.9","40.5","52","31.5","73.6","Belone belone","Garfish","Aguja","Orphie"
"GAR","27.9.a","TLW","ES","15.21","110.51","26.82","128.99","98.46","72.51","120.85","62.54","51.72","46.94","66","97.41","55.9","48.2","17","38.4","3.7","Belone belone","Garfish","Aguja","Orphie"
"GAS","27.8.c","TLW","ES","0.08","0.03","0.14","0.65","36.23","0.71","0.68","0.4","4.28","0.65","6.17","7.01","18.5","8.2","2","0.9","1","Gastropoda","Gastropods nei","Gasterópodos nep","Gastropodes nca"
"GAS","27.9.a","TLW","ES","12.25","8.89","3.25","2.85","7.11","13.95","5.96","5.21","4.12","2.04","23.92","85.89","64","45.9","19","13.4","9.3","Gastropoda","Gastropods nei","Gasterópodos nep","Gastropodes nca"
"GAU","27.8.c","TLW","ES","4.48","7.38","35.05","15.76","32.37","37.62","35.53","42.52","48.82","11.56","8.43","0","0.01","0","0","0","0","Galeus spp","Crest-tail catsharks nei","Pintarrojas nep","Chiens galeus nca"
"GAU","27.9.a","TLW","ES","23.87","45.84","60.57","38.86","59.57","11.03","14.38","15.91","5.18","1.77","0.08","0","0.2","0","0","0","0","Galeus spp","Crest-tail catsharks nei","Pintarrojas nep","Chiens galeus nca"
"GBF","27.8.c","TLW","ES","0","0","0.01","0","0.01","0","0","0","0.01","0.03","0","0","0","0","0","0","0","Gobiusculus flavescens","Two-spotted goby",NA,NA
"GBF","27.9.a","TLW","ES","0.08","0.32","1.02","1.07","0.06","0","0","0","0.02","0","0","0","0","0","0","0","0","Gobiusculus flavescens","Two-spotted goby",NA,NA
"GBN","27.8.c","TLW","ES","0","0.01","0","0","0","0","0","0.02","0","0","0","0","0","0","0","0","0","Gobius niger","Black goby","Chaparrudo","Gobie noir"
"GBN","27.9.a","TLW","ES","0","0","0","0","0.03","0","0","0.02","0.02","0.01","0","0","0","0","0","0","0","Gobius niger","Black goby","Chaparrudo","Gobie noir"
"GBR","27.8.c","TLW","ES","0.1","0.17","0.03","0.02","0.05","0.16","0","0.07","0","0.04","0","0.02","0.2","0.01","0.01","0","0","Plectorhinchus mediterraneus","Rubberlip grunt","Burro chiclero","Diagramme gris"
"GBR","27.9.a","TLW","ES","136.09","162.99","134.51","170.68","168.49","135.32","166.93","180.27","192.24","196.13","141.72","162.19","193.7","141.2","165","18.7","0","Plectorhinchus mediterraneus","Rubberlip grunt","Burro chiclero","Diagramme gris"
"GCR","27.8.c","TLW","ES","0","0","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gobius cruentatus","Red-mouthed goby","Gobito","Gobie ensanglanté"
"GDB","27.9.a","TLW","ES","0","0","0","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","Diplecogaster bimaculata","Two-spotted clingfish",NA,NA
"GDG","27.8.c","TLW","ES","0.01","0.01","0","0","0","0","0.01","0.01","0","0","0","0","0","0","0","0","0","Gadiculus argenteus","Silvery pout","Faneca plateada","Merlan argenté"
"GDG","27.9.a","TLW","ES","0.01","0.01","0","0","0.01","0.18","0","0","0","0.01","0","0","0","0","0","0","0","Gadiculus argenteus","Silvery pout","Faneca plateada","Merlan argenté"
"GEL","27.8.c","TLW","ES","416.59","224.42","223.48","231.82","641.35","531.76","1270.84","1654.32","1636.41","264.52","259.16","175","72.6","0","22","47.2","439.1","Gelidium spp","Gelidium seaweeds","Gelidios","Algues gélidium"
"GEP","27.8.c","TLW","ES","0.24","0.02","0.6","0.81","4.69","1.36","1.34","12.54","7.51","11.68","66.61","25.42","18.8","1.2","0.01","0.6","12.6","Gempylidae","Snake mackerels, escolars nei","Escolares, sierras nep","Escoliers, rouvets nca"
"GEP","27.9.a","TLW","ES","0.01","0.04","0","0.05","0.04","0.01","0.78","3.9","3.36","0.64","1.65","0.86","1.1","0.8","5","13.1","1.8","Gempylidae","Snake mackerels, escolars nei","Escolares, sierras nep","Escoliers, rouvets nca"
"GEQ","27.8.c","TLW","ES","353.96","181.98","272.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gelidium corneum","Giant gelidium","Ocle imperial","Gelidium imperial"
"GER","27.8.c","TLW","ES","0","0.1","0","0","0.02","0","0","0","0","0","0","0","0","0.01","0","0","0","Chaceon spp","Chaceon geryons nei","Geriones Chaceon nep","Géryons Chaceon nca"
"GER","27.9.a","TLW","ES","0","0","0","0","0","0","0","0","0.23","0","0","0.01","0","0","0","0","0","Chaceon spp","Chaceon geryons nei","Geriones Chaceon nep","Géryons Chaceon nca"
"GEY","27.8.c","TLW","ES","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0","0","0","0","Geryonidae","Deep-sea crabs, geryons nei","Geriones nep","Gérionidés nca"
"GFB","27.8.c","TLW","ES","169.72","164.09","129.27","128.18","128.56","130.27","190.4","165.06","236.1","170.27","147.37","110.77","81.4","99.2","99","74.1","54.3","Phycis blennoides","Greater forkbeard","Brótola de fango","Phycis de fond"
"GFB","27.9.a","TLW","ES","22.44","14.99","17.93","35.69","22.7","24.28","17.92","13.09","12.03","9.74","9.45","14.94","16.4","7.8","8","7.2","27.2","Phycis blennoides","Greater forkbeard","Brótola de fango","Phycis de fond"
"GGD","27.8.c","TLW","ES","0.96","2.52","5.86","1.66","1.23","1.74","2.5","3.93","7.34","5.18","0","0","0","0","0","0","0","Gaidropsarus mediterraneus","Shore rockling","Bertorella","Motelle de Méditerranée"
"GGD","27.9.a","TLW","ES","0.52","0.88","0.69","2.04","1.7","2.26","2.23","2.28","1.18","1.96","0","0","0","0","0","0","0","Gaidropsarus mediterraneus","Shore rockling","Bertorella","Motelle de Méditerranée"
"GGR","27.8.c","TLW","ES","0","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gaidropsarus macrophthalmus","Bigeye rockling",NA,NA
"GGU","27.8.c","TLW","ES","0.43","0.16","0.09","0.16","0.01","0.16","0.01","0.02","0","0.01","0","0","0","0","0","0","0","Gaidropsarus vulgaris","Three-bearded rockling","Mollareta","Motelle commune"
"GGU","27.9.a","TLW","ES","1.27","0.95","0.45","0.7","0.67","0.46","0.53","0.58","0.22","0.02","0","0","0","0","0","0","0","Gaidropsarus vulgaris","Three-bearded rockling","Mollareta","Motelle commune"
"GGY","27.8.c","TLW","ES","0.01","0","0.01","0.08","0.84","0.24","0.6","0.65","0.48","0.32","0","0","0","0","0","0","0","Gaidropsarus biscayensis","Mediterranean bigeye rockling","Barbada","Motelle"
"GGY","27.9.a","TLW","ES","0.13","0.07","0.11","0.43","0.49","0.51","0.4","0.43","0.19","0.55","0","0","0","0","0","0","0","Gaidropsarus biscayensis","Mediterranean bigeye rockling","Barbada","Motelle"
"GHL","27.9.a","TLW","ES","0","0.01","0.02","0.06","0.11","0.01","0","0","0.01","0","0","0","0","0","0","0.01","0","Reinhardtius hippoglossoides","Greenland halibut","Fletán negro","Flétan noir"
"GKL","27.9.a","TLW","ES","0.09","1.56","0.16","1","4.25","1.03","0.09","0.01","0.07","6.4","0","0","0","0","0","0","0","Glycymeris glycymeris","Common European bittersweet","Almendra de mar","Amande commune"
"GLI","27.9.a","TLW","ES","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","Glossanodon leioglossus","Smalltoothed argentine",NA,NA
"GPA","27.8.c","TLW","ES","0.41","0.19","0.08","0.12","0.06","0.22","0","0.14","0.03","0.43","0.1","0.1","0.01","0.01","0.01","0.1","0","Gobiidae","Gobies nei","Góbidos nep","Gobies nca"
"GPA","27.9.a","TLW","ES","12.37","7.42","11.68","11","10.76","11.34","13.5","3.69","0.06","0.03","0.54","0.26","0.8","0.8","0.01","0.4","0.1","Gobiidae","Gobies nei","Góbidos nep","Gobies nca"
"GPD","27.8.c","TLW","ES","2.41","7.08","4.88","6.33","1.46","2.67","3.87","2.83","3.33","2.12","2.84","4.32","10.8","4.9","14","32.8","6","Epinephelus marginatus","Dusky grouper","Mero moreno","Mérou noir"
"GPD","27.9.a","TLW","ES","1.24","2.05","1.41","1.73","3.07","2.05","3.12","2.76","5.13","3.72","5.96","11.65","3.4","5.5","19","19.2","8.7","Epinephelus marginatus","Dusky grouper","Mero moreno","Mérou noir"
"GRO","27.8.c","TLW","ES","1.1","9.85","0.61","1.66","1.28","8.79","27.49","4316.05","1819.66","2920.51","0.11","415.14","2136.1","2741.5","7816","90.6","98.1","Osteichthyes","Groundfishes nei","Peces de fondo nep","Poissons de fond nca"
"GRO","27.9.a","TLW","ES","4.5","3.95","4.62","7.24","7.51","5.86","9.93","4069.87","3842.11","2396.11","1.69","262.81","726.8","1308.7","19772","10135.8","15333.6","Osteichthyes","Groundfishes nei","Peces de fondo nep","Poissons de fond nca"
"GRX","27.8.c","TLW","ES","0.98","0.04","2.04","0.24","6.41","1.01","0.18","0.41","0.05","0.01","0.11","1.15","0.2","0.01","0","0.01","0","Haemulidae(=Pomadasyidae)","Grunts, sweetlips nei","Burros, roncos nep","Grondeurs, diagrammes nca"
"GRX","27.9.a","TLW","ES","34.17","50.05","42.78","75.61","83.6","63.03","67.93","58.2","68.87","53.7","45.87","31.76","36.4","39.5","36","171.3","153.4","Haemulidae(=Pomadasyidae)","Grunts, sweetlips nei","Burros, roncos nep","Grondeurs, diagrammes nca"
"GSM","27.9.a","TLW","ES","0","0","0","0.04","0.09","0.09","0.04","0","0","0.1","0","0","0","0","0","0","0","Buglossidium luteum","Solenette",NA,NA
"GUG","27.8.c","TLW","ES","5.76","0.7","0.73","0.63","0.48","0.07","0.11","0.02","0","0","0","0","0","0","0","0","0","Eutrigla gurnardus","Grey gurnard","Borracho","Grondin gris"
"GUG","27.9.a","TLW","ES","0.01","0.47","0.3","0.51","0","0.03","0","0.01","0","0","0","0","0","0","0","0","0","Eutrigla gurnardus","Grey gurnard","Borracho","Grondin gris"
"GUI","27.8.c","TLW","ES","0.02","0.91","0.55","2.53","1.33","1.92","3.75","6.12","13.67","16.89","0","0","0","0","0","0","0","Chelidonichthys spp","Indo-Pacific gurnards","Rubios del Indo-Pacífico","Grondins de l'Indo-Pacifique"
"GUI","27.9.a","TLW","ES","0","0.02","0.12","1.34","1.35","2.14","3.43","4.48","4.89","6.19","0","0","0","0","0","0","0","Chelidonichthys spp","Indo-Pacific gurnards","Rubios del Indo-Pacífico","Grondins de l'Indo-Pacifique"
"GUM","27.8.c","TLW","ES","0","0.85","0.91","0.53","0.95","0.23","0.09","0.11","0","0.18","0","0","0","0","0","0","0","Chelidonichthys obscurus","Longfin gurnard","Arete aleton","Grondin sombre"
"GUM","27.9.a","TLW","ES","32.92","20.71","17.9","25.84","16.05","12.75","15.02","8.53","15.02","43.53","0","0","0","0","0","0","0","Chelidonichthys obscurus","Longfin gurnard","Arete aleton","Grondin sombre"
"GUN","27.8.c","TLW","ES","9.83","10.67","11.56","10.05","10.67","10.13","20.65","17.24","15.88","10.03","0","0","0","0","0","0","0","Trigla lyra","Piper gurnard","Garneo","Grondin lyre"
"GUN","27.9.a","TLW","ES","1.54","3.93","7.37","5.77","0.72","1.17","0.51","0.5","0.31","0.06","0","0","0","0","0","0","0","Trigla lyra","Piper gurnard","Garneo","Grondin lyre"
"GUP","27.8.c","TLW","ES","0.08","0","0.01","0","0","0","0","0","0","0","0","0","0.01","0.01","0","0.01","1.1","Centrophorus granulosus","Gulper shark","Quelvacho","Squale-chagrin commun"
"GUP","27.9.a","TLW","ES","0","0","0.28","0.08","0.4","0.25","0.01","0.72","0","0.01","0","0.01","0","0","0","0","0","Centrophorus granulosus","Gulper shark","Quelvacho","Squale-chagrin commun"
"GUQ","27.8.c","TLW","ES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","14","Centrophorus squamosus","Leafscale gulper shark","Quelvacho negro","Squale-chagrin de l'Atlantique"
"GUR","27.8.c","TLW","ES","66.87","62.26","87.29","65.21","62.18","58.58","55.16","79.97","362.35","531.58","0","0","0","0","0","0","0","Aspitrigla cuculus","Red gurnard","Arete","Grondin rouge"
"GUR","27.9.a","TLW","ES","7.03","1.61","4.55","3.67","11.67","29.41","16.31","8.52","34.45","44.44","0","0","0","0","0","0","0","Aspitrigla cuculus","Red gurnard","Arete","Grondin rouge"
"GUU","27.8.c","TLW","ES","37.44","27.38","35.64","29.3","19.68","19.51","27.41","13.64","6.78","6.59","0","0","0","0","0","0","0","Chelidonichthys lucerna","Tub gurnard","Begel","Grondin perlon"
"GUU","27.9.a","TLW","ES","16.6","8.33","7.45","5.76","3.03","0.3","0.3","0.03","0.01","0","0","0","0","0","0","0","0","Chelidonichthys lucerna","Tub gurnard","Begel","Grondin perlon"
"GUX","27.8.c","TLW","ES","2.43","34.63","43.62","55.96","66.74","70.38","112.11","156.57","326.22","647.79","1253.1","650.21","309.4","223.7","135","156","150.1","Triglidae","Gurnards, searobins nei","Cabetes, rubios nep","Grondins, cavillones nca"
"GUX","27.9.a","TLW","ES","3.15","56.06","64.18","79.92","96.85","125.26","121.19","104.34","164.71","207.3","268.12","223.61","224.2","154.7","387","343.7","497","Triglidae","Gurnards, searobins nei","Cabetes, rubios nep","Grondins, cavillones nca"
"GUY","27.8.c","TLW","ES","39.95","36.04","44.76","47.74","36.71","35.09","53.87","29.48","24.54","24.32","0","0","0","0","0","0","0","Trigla spp","Gurnards nei","Garneos nep","Grondins nca"
"GUY","27.9.a","TLW","ES","61.76","32.42","35.36","17.75","10.49","14.15","15.5","9.11","10.72","11","0","0","0","0","0","0","0","Trigla spp","Gurnards nei","Garneos nep","Grondins nca"
"GYX","27.9.a","TLW","ES","0.09","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA
"HAD","27.8.c","TLW","ES","0","0","0.15","0.01","0.01","0","0","0.72","0","5.06","0","0.02","0","0.01","0.01","1.1","0","Melanogrammus aeglefinus","Haddock","Eglefino","Églefin"
"HAD","27.9.a","TLW","ES","0","0","1.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Melanogrammus aeglefinus","Haddock","Eglefino","Églefin"
"HAL","27.8.c","TLW","ES","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0.01","0.01","0","0.1","Hippoglossus hippoglossus","Atlantic halibut","Fletán del Atlántico","Flétan de l'Atlantique"
"HAL","27.9.a","TLW","ES","0","0","0.22","0.04","0","0","0.01","0","0","0","0","0","0.3","0","0","0","0","Hippoglossus hippoglossus","Atlantic halibut","Fletán del Atlántico","Flétan de l'Atlantique"
"HDR","27.8.c","TLW","ES","0","0","0","0","0.04","0.26","0.23","0.79","0.03","0.02","0","0","0","0","0","0","0","Hirundichthys rondeletii","Black wing flyingfish",NA,NA
"HDR","27.9.a","TLW","ES","0","0","0","0","0.01","0","0.01","0","0","0","0","0","0","0","0","0","0","Hirundichthys rondeletii","Black wing flyingfish",NA,NA
"HER","27.8.c","TLW","ES","0","0","0","0.01","0.03","0","0","0","0","0","0.01","53.85","28.8","54.5","57","104.9","108.4","Clupea harengus","Atlantic herring","Arenque del Atlántico","Hareng de l'Atlantique"
