"Column1","Area","Units","Country","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","Latin species name","English","Spanish","French"
"ANT","27.8.c","TLW","ES","0","0","0","0.51","0.15","0","0","0","0","0","0","0","0","0","0","0","0","Antimora rostrata","Blue antimora","Mollera azul","Antimora bleu"
"APU","27.8.c","TLW","ES","0","0.03","0.24","0.41","0.39","0.74","0.83","0.88","0.63","0.88","0","0","0","0","0","0","0","Acipenser sturio","Sturgeon","Esturión","Esturgeon commun"
"ARG","27.8.c","TLW","ES","0","0.02","0.01","0","0","0.01","0","0","0","0","21.49","1.48","0.1","0.01","0.01","2.4","0.1","Argentina spp","Argentines","Argentinas","Argentines"
"ARG","27.9.a","TLW","ES","0","0","0.02","0.05","0.4","1.02","0.14","0.49","0.37","0.95","0.39","0.36","0.6","0.01","19","1.2","1.8","Argentina spp","Argentines","Argentinas","Argentines"
"ARI","27.8.c","TLW","ES","0.02","0","0.14","0.06","0.06","1.61","0.25","0.04","0","0.04","0.26","0.29","0.5","0","0","0","0","Aristeidae","Aristeid shrimps nei","Gambas aristeidos nep","Gambons,crevet. aristeidés nca"
"ARI","27.9.a","TLW","ES","26.16","19.61","23.48","29.02","33.01","37.65","47.42","30.1","60.55","64.95","11.69","12.94","2.2","4.1","12","1.8","0.2","Aristeidae","Aristeid shrimps nei","Gambas aristeidos nep","Gambons,crevet. aristeidés nca"
"ARU","27.8.c","TLW","ES","0","0.26","1.53","2.31","3.92","0.74","0.09","0.17","0.13","1.9","0","0","0","0","0","0","0","Argentina silus","Greater argentine",NA,"Grande argentine"
"ARU","27.9.a","TLW","ES","0.06","0","0.01","0.06","0.13","0.03","0.01","0","0","0","0","0","0","0","0","0","0","Argentina silus","Greater argentine",NA,"Grande argentine"
"ARY","27.8.c","TLW","ES","8.95","17.51","13.08","5.65","2.24","4.36","7.94","3.31","10.65","5.48","0","0","0","0","0","0","0","Argentina sphyraena","Argentine","Pez plata","Petite argentine"
"ARY","27.9.a","TLW","ES","1.43","2.77","1.47","3.57","4.16","6.48","3.11","1.74","2.69","2.35","0","0","0","0","0","0","0","Argentina sphyraena","Argentine","Pez plata","Petite argentine"
"ASD","27.8.c","TLW","ES","1.99","0.57","4.22","1.46","0.72","0.07","0.86","4.49","0.03","0","0","0","0","0","0","0","0","Alosa alosa","Allis shad","Sábalo común","Alose vraie(=Grande alose)"
"ASD","27.9.a","TLW","ES","0.6","0.42","0.11","0.35","0.23","0.34","0.11","0.1","0.09","0.46","0","0","0","0","0","0","0","Alosa alosa","Allis shad","Sábalo común","Alose vraie(=Grande alose)"
"ASK","27.9.a","TLW","ES","0","0","0","0","0","0","0","0.03","0.27","0","0","0","0","0","0","0","0","Squatinidae","Angelsharks, sand devils nei","Angelotes, peces ángel nep","Anges de mer nca"
"ATB","27.8.c","TLW","ES","0.99","0.06","0.05","0.04","0.02","0","0","0","0","0","0","0","0","0","0","0","0","Atherina boyeri","Big-scale sand smelt","Pejerrey mediterráneo","Joël"
"ATB","27.9.a","TLW","ES","2.12","7.76","5.11","0.26","0.7","1.2","0.77","0.32","0.03","0.12","0","0","0","0","0","0","0","Atherina boyeri","Big-scale sand smelt","Pejerrey mediterráneo","Joël"
"ATP","27.8.c","TLW","ES","9.06","7.08","6.66","4.03","0.41","0","0","0","0","0","0","0","0","0","0","0","0","Atherina presbyter","Sand smelt",NA,NA
"ATP","27.9.a","TLW","ES","24.59","12.68","12.8","13.4","8.64","0.99","0.04","1.68","0.29","0.05","0","0","0","0","0","0","0","Atherina presbyter","Sand smelt",NA,NA
"ATV","27.8.c","TLW","ES","0","0","0","0","0.26","0","0","0","0","0","0","0","0","0","0","0","0","Arctogadus borisovi","East Siberian cod",NA,NA
"BAI","27.8.c","TLW","ES","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","Batoidimorpha(Hypotremata)","Batoid fishes nei","Peces batoideos nep","Batoïdes nca"
"BAR","27.8.c","TLW","ES","0.03","0.02","0.01","0","0.01","0.01","0.01","0.01","0","0.03","0","0","0.9","0","0.01","0.01","0.1","Sphyraena spp","Barracudas nei","Picudas nep","Bécunes nca"
