"FAOcode","year","catch_tonnes","Galician_name","total_kg","total_euros","scientificname","English_name","Family","Order.or.higher.taxa","source","kingdom","phylum","class","order","family","genus","AphiaID"
"HLT",2021,1.3935,"Peneira",1393.5,30795,"Haliotis tuberculata","Tuberculate abalone","HALIOTIDAE","GASTROPODA","pesca_galicia","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis",140059
"PCB",2021,254.089832,"Percebe",254089.832,8810978.32,"Pollicipes pollicipes","Barnacle","POLLICIPEDIDAE","CIRRIPEDIA (THORACICA)","pesca_galicia","Animalia","Arthropoda","Thecostraca","Pollicipedomorpha","Pollicipedidae","Pollicipes",106177
"HKE",2021,25095.887883,"Pescada",25095887.883,102303803.718,"Merluccius merluccius","European hake","MERLUCCIIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius",126484
"HKM",2021,0.03785,"Pescada do Senegal",37.85,110.44,"Merluccius senegalensis","Senegalese hake","MERLUCCIIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius",126485
"ATP",2021,59.349,"Piarda común",59349,113769.568,"Atherina presbyter","Sand smelt","ATHERINIDAE","ATHERINIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Atherina",272030
"ARY",2021,4.00066,"Pión de altura",4000.66,7975.6,"Argentina sphyraena","Argentine","ARGENTINIDAE","ARGENTINIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina",126716
"OCC",2021,1739.07507,"Polbo",1739075.07,15413583.962,"Octopus vulgaris","Common octopus","OCTOPODIDAE","CEPHALOPODA (OCTOPODS)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Octopus",140605
"EOI",2021,231.0814,"Polbo cabezón",231081.4,581428.870000001,"Eledone cirrhosa","Horned octopus","ELEDONIDAE","CEPHALOPODA (OCTOPODS)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Octopoda","Eledonidae","Eledone",140600
"SQM",2021,2.6858,"Pota común",2685.8,5514.58,"Illex coindetii","Broadtail shortfin squid","OMMASTREPHIDAE","CEPHALOPODA (SQUIDS)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex",140621
"TDQ",2021,601.05478,"Pota pequena",601054.78,1022510.686,"Todaropsis eblanae","Lesser flying squid","OMMASTREPHIDAE","CEPHALOPODA (SQUIDS)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Todaropsis",140625
"SQI",2021,3726.69119,"Pota voadora",3726691.19,6086461.935,"Illex illecebrosus","Northern shortfin squid","OMMASTREPHIDAE","CEPHALOPODA (SQUIDS)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex",748978
"SQE",2021,4.36845,"Potón común",4368.45,10368.81,"Todarodes sagittatus","European flying squid","OMMASTREPHIDAE","CEPHALOPODA (SQUIDS)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes",140624
"RPG",2021,12.41145,"Prago",12411.45,203433.13,"Pagrus pagrus","Red porgy","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Pagrus",127063
"OUM",2021,15.3154,"Puntilla pequena",15315.4,105019.025,"Alloteuthis media","Midsize squid","LOLIGINIDAE","CEPHALOPODA (SQUIDS)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Myopsida","Loliginidae","Alloteuthis",153134
"BSH",2021,1558.72595,"Quenlla",1558725.95,2271521.315,"Prionace glauca","Blue shark","CARCHARHINIDAE","CARCHARHINIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace",105801
"GKL",2021,1.55955,"Rabioso",1559.55,982.99,"Glycymeris glycymeris","Common European bittersweet","GLYCYMERIDIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Arcida","Glycymerididae","Glycymeris",140025
"RJH",2021,21.075,"Raia boca de rosa",21075,75999.77,"Raja brachyura","Blonde ray","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja",105882
"RJE",2021,2.0851,"Raia coreada",2085.1,4262.79,"Raja microocellata","Small-eyed ray","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja",105885
"RJC",2021,435.08738,"Raia cravuda",435087.38,1146314.67,"Raja clavata","Thornback ray","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja",105883
"RJI",2021,9.4161,"Raia de círculos",9416.1,25145.86,"Leucoraja circularis","Sandy ray","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja",105873
"RJM",2021,49.0198,"Raia de pintas",49019.8,144179.18,"Raja montagui","Spotted ray","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja",105887
"RJF",2021,23.39095,"Raia espiñeta",23390.95,69575.87,"Leucoraja fullonica","Shagreen ray","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja",105874
"RJU",2021,11.2484,"Raia riscada",11248.4,27833.38,"Raja undulata","Undulate ray","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja",105891
"RJN",2021,90.39495,"Raia santiaguesa",90394.95,221151.09,"Leucoraja naevus","Cuckoo ray","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja",105876
"SKA",2021,167.859763,"Raias",167859.763,488498.988,"Raja spp","Raja rays NEI","RAJIDAE","RAJIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja",105766
"MEG",2021,53.55874,"Rapante",53558.74,507389.24,"Lepidorhombus whiffiagonis","Megrim","SCOPHTHALMIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Lepidorhombus",127146
"LDB",2021,0.0072,"Rapante de manchas",7.2,68.4,"Lepidorhombus boscii","Four-spot megrim","SCOPHTHALMIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Lepidorhombus",127145
"LEZ",2021,5197.39343,"Rapantes",5197393.43,19461303.18,"Lepidorhombus spp","Megrims NEI","SCOPHTHALMIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Lepidorhombus",126122
"RKZ",2021,0.03275,"Rapapelos de Kessler",32.75,79.72,"Arnoglossus grohmanni","Scaldback","BOTHIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Arnoglossus",274165
"OUB",2021,0.02085,"Rapapelos de ollos grandes",20.85,87.977,"Bothus podas","Wide-eyed flounder","BOTHIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Bothus",127129
"USI",2021,3.03885,"Rei",3038.85,3876.24,"Labrus mixtus","Cuckoo wrasse","LABRIDAE","LABRIFORMES (LABROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Labrus",151501
"HPR",2021,0.84285,"Reloxo prateado",842.85,4920.37,"Hoplostethus mediterraneus","Mediterranean slimehead","TRACHICHTHYIDAE","TRACHICHTHYIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Trachichthyiformes","Trachichthyidae","Hoplostethus",126404
"DSX",2021,72.57576,"Reló",72575.76,233724.778,"Dosinia exoleta","Mature dosinia","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Dosinia",141911
"BSS",2021,310.15589,"Robaliza",310155.89,4668162.175,"Dicentrarchus labrax","European seabass","MORONIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus",126975
"SPU",2021,0.36655,"Robaliza de pintas",366.55,3704.495,"Dicentrarchus punctatus","Spotted seabass","MORONIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus",126976
"TUR",2021,62.2856300000001,"Rodaballo",62285.6300000001,1284077.154,"Scophthalmus maximus","Turbot","SCOPHTHALMIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Scophthalmus",127149
"SYT",2021,46.5419,"Roxa",46541.9,35905.51,"Scyliorhinus stellaris","Nursehound","SCYLIORHINIDAE","CARCHARHINIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus",105815
"HDV",2021,6.3032,"Rufo imperial",6303.2,47548.42,"Schedophilus ovalis","Imperial blackfish","CENTROLOPHIDAE","SCOMBRIFORMES (STROMATEOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Centrolophidae","Schedophilus",126834
"SLM",2021,283.24995,"Saboga",283249.95,196443.44,"Sarpa salpa","Salema","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Sarpa",127064
"TSD",2021,1.19275,"Salema",1192.75,842.094,"Alosa fallax","Twaite shad","ALOSIDAE","CLUPEIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa",126415
"MUT",2021,3.9942,"Salmonete de lama",3994.2,36520.475,"Mullus barbatus","Red mullet","MULLIDAE","SYNGNATHIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Mulliformes","Mullidae","Mullus",126985
"MUR",2021,80.2059899999998,"Salmonete de rocha",80205.9899999998,1176486.818,"Mullus surmuletus","Surmullet","MULLIDAE","SYNGNATHIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Mulliformes","Mullidae","Mullus",126986
"MUX",2021,0.0051,"Salmonetes",5.1,77.6,"Mullus spp","Surmullets(=Red mullets) NEI","MULLIDAE","SYNGNATHIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Mulliformes","Mullidae","Mullus",126034
"LVC",2021,0.00481,"Saltón",4.81,3.51,"Laevicardium crassum","Norwegian egg cockle","CARDIIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Laevicardium",139004
"JOD",2021,221.47273,"Sanmartiño",221472.73,2633528.814,"Zeus faber","John dory","ZEIDAE","ZEIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Zeiformes","Zeidae","Zeus",127427
"SCY",2021,0.7719,"Santiaguiño",771.9,71437.175,"Scyllarus arctus","Lesser slipper lobster","SCYLLARIDAE","DECAPODA (PLEOCYEMATA) ACHELATA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Scyllaridae","Scyllarus",107709
"PIL",2021,9025.35744,"Sardiña",9025357.44,10497569.281,"Sardina pilchardus","European pilchard(=Sardine)","ALOSIDAE","CLUPEIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Sardina",126421
"SWA",2021,388.479007000001,"Sargo común",388479.007000001,2458226.828,"Diplodus sargus","White seabream","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus",127053
"LQL",2021,0.0216,"Sastre vermello",21.6,48.77,"Grimothea planipes","Pelagic red crab","MUNIDIDAE","DECAPODA (PLEOCYEMATA) ANOMURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Grimothea",1607504
"UEX",2021,7.71625,"Sastres",7716.25,3169.8,"Munida spp","","MUNIDIDAE","DECAPODA (PLEOCYEMATA) ANOMURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Munida",106835
"UEX",2021,7.71625,"Sastres",7716.25,3169.8,"Munida spp","","MUNIDIDAE","DECAPODA (PLEOCYEMATA) ANOMURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Munida",106826
"YFX",2021,0.1919,"Serrán",191.9,499.61,"Symphodus spp","Symphodus wrasses NEI","LABRIDAE","LABRIFORMES (LABROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus",126023
"CBR",2021,11.7338,"Serrán cabra",11733.8,23393.499,"Serranus cabrilla","Comber","SERRANIDAE","PERCIFORMES (PERCOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Serranus",127041
"SRK",2021,4.99166,"Serrán riscado",4991.66,11341.13,"Serranus scriba","Painted comber","SERRANIDAE","PERCIFORMES (PERCOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Serranus",127043
"FLE",2021,18.93991,"Solla",18939.91,129953.491,"Platichthys flesus","European flounder","PLEURONECTIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys",127141
"PLE",2021,0.01165,"Solla de altura",11.65,63.4,"Pleuronectes platessa","European plaice","PLEURONECTIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes",127143
"ZGP",2021,0.890500000000001,"Tapa",890.500000000001,5717.102,"Zeugopterus punctatus","Topknot","SCOPHTHALMIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Zeugopterus",127151
"ALV",2021,0.015,"Tiburón raposo",15,30,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"EPI",2021,0.5374,"Tomás",537.4,2148.375,"Epigonus telescopus","Black cardinal fish","EPIGONIDAE","ACROPOMATIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Acropomatiformes","Epigonidae","Epigonus",126858
"SAI",2021,0.479,"Veleiro do Atlántico",479,995.14,"Istiophorus albicans","Atlantic sailfish","ISTIOPHORIDAE","CARANGIFORMES (MENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Carangiformes","Istiophoridae","Istiophorus",126949
"YFC",2021,0.49945,"Vello",499.45,776.085,"Symphodus cinereus","Grey wrasse","LABRIDAE","LABRIFORMES (LABROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus",273567
"SCE",2021,104.57095,"Vieira",104570.95,482829.52,"Pecten maximus","Great Atlantic scallop","PECTINIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Pecten",140712
"QSC",2021,308.03688,"Volandeira",308036.88,845206.685,"Aequipecten opercularis","Queen scallop","PECTINIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Aequipecten",140687
"MAC",2021,8040.67279,"Xarda",8040672.79,9785469.61400001,"Scomber scombrus","Atlantic mackerel","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomber",127023
"VMA",2021,1034.9895,"Xarda pintada",1034989.5,714048.1,"Scomber colias","Atlantic chub mackerel","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomber",151174
"MON",2021,1637.86055,"Xuliana",1637860.55,9468752.32199998,"Lophius piscatorius","Angler(=Monk)","LOPHIIDAE","LOPHIIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius",126555
"HOM",2021,16938.4666,"Xurelo",16938466.6,18750298.723,"Trachurus trachurus","Atlantic horse mackerel","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Trachurus",126822
"HMM",2021,3.24378,"Xurelo do mediterráneo",3243.78,12859.289,"Trachurus mediterraneus","Mediterranean horse mackerel","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Trachurus",126820
"JAA",2021,0.3659,"Xurelo negro",365.9,586.74,"Trachurus picturatus","Blue jack mackerel","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Trachurus",126821
"ASD",2021,3.5876,"Zamborca",3587.6,10748.135,"Alosa alosa","Allis shad","ALOSIDAE","CLUPEIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa",126413
"VSC",2021,43.62855,"Zamburiña",43628.55,340733.529,"Mimachlamys varia","Variegated scallop","PECTINIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Mimachlamys",236719
"POL",2020,289.88155,"Abadexo",289881.55,1905397.78999999,"Pollachius pollachius","Pollack","GADIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius",126440
"CET",2020,17.03919,"Acedía",17039.19,158414.47,"Dicologlossa cuneata","Wedge sole","SOLEIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Soleidae","Dicologlossa",127154
"GAR",2020,61.3268,"Agulla",61326.8,64071.07,"Belone belone","Garfish","BELONIDAE","BELONIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Beloniformes","Belonidae","Belone",126375
"SAA",2020,0.00475,"Alacha",4.75,4.75,"Sardinella aurita","Round sardinella","DOROSOMATIDAE","CLUPEIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Sardinella",126422
"SAU",2020,3.97745,"Alcrique",3977.45,5245.05,"Scomberesox saurus","Atlantic saury","SCOMBERESOCIDAE","BELONIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Beloniformes","Scomberesocidae","Scomberesox",126392
"GUU",2020,37.79339,"Alfóndega",37793.39,85925.63,"Chelidonichthys lucerna","Tub gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys",127262
"SWG",2020,103.731,"Algas verdes",103731,85772.85,"Chlorophyceae","Green seaweeds","","CHLOROPHYTA (CHLOROPHYCEAE)","pesca_galicia","Plantae","Chlorophyta","Chlorophyceae",NA,NA,NA,802
"SWR",2020,2.49192,"Algas vermellas",2491.92,2964.65,"Rhodophyta","Red seaweeds","","RHODOPHYTA","pesca_galicia","Plantae","Rhodophyta",NA,NA,NA,NA,852
"CTS",2020,570.59333,"Ameixa babosa",570593.33,11123667.55,"Venerupis rhomboides",NA,NA,NA,"pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Venerupis",141941
"VNA",2020,3.82133,"Ameixa bicuda",3821.33,15581.49,"Polititapes aureus","Golden carpet shell","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Polititapes",246150
"CTG",2020,267.64332,"Ameixa fina",267643.32,7357106.67000001,"Ruditapes decussatus","Grooved carpet shell","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes",231749
"VNR",2020,267.93112,"Ameixa rubia",267931.12,3107554.65999999,"Polititapes rhomboides","Banded carpet shell","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Polititapes",745846
"CLJ",2020,2874.07417,"Ameixa xaponesa",2874074.17,28483237.79,"Ruditapes philippinarum","Japanese carpet shell","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes",231750
"KLK",2020,10.39165,"Ameixón",10391.65,67409.55,"Callista chione","Smooth callista","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Callista",141906
"ELX",2020,32.30814,"Anguías",32308.14,748731.81,"Anguilla spp","River eels NEI","ANGUILLIDAE","ANGUILLIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla",125620
"LAZ",2020,49.2027,"Argazo",49202.7,25778.8,"Laminariaceae","Kelps NEI","LAMINARIACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)","pesca_galicia","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae",NA,143755
"YFT",2020,0.084,"Atún amarelo",84,283.3,"Thunnus albacares","Yellowfin tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127027
"BET",2020,23.7048,"Atún patudo",23704.8,118352.41,"Thunnus obesus","Bigeye tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127028
"BFT",2020,70.338,"Atún vermello",70338,408923.41,"Thunnus thynnus","Atlantic bluefin tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127029
"TUS",2020,0.27575,"Atúns",275.75,1318.88,"Thunnus spp","True tunas NEI","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",126065
"COD",2020,61.69483,"Bacallao",61694.83,170514.61,"Gadus morhua","Atlantic cod","GADIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus",126436
"LTA",2020,8.9302,"Bacoreta",8930.2,5710.45,"Euthynnus alletteratus","Little tunny(=Atl.black skipj)","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Euthynnus",127017
"GGU",2020,0.56085,"Barbada común",560.85,3622.32,"Gaidropsarus vulgaris","Three-bearded rockling","GAIDROPSARIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gaidropsaridae","Gaidropsarus",126458
"GGD",2020,8.46444999999999,"Barbada de area",8464.44999999999,34383.5,"Gaidropsarus mediterraneus","Shore rockling","GAIDROPSARIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gaidropsaridae","Gaidropsarus",126457
"PTB",2020,0.00195,"Barbo común",1.95,6.5,"Barbus barbus","Barbel","CYPRINIDAE","CYPRINIFORMES","pesca_galicia","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Barbus",154294
"COC",2020,1367.2762,"Berberecho",1367276.2,9339238.48999998,"Cerastoderma edule","Common edible cockle","CARDIIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma",138998
"CTZ",2020,11.6816,"Berete",11681.6,17654.02,"Chelidonichthys lastoviza","Streaked gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys",127261
"RIB",2020,7.20175,"Bertorella brava",7201.75,14838.31,"Mora moro","Common mora","MORIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Moridae","Mora",126497
"GFB",2020,423.01449,"Bertorella de lama",423014.49,1554457.55,"Phycis blennoides","Greater forkbeard","PHYCIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Phycis",126501
"FOR",2020,9.36675,"Bertorella de rocha",9366.75,31379.66,"Phycis phycis","Forkbeard","PHYCIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Phycis",126502
"FOX",2020,0.0445,"Bertorellas",44.5,111.58,"Phycis spp","Forkbeards NEI","PHYCIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Phycis",125773
"KTG",2020,0.6415,"Birollo",641.5,3761.55,"Cerastoderma glaucum","Olive green cockle","CARDIIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma",467536
"ANE",2020,6311.91555,"Bocarte",6311915.55,7057134.91999999,"Engraulis encrasicolus","European anchovy","ENGRAULIDAE","CLUPEIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Engraulis",126426
"BOG",2020,2954.31974,"Boga",2954319.74,1159197.64,"Boops boops","Bogue","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Boops",127047
"CRE",2020,22.33225,"Boi",22332.25,190087.69,"Cancer pagurus","Edible crab","CANCRIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer",107276
"ZGS",2020,9.2317,"Bolo blanco",9231.7,11320.67,"Gymnammodytes semisquamatus","Smooth sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Gymnammodytes",126754
"YEZ",2020,5.3985,"Bolo verde",5398.5,6403.95,"Hyperoplus lanceolatus","Great sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Hyperoplus",126756
"ABZ",2020,7.16311,"Bolo vermello",7163.11,9036.59,"Ammodytes tobianus","Small sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",126752
"SAN",2020,0.51025,"Bolos",510.25,1307.04,"Ammodytes spp","Sandeels(=Sandlances) NEI","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",125909
"SKJ",2020,5.50723,"Bonito alistado",5507.23,15234.9,"Katsuwonus pelamis","Skipjack tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Katsuwonus",127018
"BON",2020,64.8103,"Bonito do Atlántico",64810.3,270448.17,"Sarda sarda","Atlantic bonito","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Sarda",127021
