"FAOcode","year","catch_tonnes","Galician_name","total_kg","total_euros","scientificname","English_name","Family","Order.or.higher.taxa","source","kingdom","phylum","class","order","family","genus","AphiaID"
"COC",2022,2299.20259,"Berberecho",2299202.59,14626490.737,"Cerastoderma edule","Common edible cockle","CARDIIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma",138998
"CTZ",2022,3.69645,"Berete",3696.45,4895.623,"Chelidonichthys lastoviza","Streaked gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys",127261
"BRD",2022,84.7364,"Bertorella barbada",84736.4,282820.39,"Brotula barbata","Bearded brotula","OPHIDIIDAE","OPHIDIIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Ophidiiformes","Brotulidae","Brotula",159067
"RIB",2022,6.54045,"Bertorella brava",6540.45,18664.148,"Mora moro","Common mora","MORIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Moridae","Mora",126497
"GFB",2022,380.52143,"Bertorella de lama",380521.43,1450529.31,"Phycis blennoides","Greater forkbeard","PHYCIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Phycis",126501
"FOR",2022,15.11445,"Bertorella de rocha",15114.45,45220.86,"Phycis phycis","Forkbeard","PHYCIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Phycis",126502
"FOX",2022,0.3534,"Bertorellas",353.4,816.6,"Phycis spp","Forkbeards NEI","PHYCIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Phycis",125773
"KTG",2022,4.7792,"Birollo",4779.2,18857.559,"Cerastoderma glaucum","Olive green cockle","CARDIIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma",467536
"ANE",2022,981.77805,"Bocarte",981778.05,2034609.223,"Engraulis encrasicolus","European anchovy","ENGRAULIDAE","CLUPEIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Engraulis",126426
"BOG",2022,1983.07729,"Boga",1983077.29,1077022.672,"Boops boops","Bogue","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Boops",127047
"CRE",2022,25.94363,"Boi",25943.63,215053.916,"Cancer pagurus","Edible crab","CANCRIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer",107276
"ZGS",2022,0.47765,"Bolo blanco",477.65,1554.63,"Gymnammodytes semisquamatus","Smooth sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Gymnammodytes",126754
"YEZ",2022,0.26125,"Bolo verde",261.25,763.045,"Hyperoplus lanceolatus","Great sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Hyperoplus",126756
"ABZ",2022,1.86925,"Bolo vermello",1869.25,4764.71,"Ammodytes tobianus","Small sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",126752
"SAN",2022,0.279,"Bolos",279,827.6,"Ammodytes spp","Sandeels(=Sandlances) NEI","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",125909
"SKJ",2022,3.0189,"Bonito alistado",3018.9,10776.495,"Katsuwonus pelamis","Skipjack tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Katsuwonus",127018
"BON",2022,19.4232,"Bonito do Atlántico",19423.2,60136.714,"Sarda sarda","Atlantic bonito","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Sarda",127021
"ALB",2022,2100.8002,"Bonito do norte",2100800.2,9556336.37,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"PAC",2022,16.676055,"Breca",16676.055,72270.3469999999,"Pagellus erythrinus","Common pandora","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Pagellus",127060
"USK",2022,0.004,"Brosme",4,6,"Brosme brosme","Tusk(=Cusk)","LOTIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Brosme",126447
"ASN",2022,8.15,"Buche bravo",8150,3260,"Ascophyllum nodosum","North Atlantic rockweed","FUCACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)","pesca_galicia","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Ascophyllum",145541
"HAD",2022,191.77371,"Burro",191773.71,368882.29,"Melanogrammus aeglefinus","Haddock","GADIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus",126437
"UUC",2022,0.0011,"Cabezudo",1.1,3.3,"Uranoscopus scaber","Stargazer","URANOSCOPIDAE","LABRIFORMES (URANOSCOPOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Uranoscopidae","Uranoscopus",127093
"BRF",2022,535.291034,"Cabra de altura",535291.034,2326829.671,"Helicolenus dactylopterus","Blackbelly rosefish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Helicolenus",127251
"REG",2022,0.284,"Cabra dourada",284,1931.37,"Sebastes norvegicus","Golden redfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebastes",151324
"TJX",2022,7.0666,"Cabracho de fondo",7066.6,41471.74,"Trachyscorpia cristulata","Atlantic thornyhead","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Trachyscorpia",127256
"RED",2022,17.8295,"Cabras",17829.5,61091.2,"Sebastes spp","Atlantic redfishes NEI","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebastes",126175
"DXL",2022,0.7406,"Cadelucha",740.6,35053.926,"Donax trunculus","Truncate donax","DONACIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Cardiida","Donacidae","Donax",139602
"CPR",2022,76.90585,"Camarón común",76905.85,2363798.383,"Palaemon serratus","Common prawn","PALAEMONIDAE","DECAPODA (PLEOCYEMATA) CARIDEA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon",107616
"PNQ",2022,0.5015,"Camarón de poza",501.5,4513.5,"Palaemon elegans","Rockpool prawn","PALAEMONIDAE","DECAPODA (PLEOCYEMATA) CARIDEA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon",107614
"CRG",2022,39.91695,"Cangrexo común",39916.95,78752.397,"Carcinus maenas","Green crab","CARCINIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus",107381
"KEF",2022,0.68175,"Cangrexo real",681.75,10604.72,"Chaceon affinis","Deep-sea red crab","GERYONIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Geryonidae","Chaceon",107369
"WHE",2022,0.0096,"Caracola",9.6,23.46,"Buccinum undatum","Whelk","BUCCINIDAE","GASTROPODA","pesca_galicia","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum",138878
"CUX",2022,0.142,"Carallos de mar nep",142,335.12,"Holothuroidea","Sea cucumbers NEI","","ECHINODERMATA (HOLOTHUROIDEA)","pesca_galicia","Animalia","Echinodermata","Holothuroidea",NA,NA,NA,123083
"PEE",2022,0.18755,"Caramuxo",187.55,345.95,"Littorina littorea","Common periwinkle","LITTORINIDAE","GASTROPODA","pesca_galicia","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina",140262
"VEV",2022,76.83607,"Carneiro",76836.07,747074.348,"Venus verrucosa","Warty venus","VENERIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Venus",141936
"POA",2022,1063.59961,"Castañeta",1063599.61,3271303.69,"Brama brama","Atlantic pomfret","BRAMIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Bramidae","Brama",126783
"TAL",2022,0.137,"Castañeta de aleta longa",137,212.63,"Taractichthys longipinnis","Big-scale pomfret","BRAMIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Bramidae","Taractichthys",126788
"TCR",2022,0.198,"Castañeta de quilla",198,257.74,"Taractes rubescens","","BRAMIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Bramidae","Taractes",126787
"BYS",2022,19.34545,"Castañeta macho",19345.45,136973.07,"Beryx splendens","Splendid alfonsino","BERYCIDAE","BERYCIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",126395
"BXD",2022,37.95576,"Castañeta vermella",37955.76,1081145.03,"Beryx decadactylus","Alfonsino","BERYCIDAE","BERYCIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",126394
"SHO",2022,8.0071,"Cazapa",8007.1,2809.64,"Galeus melastomus","Blackmouth catshark","PENTANCHIDAE","CARCHARHINIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Pentanchidae","Galeus",105812
"GAG",2022,8.6201,"Cazón",8620.1,13912.93,"Galeorhinus galeus","Tope shark","TRIAKIDAE","CARCHARHINIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus",105820
"SMD",2022,0.2831,"Cazón liso",283.1,312.16,"Mustelus mustelus","Smooth-hound","TRIAKIDAE","CARCHARHINIFORMES","pesca_galicia","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus",105822
"JDV",2022,700.685835,"Centola ou centolo",700685.835,6451512.995,"Maja brachydactyla","Common spider crab","MAJIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Majidae","Maja",107347
"CTB",2022,69.74053,"Chaparella",69740.53,292695.732,"Diplodus vulgaris","Common two-banded seabream","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus",127054
"GPW",2022,2.1916,"Cherna de ley",2191.6,19977.89,"Epinephelus aeneus","White grouper","EPINEPHELIDAE","PERCIFORMES (PERCOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Epinephelidae","Epinephelus",127032
"CTC",2022,606.592096,"Choco",606592.096,4550467.30299999,"Sepia officinalis","Common cuttlefish","SEPIIDAE","CEPHALOPODA (CUTTLEFISHES)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia",141444
"CTR",2022,2.52995,"Chopiño",2529.95,17766.008,"Sepiola rondeletii","Dwarf bobtail squid","SEPIOLIDAE","CEPHALOPODA (CUTTLEFISHES)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiolidae","Sepiola",141459
"EJE",2022,0.68825,"Choquiño",688.25,9190.358,"Sepia elegans","Elegant cuttlefish","SEPIIDAE","CEPHALOPODA (CUTTLEFISHES)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia",141443
"IAR",2022,0.0637,"Choquiño picudo",63.7,978.65,"Sepia orbignyana","Pink cuttlefish","SEPIIDAE","CEPHALOPODA (CUTTLEFISHES)","pesca_galicia","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia",141445
"BRB",2022,102.48989,"Choupa",102489.89,170820.495999999,"Spondyliosoma cantharus","Black seabream","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Spondyliosoma",127066
"NEP",2022,206.77415,"Cigala",206774.15,3135588,"Nephrops norvegicus","Norway lobster","NEPHROPIDAE","DECAPODA (PLEOCYEMATA) ASTACIDEA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Nephrops",107254
"OIL",2022,1.114,"Cochinilla",1114,2913.59,"Ruvettus pretiosus","Oilfish","GEMPYLIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Ruvettus",126867
"JCR",2022,73.44535,"Cogombro de mar real",73445.35,235488.47,"Parastichopus regalis","Royal cucumber","STICHOPODIDAE","ECHINODERMATA (HOLOTHUROIDEA)","pesca_galicia","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Parastichopus",149898
"COE",2022,1304.32188,"Congro",1304321.88,2767817.00400001,"Conger conger","European conger","CONGRIDAE","ANGUILLIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Conger",126285
"ICC",2022,4.9035,"Conguito",4903.5,8545.754,"Polybius corrugatus","Wrinkled swimcrab","POLYBIIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA","pesca_galicia","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Polybius",1752528
"WIT",2022,673.5683,"Coreano",673568.3,1816272.07,"Glyptocephalus cynoglossus","Witch flounder","PLEURONECTIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus",127136
"ULO",2022,498.220099999999,"Cornicha",498220.099999999,2913875.867,"Spisula solida","Solid surf clam","MACTRIDAE","BIVALVIA","pesca_galicia","Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Spisula",140301
