"year","Galician_name","total_kg","total_euros","Spanish_name","Scientific_Name","FAO"
2021,"ostra",73615.403,481323.302,NA,NA,NA
2021,"ostra rizada",98712.54,111767.782,NA,NA,NA
2021,"ovas de maruca",689.5,1085.95,NA,NA,NA
2021,"ovas de pescada",142966.84,677970.758,NA,NA,NA
2021,"patexo",25460.9,2480.45,NA,NA,NA
2021,"peixe espada",1015807.42,7626263.47,NA,NA,NA
2021,"peixe xabaril",172,27.52,NA,NA,NA
2021,"peixes mariños nep",32.11,137.37,NA,NA,NA
2021,"pejerreyes",26.5,47.15,NA,NA,NA
2021,"percebe",254089.832,8810978.32,NA,NA,NA
2021,"pescada do senegal",37.85,110.44,NA,NA,NA
2021,"potón común",4368.45,10368.81,NA,NA,NA
2021,"raia boca de rosa",21075,75999.77,NA,NA,NA
2021,"raia espiñeta",23390.95,69575.87,NA,NA,NA
2021,"raia santiaguesa",90394.95,221151.09,NA,NA,NA
2021,"raias",167859.763,488498.988,NA,NA,NA
2021,"rapapelos de ollos grandes",20.85,87.977,NA,NA,NA
2021,"rei",3038.85,3876.24,NA,NA,NA
2021,"reló",72575.76,233724.778,NA,NA,NA
2021,"rodaballo",62285.6300000001,1284077.154,NA,NA,NA
2021,"rufo imperial",6303.2,47548.42,NA,NA,NA
2021,"salema",1192.75,842.094,NA,NA,NA
2021,"salmonetes",5.1,77.6,NA,NA,NA
2021,"sastres",7716.25,3169.8,NA,NA,NA
2021,"serrán",191.9,499.61,NA,NA,NA
2021,"tomás",537.4,2148.375,NA,NA,NA
2021,"volandeira",308036.88,845206.685,NA,NA,NA
2021,"zamburiña",43628.55,340733.529,NA,NA,NA
2020,"acedía",17039.19,158414.47,NA,NA,NA
2020,"algas verdes",103731,85772.85,NA,NA,NA
2020,"algas vermellas",2491.92,2964.65,NA,NA,NA
2020,"ameixón",10391.65,67409.55,NA,NA,NA
2020,"anguías",32308.14,748731.81,NA,NA,NA
2020,"argazo",49202.7,25778.8,NA,NA,NA
2020,"atúns",275.75,1318.88,NA,NA,NA
2020,"bacoreta",8930.2,5710.45,NA,NA,NA
2020,"barbo común",1.95,6.5,NA,NA,NA
2020,"berberecho",1367276.2,9339238.48999998,NA,NA,NA
2020,"bertorellas",44.5,111.58,NA,NA,NA
2020,"boga",2954319.74,1159197.64,NA,NA,NA
2020,"bolos",510.25,1307.04,NA,NA,NA
2020,"breca",15638.75,53656.2,NA,NA,NA
2020,"cabras",1162.65,5577.37,NA,NA,NA
2020,"cangrexo real",164.7,1618.38,NA,NA,NA
2020,"cazapa",42375.3,15459.74,NA,NA,NA
2020,"cazón",76811.1,69209.86,NA,NA,NA
2020,"centola ou centolo",564232.660000001,5220981.84999999,NA,NA,NA
2020,"cigala",115253.35,1294047.06,NA,NA,NA
2020,"cogombro de mar negro",21.8,42,NA,NA,NA
2020,"correa",22802,11802.3,NA,NA,NA
2020,"escacho de cremalleira",62779.13,66606.15,NA,NA,NA
2020,"escachos",178081.16,463602.670000001,NA,NA,NA
2020,"escolar negro",71997.45,131274.94,NA,NA,NA
2020,"faneca",884163.58,1769878.42,NA,NA,NA
2020,"fideo de mar",9117.9,8767.15,NA,NA,NA
2020,"fodón",6251.14999999999,10093.5,NA,NA,NA
2020,"fucus",6309,1892.72,NA,NA,NA
2020,"galludo",61511.25,362234.76,NA,NA,NA
2020,"gavilán",2102.17,165034.07,NA,NA,NA
2020,"jaiba de roca dientuda",69.5,347.5,NA,NA,NA
2020,"limanda",1.5,2.55,NA,NA,NA
2020,"lorchos",11756.15,20806.7,NA,NA,NA
2020,"maragota",256962.39,691318.27,NA,NA,NA
2020,"marlíns",99,79.52,NA,NA,NA
2020,"maruca",148199.11,226693.72,NA,NA,NA
2020,"melgas",200,32,NA,NA,NA
2020,"melva",908.95,1959.25,NA,NA,NA
2020,"melvas",15797.95,20888.82,NA,NA,NA
2020,"merlán",3436.72,2954.3,NA,NA,NA
2020,"mero",27854.61,575765.41,NA,NA,NA
2020,"mexillón",52737.09,56508.43,NA,NA,NA
2020,"miñoca de area",648.710000000001,19629.11,NA,NA,NA
2020,"miñoca de tubo",845.960000000001,24350.09,NA,NA,NA
2020,"muxo negro",39530.1,31970.83,NA,NA,NA
2020,"muxos",980.95,490.61,NA,NA,NA
2020,"nécora",133632.93,2142037.86,NA,NA,NA
2020,"obispo",107,571.68,NA,NA,NA
2020,"olayo atlántico",3239,1030.4,NA,NA,NA
2020,"ortiguilla de mar",14268.45,157284.74,NA,NA,NA
2020,"ostra",39076.92,216360.33,NA,NA,NA
2020,"ostra rizada",71323.55,81298.2,NA,NA,NA
2020,"ovas de maruca",584.5,333,NA,NA,NA
2020,"ovas de peixe pau",1.9,11.2,NA,NA,NA
2020,"ovas de pescada",145581.8,507588.200000001,NA,NA,NA
2020,"palometón",21.5,21.5,NA,NA,NA
2020,"patexo",12529,2600.5,NA,NA,NA
2020,"peixe espada",1292865.95,7668270.82,NA,NA,NA
2020,"peixe xabaril",1471,231.31,NA,NA,NA
2020,"peixes mariños nep",918.86,2156.16,NA,NA,NA
2020,"pejerreyes",292.1,146.05,NA,NA,NA
2020,"percebe",225845.04,7731244.52,NA,NA,NA
2020,"pescada do senegal",927.45,5240.55,NA,NA,NA
2020,"potón común",4450.45,8911.34,NA,NA,NA
2020,"raia boca de rosa",18741.5,59414.59,NA,NA,NA
2020,"raia espiñeta",1949.4,7230.92,NA,NA,NA
2020,"raia santiaguesa",158486.15,336702.18,NA,NA,NA
2020,"raias",408906.79,994062.310000002,NA,NA,NA
2020,"rapapelos de ollos grandes",13.6,47.96,NA,NA,NA
2020,"rei",1852.5,1931.29,NA,NA,NA
2020,"reló",77133.36,241889.97,NA,NA,NA
2020,"rodaballo",62728.69,1088915.81,NA,NA,NA
2020,"rufo imperial",4220.1,28681.05,NA,NA,NA
2020,"salema",676.35,210.84,NA,NA,NA
2020,"sastres",5014.75,2278.32,NA,NA,NA
2020,"serrán",710.35,1200.01,NA,NA,NA
2020,"tomás",240.9,521.38,NA,NA,NA
2020,"volandeira",223360.85,616820.46,NA,NA,NA
2020,"zamburiña",24921,172902.7,NA,NA,NA
2019,"acedía",15194.2,139527.52,NA,NA,NA
2019,"algas verdes",66642.5,63879.46,NA,NA,NA
2019,"algas vermellas",3987.57,3713.34,NA,NA,NA
2019,"ameixón",40762.89,195909.78,NA,NA,NA
2019,"anguilas",22888.11,406972.65,NA,NA,NA
2019,"argazo",62817.4,38074.14,NA,NA,NA
2019,"argazo bravo",171.39,128.55,NA,NA,NA
2019,"atúns",212,1137.38,NA,NA,NA
2019,"bacoreta",9779.6,8250.66,NA,NA,NA
2019,"barbo común",7.75,54.2,NA,NA,NA
2019,"berberecho",3442279.96,21491164.34,NA,NA,NA
2019,"bertorellas",577.36,3379.39,NA,NA,NA
2019,"boga",2332877.18,864751.980000001,NA,NA,NA
2019,"bolos",16339.53,12904.28,NA,NA,NA
2019,"breca",18393.78,64945.3699999999,NA,NA,NA
2019,"cabras",335.5,966.65,NA,NA,NA
2019,"cangrexo real",899.15,9561.19,NA,NA,NA
2019,"carallos de mar nep",1898,3797.47,NA,NA,NA
2019,"castañetas",382,2355.39,NA,NA,NA
2019,"cazapa",26338.8,15581.54,NA,NA,NA
2019,"cazón",59810.2,50642.52,NA,NA,NA
2019,"centola ou centolo",104481.36,1572726.79,NA,NA,NA
2019,"chirla",0.75,1.28,NA,NA,NA
2019,"cigala",157769.17,1841736.76,NA,NA,NA
2019,"cogombro de mar negro",2081,8254.9,NA,NA,NA
2019,"correa",42552,22336.1,NA,NA,NA
2019,"escachos",236744.37,563442.8,NA,NA,NA
2019,"escarapote de fóra",3.5,8.75,NA,NA,NA
2019,"escolar negro",67868,244982.19,NA,NA,NA
2019,"faneca",857683.460000001,1811152.4,NA,NA,NA
2019,"fideo de mar",15077.82,16122.35,NA,NA,NA
2019,"fodón",7297.9,10288.35,NA,NA,NA
2019,"galludo",75502.85,478120.45,NA,NA,NA
2019,"gavilán",3093.29,257916.54,NA,NA,NA
2019,"lapas",400.85,1402.98,NA,NA,NA
2019,"lorchos",10908.65,18420.58,NA,NA,NA
2019,"maragota",310433.51,772501.160000001,NA,NA,NA
2019,"maruca",192590.22,345043.42,NA,NA,NA
2019,"melgas",400,220.3,NA,NA,NA
2019,"melva",21789.65,30478.52,NA,NA,NA
2019,"melvas",2896.65,3945.32,NA,NA,NA
2019,"merlán",3237.25,4368.03,NA,NA,NA
2019,"mero",15851.18,377611.97,NA,NA,NA
2019,"mexilla",103322.68,87323.06,NA,NA,NA
2019,"miñoca de area",1137.34,33060.62,NA,NA,NA
2019,"miñoca de tubo",1294.21,33332.18,NA,NA,NA
2019,"muxo negro",54108.65,40990.37,NA,NA,NA
2019,"muxos",2063.9,1620.66,NA,NA,NA
2019,"nécora",115276.55,1979490.19,NA,NA,NA
2019,"ortiguilla de mar",17957.3,191742.55,NA,NA,NA
2019,"ostra plana",116324.96,224150.95,NA,NA,NA
2019,"ostra rizada",155880.67,169207.43,NA,NA,NA
2019,"ovas de maruca",1609,4833.61,NA,NA,NA
2019,"ovas de pescada",171552.29,584421.8,NA,NA,NA
2019,"peixe espada",1207346.3,7675812.37,NA,NA,NA
2019,"peixe xabaril",187,29.92,NA,NA,NA
2019,"peixes mariños nep",2412.39,5827.72,NA,NA,NA
2019,"percebe",310539.83,9262752.44999999,NA,NA,NA
2019,"pescada do senegal",30756.8,49990.09,NA,NA,NA
2019,"piardas",19.7,5.93,NA,NA,NA
2019,"potón común",1799.35,5854.92,NA,NA,NA
2019,"raia boca de rosa",17843.45,53243.97,NA,NA,NA
2019,"raia santiaguesa",268012.12,624845.120000001,NA,NA,NA
2019,"raias",665204.9,1708651.84,NA,NA,NA
2019,"rapapelos de ollos grandes",7.2,28.98,NA,NA,NA
2019,"rei",2092.8,3018.04,NA,NA,NA
2019,"reló",108585.3,385945.53,NA,NA,NA
2019,"rodaballo",69553.7999999998,1385979.04,NA,NA,NA
2019,"rufo imperial",30403.35,188584.3,NA,NA,NA
2019,"salema",96.5,51.7,NA,NA,NA
2019,"sastres",1879.75,3040.47,NA,NA,NA
2019,"serra",636.8,2274.04,NA,NA,NA
2019,"serrán",602.15,870.85,NA,NA,NA
2019,"tomás",664.54,1551.79,NA,NA,NA
2019,"volandeira",240737.98,641825.55,NA,NA,NA
2019,"zamburiña",25952.71,179483.03,NA,NA,NA
2018,"acedía",10484.73,106849.74,NA,NA,NA
2018,"algas verdes",50748.5,45596.71,NA,NA,NA
2018,"algas vermellas",14524,8452.53,NA,NA,NA
2018,"ameixón",36315.17,201797.86,NA,NA,NA
2018,"anguilas",28642.3,490087.2,NA,NA,NA
2018,"argazo",108556,60151.1,NA,NA,NA
2018,"argazo bravo",750,675,NA,NA,NA
2018,"bacoreta",52501.85,153868.12,NA,NA,NA
2018,"berberecho",2482754.21,15447031.85,NA,NA,NA
2018,"bertorellas",22.2,128.73,NA,NA,NA
2018,"boga",4215759.95,1474251.38,NA,NA,NA
2018,"bolos",8858.84,17727,NA,NA,NA
2018,"breca",14028.5,55939.81,NA,NA,NA
2018,"cabras",1362.85,7116.83,NA,NA,NA
2018,"cangrexo real",1493.75,16506,NA,NA,NA
2018,"carallos de mar nep",1774.6,3275.48,NA,NA,NA
2018,"carromeiro",171,213.78,NA,NA,NA
2018,"cazapa",55963,17089.55,NA,NA,NA
2018,"cazón",41878.25,30213.28,NA,NA,NA
2018,"cigala",175443.88,2051294.47,NA,NA,NA
2018,"cogombro de mar negro",330,1155,NA,NA,NA
2018,"corno",1.4,4.24,NA,NA,NA
2018,"correa",24361,14712,NA,NA,NA
2018,"escachos",234755.11,593937.15,NA,NA,NA
2018,"escolar negro",49504.8,157995.35,NA,NA,NA
2018,"faneca",821073.530000002,1909408.28,NA,NA,NA
2018,"fideo de mar",18704.5,18307.15,NA,NA,NA
2018,"fodón",9918,10955.65,NA,NA,NA
2018,"galludo",60581.7,413347.09,NA,NA,NA
2018,"gavilán",2881.29000000001,236208.25,NA,NA,NA
2018,"lapas",414.05,1450.98,NA,NA,NA
2018,"limanda",100.2,25.05,NA,NA,NA
2018,"lorchos",11600.83,20557.54,NA,NA,NA
2018,"maragota",299250.29,823828.29,NA,NA,NA
2018,"maruca",249161.46,492969.14,NA,NA,NA
2018,"melva",401.45,359.58,NA,NA,NA
2018,"melvas",6741.72,6792.48,NA,NA,NA
2018,"merlán",12511.22,13350.38,NA,NA,NA
2018,"mero",19557.16,504222.13,NA,NA,NA
2018,"mexilla",44349.36,38570.37,NA,NA,NA
2018,"miñoca",8.02,160.5,NA,NA,NA
2018,"miñoca de area",950,33237.9,NA,NA,NA
2018,"miñoca de tubo",1112.99,29091.6,NA,NA,NA
2018,"muxo negro",16512.95,17423.98,NA,NA,NA
2018,"muxos",164.7,205.45,NA,NA,NA
2018,"nécora",109781.21,1978189.04,NA,NA,NA
2018,"ortiguilla de mar",21426.75,213853.45,NA,NA,NA
2018,"ostra plana",115123.51,266239.29,NA,NA,NA
2018,"ostra rizada",189619.93,185979.44,NA,NA,NA
2018,"ovas de maruca",5600.25,25461.37,NA,NA,NA
2018,"ovas de pescada",219119.34,735654.07,NA,NA,NA
2018,"pampos",2,2,NA,NA,NA
2018,"patexo",1740,368,NA,NA,NA
2018,"peixe espada",811041.95,6051518.64,NA,NA,NA
2018,"peixes mariños nep",8430.56,22436.85,NA,NA,NA
2018,"percebe",316343.36,8924473.17999999,NA,NA,NA
2018,"piardas",344.6,662.78,NA,NA,NA
2018,"potón común",25479.22,62893.22,NA,NA,NA
2018,"raia boca de rosa",1206,2391.23,NA,NA,NA
2018,"raia santiaguesa",254810.65,577165.49,NA,NA,NA
2018,"raias",921622.89,2534588.92,NA,NA,NA
2018,"rapapelos de ollos grandes",35.1,126.16,NA,NA,NA
2018,"rei",1147.6,1528.59,NA,NA,NA
2018,"reló",282271.47,721140.36,NA,NA,NA
2018,"rodaballo",61181.41,1230549.49,NA,NA,NA
2018,"salema",7619.6,5105.84,NA,NA,NA
2018,"sastres",1801.75,1460.82,NA,NA,NA
2018,"serra",525.8,1523.84,NA,NA,NA
2018,"serrán",596.6,1141.1,NA,NA,NA
2018,"tomás",574.95,1406.76,NA,NA,NA
2018,"volandeira",215326.1,735959.28,NA,NA,NA
2018,"zamburiña",20508.2,143138.01,NA,NA,NA
