"year","Galician_name","total_kg","total_euros","Nombre comercial (1)","Nombre científico","Andalucía","Asturias","Baleares","Canarias","Cantabria","Cataluña","Valencia","Murcia","País Vasco","FAO"
2022,"bonito alistado",3018.9,10776.495,"Listado o bonito de vientre rayado","Katsuwonus pelamis","Listado o alistado","Sierra/futbolista","Bonitol de ventre ratllat","Bonito/bonito listado","Alistado","Bonitol de ventre rallat","Bacoreta ratllada",NA,"Serrutxo/txermol","SKJ"
2022,"bonito do atlántico",19423.2,60136.714,"Bonito","Sarda sarda","Bonito del sur","Sierra","Bonitol","Sierra/corriguelo",NA,"Bonítol","Bonítol",NA,"Aginzorrotz/lampo","BON"
2022,"bonito do norte",2100800.2,9556336.37,"Atún blanco o bonito del norte o albacora","Thunnus alalunga",NA,"Mono","Bacora o ullada","barrilote","Bonito del norte","Bacora","Bacora",NA,"Hegaluze","ALB"
2022,"breca",16676.055,72270.3469999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"brosme",4,6,"Brosmio","Brosme brosme",NA,NA,NA,NA,NA,NA,NA,NA,NA,"USK"
2022,"buche bravo",8150,3260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"burro",191773.71,368882.29,"Eglefino","Melanogrammus aeglefinus",NA,"Fañeca/ferreta/jodion",NA,NA,NA,"Eglefí",NA,NA,"Burro/borriko","HAD"
2022,"cabezudo",1.1,3.3,"Miracielo","Uranoscopus scaber","Pez rata o araña ronquera",NA,"Rata o saltabardisses","Pejesapo/rata",NA,"Rata","Rata","Rata",NA,"UUC"
2022,"cabra de altura",535291.034,2326829.671,"Gallineta","Helicolenus dactylopterus","Pollo o pollico","Cabrallocha/cabra de altura","Serra imperial","Gallineta/boca negra",NA,"Penegal","Serrá penagal","Pollo","Sakoneko kabra","BRF"
2022,"cabra dourada",284,1931.37,"Gallineta nórdica","Sebastes marinus",NA,NA,"Penegal nordic",NA,NA,NA,NA,NA,NA,"REG"
2022,"cabracho de fondo",7066.6,41471.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"cabras",17829.5,61091.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"cadelucha",740.6,35053.926,"Coquina","Donax trunculus",NA,NA,"Tellerina o xarleta",NA,NA,"Tellerina","Tellina",NA,NA,"DXL"
2022,"camarón común",76905.85,2363798.383,"Camarón","Palaemon serratus",NA,"Quisquilla/esguila",NA,NA,NA,"Gambeta",NA,NA,NA,"CPR"
2022,"camarón de poza",501.5,4513.5,"Camarón de poza","Palaemon elegans",NA,NA,NA,"Camarón de charco",NA,NA,NA,NA,NA,"PNQ"
2022,"cangrexo común",39916.95,78752.397,"Cangrejo atlántico o verde","Carcinus maenas",NA,"Cambaro","Cranc verd",NA,"Cambaro",NA,NA,NA,"Karramarro","CRG"
2022,"cangrexo real",681.75,10604.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"caracola",9.6,23.46,"Bocina","Buccinum undatum",NA,NA,"Botzina",NA,NA,NA,NA,NA,NA,"WHE"
