"year","scientificname","commonname","total_catch","total_biomass"
1970,"Glyptocephalus cynoglossus","Witch flounder",0,0
1970,"Hippoglossoides platessoides","American Plaice",66779,369000
1970,"Lamna nasus","Porbeagle shark",408,0
1970,"Limanda ferruginea","Yellowtail Flounder",26400,120000
1970,"Limanda limanda","Dab",950,0
1970,"Melanogrammus aeglefinus","Haddock",112330,350300
1970,"Merlangius merlangus","Whiting",1280,0
1970,"Microstomus kitt","Lemon sole",0,0
1970,"Molva dypterygia","Blue ling",3240,0
1970,"Nephrops norvegicus","Norway lobster",4940,0
1970,"Pagellus bogaraveo","Red seabream",13300,0
1970,"Pandalus borealis","Northern shrimp",8730,1.62
1970,"Platichthys flesus","European flounder",0,0
1970,"Pleuronectes platessa","European Plaice",160234,453000
1970,"Pollachius virens","Pollock",565100,2070000
1970,"Reinhardtius hippoglossoides","Greenland halibut",33900200,0
1970,"Sardina pilchardus","Sardine",4050,0
1970,"Scophthalmus maximus","Turbot",77,0
1970,"Scophthalmus rhombus","Brill",4,0
1970,"Sebastes norvegicus","Golden Redfish",0,0
1970,"Sebastes spp","Redfish species",19400,185000
1970,"Solea solea","Common sole",20102,90550
1970,"Sprattus sprattus","Sprat",21600,0
1970,"Squalus acanthias","Spurdog",47600,141000
1970,"Trisopterus esmarkii","Norway pout",0,0
1970,"Urophycis tenuis","White hake",829,0
1971,"Amblyraja radiata","Thorny skate",718,0
1971,"Ammodytes spp","Sand eel",0,0
1971,"Argentina silus","Greater silver smelt",0,0
1971,"Clupea harengus","Herring",980400,5319000
1971,"Gadus morhua","Atlantic Cod",5780,15300
1971,"Gadus morhua","Atlantic cod",1918590,4374500
1971,"Glyptocephalus cynoglossus","Witch flounder",0,0
1971,"Hippoglossoides platessoides","American Plaice",68980,330000
1971,"Lamna nasus","Porbeagle shark",991,0
1971,"Limanda ferruginea","Yellowtail Flounder",37300,107000
1971,"Limanda limanda","Dab",1010,0
1971,"Melanogrammus aeglefinus","Haddock",101710,318000
1971,"Merlangius merlangus","Whiting",807,0
1971,"Microstomus kitt","Lemon sole",0,0
1971,"Molva dypterygia","Blue ling",1940,0
1971,"Nephrops norvegicus","Norway lobster",4890,0
1971,"Pagellus bogaraveo","Red seabream",8770,0
1971,"Pandalus borealis","Northern shrimp",8830,1.71
1971,"Platichthys flesus","European flounder",0,0
1971,"Pleuronectes platessa","European Plaice",137090,452000
1971,"Pollachius virens","Pollock",582700,2204000
1971,"Reinhardtius hippoglossoides","Greenland halibut",29088410,0
1971,"Sardina pilchardus","Sardine",6060,0
1971,"Scophthalmus maximus","Turbot",101,0
1971,"Scophthalmus rhombus","Brill",3,0
1971,"Sebastes norvegicus","Golden Redfish",67900,609000
1971,"Sebastes spp","Redfish species",37400,192000
1971,"Solea solea","Common sole",24139,102960
1971,"Sprattus sprattus","Sprat",19000,0
1971,"Squalus acanthias","Spurdog",45700,135000
1971,"Trisopterus esmarkii","Norway pout",1980,0
1971,"Urophycis tenuis","White hake",8860,0
1972,"Amblyraja radiata","Thorny skate",743,0
1972,"Ammodytes spp","Sand eel",0,0
1972,"Argentina silus","Greater silver smelt",0,0
1972,"Clupea harengus","Herring",889200,4574000
1972,"Gadus morhua","Atlantic Cod",4740,12800
1972,"Gadus morhua","Atlantic cod",1754570,3942100
1972,"Glyptocephalus cynoglossus","Witch flounder",0,0
1972,"Hippoglossoides platessoides","American Plaice",60261,318000
1972,"Lamna nasus","Porbeagle shark",1760,0
1972,"Limanda ferruginea","Yellowtail Flounder",39300,86800
1972,"Limanda limanda","Dab",1240,0
1972,"Mallotus villosus","Capelin",1590000,6600000
1972,"Melanogrammus aeglefinus","Haddock",692930,3256100
1972,"Merlangius merlangus","Whiting",81,0
1972,"Microstomus kitt","Lemon sole",0,0
1972,"Molva dypterygia","Blue ling",4640,0
1972,"Nephrops norvegicus","Norway lobster",5730,0
1972,"Pagellus bogaraveo","Red seabream",9120,0
1972,"Pandalus borealis","Northern shrimp",9160,1.77
1972,"Platichthys flesus","European flounder",0,0
1972,"Pleuronectes platessa","European Plaice",142234,448000
1972,"Pollachius virens","Pollock",552700,2053000
1972,"Reinhardtius hippoglossoides","Greenland halibut",26552050,0
1972,"Sardina pilchardus","Sardine",5090,0
1972,"Scophthalmus maximus","Turbot",132,0
1972,"Scophthalmus rhombus","Brill",7,0
1972,"Sebastes norvegicus","Golden Redfish",50900,611000
1972,"Sebastes spp","Redfish species",31900,180000
1972,"Solea solea","Common sole",21554,91830
1972,"Sprattus sprattus","Sprat",22600,0
1972,"Squalus acanthias","Spurdog",50400,131000
1972,"Trisopterus esmarkii","Norway pout",3940,0
1972,"Urophycis tenuis","White hake",6060,0
1973,"Amblyraja radiata","Thorny skate",661,0
1973,"Ammodytes spp","Sand eel",0,0
1973,"Argentina silus","Greater silver smelt",103,0
1973,"Clupea harengus","Herring",967900,3695000
1973,"Coryphaenoides rupestris","Roundnose grenadier",1050,0
1973,"Gadus morhua","Atlantic Cod",4020,11700
1973,"Gadus morhua","Atlantic cod",1781600,4463000
1973,"Glyptocephalus cynoglossus","Witch flounder",0,0
1973,"Hippoglossoides platessoides","American Plaice",53434,313000
1973,"Lamna nasus","Porbeagle shark",985,0
1973,"Limanda ferruginea","Yellowtail Flounder",32800,66200
1973,"Limanda limanda","Dab",1310,0
1973,"Mallotus villosus","Capelin",1340000,5140000
1973,"Melanogrammus aeglefinus","Haddock",686140,3335900
1973,"Merlangius merlangus","Whiting",63,0
1973,"Microstomus kitt","Lemon sole",0,0
1973,"Molva dypterygia","Blue ling",25200,0
1973,"Nephrops norvegicus","Norway lobster",5890,0
1973,"Pagellus bogaraveo","Red seabream",7510,0
1973,"Pandalus borealis","Northern shrimp",7240,1.82
1973,"Platichthys flesus","European flounder",8120,0
1973,"Pleuronectes platessa","European Plaice",144185,397000
1973,"Pollachius virens","Pollock",546400,1988000
1973,"Reinhardtius hippoglossoides","Greenland halibut",20536750,0
1973,"Sardina pilchardus","Sardine",6570,0
1973,"Scophthalmus maximus","Turbot",100,0
1973,"Scophthalmus rhombus","Brill",13,0
1973,"Sebastes norvegicus","Golden Redfish",41700,651000
1973,"Sebastes spp","Redfish species",36300,174000
1973,"Solea solea","Common sole",19771,83770
1973,"Sprattus sprattus","Sprat",15900,0
1973,"Squalus acanthias","Spurdog",49400,125000
1973,"Squatina squatina","Angel shark",8,0
1973,"Trisopterus esmarkii","Norway pout",11100,0
1973,"Urophycis tenuis","White hake",4320,0
1974,"Amblyraja radiata","Thorny skate",3090,0
1974,"Ammodytes spp","Sand eel",0,0
1974,"Argentina silus","Greater silver smelt",0,0
1974,"Clupea harengus","Herring",1056900,5301500
1974,"Coryphaenoides rupestris","Roundnose grenadier",18400,0
1974,"Gadus morhua","Atlantic Cod",2900,10700
1974,"Gadus morhua","Atlantic cod",2043920,4539800
1974,"Glyptocephalus cynoglossus","Witch flounder",0,0
1974,"Hippoglossoides platessoides","American Plaice",48240,316000
1974,"Lamna nasus","Porbeagle shark",744,0
1974,"Limanda ferruginea","Yellowtail Flounder",24300,51300
1974,"Limanda limanda","Dab",1400,0
1974,"Mallotus villosus","Capelin",1150000,5730000
1974,"Melanogrammus aeglefinus","Haddock",634240,3295000
1974,"Merlangius merlangus","Whiting",1,0
1974,"Microstomus kitt","Lemon sole",0,0
1974,"Molva dypterygia","Blue ling",20600,0
1974,"Nephrops norvegicus","Norway lobster",4147,0
1974,"Pagellus bogaraveo","Red seabream",10200,0
1974,"Pandalus borealis","Northern shrimp",8726,1.87
1974,"Platichthys flesus","European flounder",9390,0
1974,"Pleuronectes platessa","European Plaice",157152,424000
1974,"Pollachius virens","Pollock",648200,1894000
1974,"Reinhardtius hippoglossoides","Greenland halibut",36343560,0
1974,"Sardina pilchardus","Sardine",3950,0
1974,"Scophthalmus maximus","Turbot",117,0
1974,"Scophthalmus rhombus","Brill",26,0
1974,"Sebastes mentella","Beaked Redfish",0,0
1974,"Sebastes norvegicus","Golden Redfish",50600,683000
1974,"Sebastes spp","Redfish species",25300,164000
1974,"Solea solea","Common sole",18464,86710
1974,"Sprattus sprattus","Sprat",708900,4750000
1974,"Squalus acanthias","Spurdog",45700,119000
1974,"Squatina squatina","Angel shark",3,0
1974,"Trisopterus esmarkii","Norway pout",6850,0
1974,"Urophycis tenuis","White hake",4400,0
1975,"Amblyraja radiata","Thorny skate",3210,0
1975,"Ammodytes spp","Sand eel",0,0
1975,"Argentina silus","Greater silver smelt",0,0
1975,"Clupea harengus","Herring",950600,4448700
1975,"Coryphaenoides rupestris","Roundnose grenadier",29900,0
1975,"Gadus morhua","Atlantic Cod",3990,12600
1975,"Gadus morhua","Atlantic cod",1808330,4589600
1975,"Glyptocephalus cynoglossus","Witch flounder",1840,0
1975,"Hippoglossoides platessoides","American Plaice",44940,345000
1975,"Lamna nasus","Porbeagle shark",1060,0
1975,"Limanda ferruginea","Yellowtail Flounder",22900,43300
1975,"Limanda limanda","Dab",1530,0
1975,"Mallotus villosus","Capelin",1440000,7810000
1975,"Melanogrammus aeglefinus","Haddock",693000,2608000
1975,"Merlangius merlangus","Whiting",12,0
1975,"Microstomus kitt","Lemon sole",0,0
1975,"Molva dypterygia","Blue ling",14200,0
1975,"Mullus surmuletus","Striped red mullet",539,0
1975,"Nephrops norvegicus","Norway lobster",7245,0
1975,"Pagellus bogaraveo","Red seabream",12800,0
1975,"Pandalus borealis","Northern shrimp",10030,1.9
1975,"Platichthys flesus","European flounder",8450,0
1975,"Pleuronectes platessa","European Plaice",195163,465000
1975,"Pollachius virens","Pollock",579600,1692000
1975,"Reinhardtius hippoglossoides","Greenland halibut",23546010,133000
1975,"Sardina pilchardus","Sardine",5290,0
1975,"Scophthalmus maximus","Turbot",183,0
1975,"Scophthalmus rhombus","Brill",40,0
1975,"Sebastes mentella","Beaked Redfish",4400,0
1975,"Sebastes norvegicus","Golden Redfish",61900,703000
1975,"Sebastes spp","Redfish species",26900,166000
1975,"Solea solea","Common sole",21317,83140
1975,"Sprattus sprattus","Sprat",953600,5390000
1975,"Squalus acanthias","Spurdog",44100,114000
1975,"Squatina squatina","Angel shark",32,0
1975,"Trisopterus esmarkii","Norway pout",8660,0
1975,"Urophycis tenuis","White hake",7780,0
1976,"Amblyraja radiata","Thorny skate",1590,0
1976,"Ammodytes spp","Sand eel",17,0
1976,"Argentina silus","Greater silver smelt",0,0
1976,"Clupea harengus","Herring",709370,3839200
1976,"Coryphaenoides rupestris","Roundnose grenadier",4730,0
1976,"Gadus morhua","Atlantic Cod",4820,12200
1976,"Gadus morhua","Atlantic cod",1814330,4482900
1976,"Glyptocephalus cynoglossus","Witch flounder",1500,0
1976,"Hippoglossoides platessoides","American Plaice",53130,358000
1976,"Lamna nasus","Porbeagle shark",1190,0
1976,"Limanda ferruginea","Yellowtail Flounder",8060,35000
1976,"Limanda limanda","Dab",1460,0
1976,"Mallotus villosus","Capelin",2590000,6420000
1976,"Melanogrammus aeglefinus","Haddock",565338,1471000
1976,"Merlangius merlangus","Whiting",18,0
1976,"Microstomus kitt","Lemon sole",0,0
1976,"Molva dypterygia","Blue ling",19200,0
1976,"Mullus surmuletus","Striped red mullet",1510,0
1976,"Nephrops norvegicus","Norway lobster",6893,0
1976,"Pagellus bogaraveo","Red seabream",9100,0
1976,"Pandalus borealis","Northern shrimp",13240,1.93
1976,"Platichthys flesus","European flounder",7490,0
1976,"Pleuronectes platessa","European Plaice",167142,482000
1976,"Pollachius virens","Pollock",698100,1547000
1976,"Reinhardtius hippoglossoides","Greenland halibut",6095410,135000
1976,"Sardina pilchardus","Sardine",3760,0
1976,"Scophthalmus maximus","Turbot",383,0
1976,"Scophthalmus rhombus","Brill",48,0
1976,"Sebastes mentella","Beaked Redfish",59700,0
1976,"Sebastes norvegicus","Golden Redfish",94400,707000
1976,"Sebastes spp","Redfish species",34500,171000
1976,"Solea solea","Common sole",17966,73130
1976,"Sprattus sprattus","Sprat",828400,3420000
1976,"Squalus acanthias","Spurdog",44100,109000
1976,"Squatina squatina","Angel shark",26,0
1976,"Trisopterus esmarkii","Norway pout",19900,0
1976,"Urophycis tenuis","White hake",4750,0
1977,"Amblyraja radiata","Thorny skate",2700,0
1977,"Ammodytes spp","Sand eel",67,0
1977,"Argentina silus","Greater silver smelt",1,0
1977,"Cetorhinus maximus","Basking shark",3680,0
1977,"Clupea harengus","Herring",483230,3519600
1977,"Coryphaenoides rupestris","Roundnose grenadier",9350,0
1977,"Gadus morhua","Atlantic Cod",3060,12500
1977,"Gadus morhua","Atlantic cod",1857619,5133900
1977,"Glyptocephalus cynoglossus","Witch flounder",1620,0
1977,"Hippoglossoides platessoides","American Plaice",45630,362000
1977,"Lamna nasus","Porbeagle shark",834,0
1977,"Limanda ferruginea","Yellowtail Flounder",11600,41300
1977,"Limanda limanda","Dab",1050,0
1977,"Mallotus villosus","Capelin",2990000,4800000
1977,"Melanogrammus aeglefinus","Haddock",375737,1111000
1977,"Merlangius merlangus","Whiting",7,0
1977,"Microstomus kitt","Lemon sole",0,0
1977,"Molva dypterygia","Blue ling",30300,0
1977,"Mullus surmuletus","Striped red mullet",798,0
1977,"Nephrops norvegicus","Norway lobster",8069,0
1977,"Pagellus bogaraveo","Red seabream",9550,0
1977,"Pandalus borealis","Northern shrimp",21830,1.96
1977,"Platichthys flesus","European flounder",9600,0
1977,"Pleuronectes platessa","European Plaice",177896,478000
1977,"Pollachius pollachius","European pollack",0,0
1977,"Pollachius virens","Pollock",457800,1267000
1977,"Pollachius virens","Pollock or saithe",0,0
1977,"Reinhardtius hippoglossoides","Greenland halibut",16646800,157000
1977,"Sardina pilchardus","Sardine",15100,0
1977,"Scophthalmus maximus","Turbot",736,0
1977,"Scophthalmus rhombus","Brill",67,0
1977,"Sebastes mentella","Beaked Redfish",0,0
1977,"Sebastes norvegicus","Golden Redfish",53700,717000
1977,"Sebastes spp","Redfish species",47500,174000
1977,"Solea solea","Common sole",18623,76480
1977,"Sprattus sprattus","Sprat",584200,4020000
1977,"Squalus acanthias","Spurdog",42300,104000
1977,"Squatina squatina","Angel shark",29,0
1977,"Trisopterus esmarkii","Norway pout",5210,0
1977,"Urophycis tenuis","White hake",4780,0
1978,"Amblyraja radiata","Thorny skate",2540,0
1978,"Ammodytes spp","Sand eel",0,0
1978,"Argentina silus","Greater silver smelt",409,0
1978,"Cetorhinus maximus","Basking shark",3640,0
1978,"Clupea harengus","Herring",378360,3500600
1978,"Coryphaenoides rupestris","Roundnose grenadier",12300,0
1978,"Dicentrarchus labrax","European seabass",576,0
1978,"Gadus morhua","Atlantic Cod",3650,13800
1978,"Gadus morhua","Atlantic cod",1733640,4987100
1978,"Glyptocephalus cynoglossus","Witch flounder",1660,0
1978,"Hippoglossoides platessoides","American Plaice",51340,356000
1978,"Lamna nasus","Porbeagle shark",763,0
1978,"Limanda ferruginea","Yellowtail Flounder",15500,45300
1978,"Limanda limanda","Dab",1140,0
1978,"Mallotus villosus","Capelin",1920000,4250000
1978,"Melanogrammus aeglefinus","Haddock",262084,1093300
1978,"Merlangius merlangus","Whiting",188030,632000
1978,"Merluccius merluccius","Hake",50600,119000
1978,"Microstomus kitt","Lemon sole",0,0
1978,"Molva dypterygia","Blue ling",13000,0
1978,"Mullus surmuletus","Striped red mullet",587,0
1978,"Nephrops norvegicus","Norway lobster",9295,0
1978,"Pagellus bogaraveo","Red seabream",7090,0
1978,"Pandalus borealis","Northern shrimp",41900,1.99
1978,"Platichthys flesus","European flounder",8120,0
1978,"Pleuronectes platessa","European Plaice",161013,473000
1978,"Pollachius pollachius","European pollack",0,0
1978,"Pollachius virens","Pollock",360100,1101000
1978,"Pollachius virens","Pollock or saithe",0,0
1978,"Reinhardtius hippoglossoides","Greenland halibut",14349300,168000
1978,"Sardina pilchardus","European pilchard",146000,528000
1978,"Sardina pilchardus","Sardine",6310,0
1978,"Scophthalmus maximus","Turbot",525,0
1978,"Scophthalmus rhombus","Brill",40,0
1978,"Sebastes mentella","Beaked Redfish",9300,0
1978,"Sebastes norvegicus","Golden Redfish",48800,743000
1978,"Sebastes spp","Redfish species",20000,181000
1978,"Solea solea","Common sole",21180,81160
1978,"Sprattus sprattus","Sprat",615800,2730000
1978,"Squalus acanthias","Spurdog",47200,99000
1978,"Squatina squatina","Angel shark",24,0
1978,"Trachurus picturatus","Blue jack mackerel",3000,0
1978,"Trisopterus esmarkii","Norway pout",23300,0
1978,"Urophycis tenuis","White hake",3640,0
1979,"Amblyraja radiata","Thorny skate",1710,0
1979,"Ammodytes spp","Sand eel",0,0
1979,"Argentina silus","Greater silver smelt",103,0
1979,"Brosme brosme","Tusk",0,0
1979,"Cetorhinus maximus","Basking shark",5270,0
1979,"Clupea harengus","Herring",353260,3513900
1979,"Coryphaenoides rupestris","Roundnose grenadier",6150,0
1979,"Dicentrarchus labrax","European seabass",550,0
1979,"Gadus morhua","Atlantic Cod",4650,16300
1979,"Gadus morhua","Atlantic cod",1614260,4735800
1979,"Glyptocephalus cynoglossus","Witch flounder",1570,0
1979,"Hippoglossoides platessoides","American Plaice",49400,351000
1979,"Lamna nasus","Porbeagle shark",864,0
1979,"Limanda ferruginea","Yellowtail Flounder",18400,46000
1979,"Limanda limanda","Dab",1640,0
1979,"Mallotus villosus","Capelin",2760000,4160000
1979,"Melanogrammus aeglefinus","Haddock",321555,1665200
1979,"Merlangius merlangus","Whiting",244003,715000
1979,"Merluccius merluccius","Hake",51100,128000
1979,"Microstomus kitt","Lemon sole",0,0
1979,"Molva dypterygia","Blue ling",10100,0
1979,"Molva molva","Ling",0,0
1979,"Mullus surmuletus","Striped red mullet",543,0
1979,"Nephrops norvegicus","Norway lobster",12964,0
1979,"Pagellus bogaraveo","Red seabream",7010,0
1979,"Pandalus borealis","Northern shrimp",37177,2.06
1979,"Platichthys flesus","European flounder",7360,0
1979,"Pleuronectes platessa","European Plaice",213988,456000
1979,"Pollachius pollachius","European pollack",0,0
1979,"Pollachius virens","Pollock",335200,1028000
1979,"Pollachius virens","Pollock or saithe",0,0
1979,"Reinhardtius hippoglossoides","Greenland halibut",23647300,163000
1979,"Sardina pilchardus","European pilchard",157000,682000
1979,"Sardina pilchardus","Sardine",5800,0
1979,"Scophthalmus maximus","Turbot",406,0
1979,"Scophthalmus rhombus","Brill",30,0
1979,"Sebastes mentella","Beaked Redfish",12820,0
1979,"Sebastes norvegicus","Golden Redfish",77200,760000
1979,"Sebastes spp","Redfish species",23100,191000
1979,"Solea solea","Common sole",23799,78400
1979,"Sprattus sprattus","Sprat",549550,2679000
1979,"Squalus acanthias","Spurdog",38200,93000
1979,"Squatina squatina","Angel shark",19,0
1979,"Trachurus picturatus","Blue jack mackerel",4440,0
1979,"Trisopterus esmarkii","Norway pout",20500,0
1979,"Urophycis tenuis","White hake",2230,0
1980,"Amblyraja radiata","Thorny skate",2540,0
1980,"Ammodytes spp","Sand eel",211,0
1980,"Argentina silus","Greater silver smelt",13,0
1980,"Brosme brosme","Tusk",0,0
1980,"Cetorhinus maximus","Basking shark",3730,0
1980,"Clupea harengus","Herring",440006,4159300
1980,"Coryphaenoides rupestris","Roundnose grenadier",17400,0
1980,"Dicentrarchus labrax","European seabass",460,0
1980,"Gadus morhua","Atlantic Cod",7240,22800
1980,"Gadus morhua","Atlantic cod",1692800,4773300
1980,"Glyptocephalus cynoglossus","Witch flounder",1880,0
1980,"Hippoglossoides platessoides","American Plaice",50350,351000
1980,"Lamna nasus","Porbeagle shark",932,0
1980,"Limanda ferruginea","Yellowtail Flounder",12400,43500
1980,"Limanda limanda","Dab",1760,0
1980,"Lophius budegassa","Black bellied angler",2110,0
1980,"Lophius piscatorius","White anglerfish",4820,15200
1980,"Mallotus villosus","Capelin",2334000,6720000
1980,"Melanogrammus aeglefinus","Haddock",357178,1890100
1980,"Merlangius merlangus","Whiting",239762,670000
1980,"Merluccius merluccius","Hake",57300,127000
1980,"Micromesistius poutassou","Blue whiting",0,0
1980,"Microstomus kitt","Lemon sole",0,0
1980,"Molva dypterygia","Blue ling",22300,0
1980,"Molva molva","Ling",0,0
1980,"Mullus surmuletus","Striped red mullet",743,0
1980,"Nephrops norvegicus","Norway lobster",9168,0
1980,"Pagellus bogaraveo","Red seabream",6915,0
1980,"Pandalus borealis","Northern shrimp",47880,2.3
1980,"Platichthys flesus","European flounder",8800,0
1980,"Pleuronectes platessa","European Plaice",174769,477600.815
1980,"Pollachius pollachius","European pollack",0,0
1980,"Pollachius virens","Pollock",315200,971000
1980,"Pollachius virens","Pollock or saithe",57700,312000
1980,"Reinhardtius hippoglossoides","Greenland halibut",31245100,131000
1980,"Sardina pilchardus","European pilchard",195000,855000
1980,"Sardina pilchardus","Sardine",5540,0
1980,"Scomber scombrus","Mackerel",735000,5920000
1980,"Scophthalmus maximus","Turbot",233,0
1980,"Scophthalmus rhombus","Brill",26,0
1980,"Sebastes mentella","Beaked Redfish",20600,0
1980,"Sebastes norvegicus","Golden Redfish",89200,750000
1980,"Sebastes spp","Redfish species",24000,198000
1980,"Solea solea","Common sole",17103,67890
1980,"Sprattus sprattus","Sprat",457900,2794000
1980,"Squalus acanthias","Spurdog",41000,89000
1980,"Squatina squatina","Angel shark",18.7,0
1980,"Trachurus picturatus","Blue jack mackerel",3350,0
1980,"Trisopterus esmarkii","Norway pout",4800,0
1980,"Urophycis tenuis","White hake",3160,0
1981,"Amblyraja radiata","Thorny skate",2790,0
1981,"Ammodytes spp","Sand eel",5970,0
1981,"Argentina silus","Greater silver smelt",525,0
1981,"Brosme brosme","Tusk",0,0
1981,"Cetorhinus maximus","Basking shark",1800,0
1981,"Clupea harengus","Herring",656480,5399700
1981,"Coryphaenoides rupestris","Roundnose grenadier",2950,0
1981,"Dicentrarchus labrax","European seabass",370,0
1981,"Gadus morhua","Atlantic Cod",10600,20700
1981,"Gadus morhua","Atlantic cod",1772030,4483400
1981,"Glyptocephalus cynoglossus","Witch flounder",1930,0
1981,"Hippoglossoides platessoides","American Plaice",50832,330000
1981,"Lamna nasus","Porbeagle shark",777,0
1981,"Limanda ferruginea","Yellowtail Flounder",14700,47200
1981,"Limanda limanda","Dab",1870,0
1981,"Lophius budegassa","Black bellied angler",2300,0
1981,"Lophius piscatorius","White anglerfish",5570,16200
1981,"Mallotus villosus","Capelin",2616000,3900000
1981,"Melanogrammus aeglefinus","Haddock",380124,1453900
1981,"Merlangius merlangus","Whiting",227796,720600
1981,"Merluccius merluccius","Hake",53900,109000
1981,"Micromesistius poutassou","Blue whiting",923000,3340000
1981,"Microstomus kitt","Lemon sole",0,0
1981,"Molva dypterygia","Blue ling",13200,0
1981,"Molva molva","Ling",0,0
1981,"Mullus surmuletus","Striped red mullet",424,0
1981,"Nephrops norvegicus","Norway lobster",23156,0
1981,"Pagellus bogaraveo","Red seabream",4307,0
1981,"Pandalus borealis","Northern shrimp",44630,2.36
1981,"Platichthys flesus","European flounder",8600,0
1981,"Pleuronectes platessa","European Plaice",182736,447800.926
1981,"Pollachius pollachius","European pollack",0,0
1981,"Pollachius virens","Pollock",354100,1062000
1981,"Pollachius virens","Pollock or saithe",57500,305000
1981,"Reinhardtius hippoglossoides","Greenland halibut",19239200,115000
1981,"Sardina pilchardus","European pilchard",217000,1020000
1981,"Sardina pilchardus","Sardine",6180,0
1981,"Scomber scombrus","Mackerel",754000,5710000
1981,"Scophthalmus maximus","Turbot",207,0
1981,"Scophthalmus rhombus","Brill",23,0
1981,"Sebastes mentella","Beaked Redfish",39100,0
1981,"Sebastes norvegicus","Golden Redfish",102000,720000
1981,"Sebastes spp","Redfish species",30300,202000
1981,"Solea solea","Common sole",16673,77760
1981,"Sprattus sprattus","Sprat",339400,1790000
1981,"Squalus acanthias","Spurdog",40000,84500
1981,"Squatina squatina","Angel shark",19.5,0
1981,"Trachurus picturatus","Blue jack mackerel",2520,0
1981,"Trisopterus esmarkii","Norway pout",7760,0
1981,"Urophycis tenuis","White hake",2740,0
1982,"Amblyraja radiata","Thorny skate",1320,0
1982,"Ammodytes spp","Sand eel",18290,0
1982,"Argentina silus","Greater silver smelt",666,0
1982,"Brosme brosme","Tusk",5880,40200
1982,"Cetorhinus maximus","Basking shark",2160,0
1982,"Clupea harengus","Herring",809560,6219900
1982,"Coryphaenoides rupestris","Roundnose grenadier",12600,0
1982,"Dicentrarchus labrax","European seabass",691,0
1982,"Gadus morhua","Atlantic Cod",8770,19000
1982,"Gadus morhua","Atlantic cod",1644480,4071700
1982,"Glyptocephalus cynoglossus","Witch flounder",3160,0
1982,"Hippoglossoides platessoides","American Plaice",51380,309000
1982,"Lamna nasus","Porbeagle shark",636,0
1982,"Limanda ferruginea","Yellowtail Flounder",13300,49000
1982,"Limanda limanda","Dab",2210,0
1982,"Lophius budegassa","Black bellied angler",2370,0
1982,"Lophius piscatorius","White anglerfish",5780,15400
1982,"Mallotus villosus","Capelin",1760000,3780000
1982,"Melanogrammus aeglefinus","Haddock",385269,1249200
1982,"Merlangius merlangus","Whiting",177512,614500
1982,"Merluccius merluccius","Hake",72600,152700
1982,"Micromesistius poutassou","Blue whiting",551000,2780000
1982,"Microstomus kitt","Lemon sole",0,0
1982,"Molva dypterygia","Blue ling",10900,0
1982,"Molva molva","Ling",4990,15300
1982,"Mullus surmuletus","Striped red mullet",537,0
1982,"Nephrops norvegicus","Norway lobster",26738,0
1982,"Pagellus bogaraveo","Red seabream",4439,0
1982,"Pandalus borealis","Northern shrimp",63435,2.68
1982,"Platichthys flesus","European flounder",10030,0
1982,"Pleuronectes platessa","European Plaice",212366,500800.904
1982,"Pollachius pollachius","European pollack",0,0
1982,"Pollachius virens","Pollock",401000,1061000
1982,"Pollachius virens","Pollock or saithe",67900,294000
1982,"Reinhardtius hippoglossoides","Greenland halibut",32436100,121000
1982,"Sardina pilchardus","European pilchard",207000,950000
1982,"Sardina pilchardus","Sardine",3290,0
1982,"Scomber scombrus","Mackerel",717000,5410000
1982,"Scophthalmus maximus","Turbot",182,0
1982,"Scophthalmus rhombus","Brill",36,0
1982,"Sebastes mentella","Beaked Redfish",91200,0
1982,"Sebastes norvegicus","Golden Redfish",130000,663000
1982,"Sebastes spp","Redfish species",29500,198000
1982,"Solea solea","Common sole",26481,104440
1982,"Sprattus sprattus","Sprat",222400,1381000
1982,"Squalus acanthias","Spurdog",32400,80500
1982,"Squatina squatina","Angel shark",18,0
1982,"Trachurus picturatus","Blue jack mackerel",2860,0
1982,"Trachurus trachurus","Horse mackerel",65240,2720000
1982,"Trisopterus esmarkii","Norway pout",4910,0
1982,"Urophycis tenuis","White hake",2710,0
1983,"Amblyraja radiata","Thorny skate",1800,0
1983,"Ammodytes spp","Sand eel",580600,1027000
1983,"Argentina silus","Greater silver smelt",599,0
1983,"Brosme brosme","Tusk",8290,41200
1983,"Cetorhinus maximus","Basking shark",1760,0
1983,"Clupea harengus","Herring",925630,6933300
1983,"Coryphaenoides rupestris","Roundnose grenadier",10300,0
1983,"Dicentrarchus labrax","European seabass",522,0
1983,"Eutrigla gurnardus","Grey gurnard",0,0
1983,"Gadus morhua","Atlantic Cod",9640,18500
1983,"Gadus morhua","Atlantic cod",1438680,3588300
1983,"Glyptocephalus cynoglossus","Witch flounder",3610,0
1983,"Hippoglossoides platessoides","American Plaice",39590,334000
1983,"Lamna nasus","Porbeagle shark",616,0
1983,"Lepidorhombus whiffiagonis","Megrim",0,0
1983,"Limanda ferruginea","Yellowtail Flounder",10500,52700
1983,"Limanda limanda","Dab",2330,0
1983,"Lophius budegassa","Black bellied angler",2380,0
1983,"Lophius piscatorius","White anglerfish",6110,14200
1983,"Mallotus villosus","Capelin",2933000,4230000
1983,"Melanogrammus aeglefinus","Haddock",356952,1395600
1983,"Merlangius merlangus","Whiting",195793,536200
1983,"Merluccius merluccius","Hake",80400,161700
