"year","scientificname","total_tons"
2003,"dicentrarchus labrax",170317
2003,"lepidorhombus whiffiagonis",172835
2003,"lophius budegassa",164502
2003,"lophius piscatorius",164501
2003,"merluccius merluccius",164795
2003,"nephrops norvegicus",97317
2003,"sardina pilchardus",161813
2003,"scomber scombrus",172414
2003,"scyliorhinus canicula",160065
2003,"solea solea",173002
2004,"dicentrarchus labrax",170317
2004,"lepidorhombus whiffiagonis",172835
2004,"lophius budegassa",164502
2004,"lophius piscatorius",164501
2004,"merluccius merluccius",164795
2004,"nephrops norvegicus",97317
2004,"sardina pilchardus",161813
2004,"scomber scombrus",172414
2004,"scyliorhinus canicula",160065
2004,"solea solea",173002
2005,"dicentrarchus labrax",170317
2005,"lepidorhombus whiffiagonis",172835
2005,"lophius budegassa",164502
2005,"lophius piscatorius",164501
2005,"merluccius merluccius",164795
2005,"nephrops norvegicus",97317
2005,"sardina pilchardus",161813
2005,"scomber scombrus",172414
2005,"scyliorhinus canicula",160065
2005,"solea solea",173002
2006,"dicentrarchus labrax",170317
2006,"lepidorhombus whiffiagonis",172835
2006,"lophius budegassa",164502
2006,"lophius piscatorius",164501
2006,"merluccius merluccius",164795
2006,"nephrops norvegicus",97317
2006,"sardina pilchardus",161813
2006,"scomber scombrus",172414
2006,"scyliorhinus canicula",160065
2006,"solea solea",173002
2007,"dicentrarchus labrax",170317
2007,"lepidorhombus whiffiagonis",172835
2007,"lophius budegassa",164502
2007,"lophius piscatorius",164501
2007,"merluccius merluccius",164795
2007,"nephrops norvegicus",97317
2007,"sardina pilchardus",161813
2007,"scomber scombrus",172414
2007,"scyliorhinus canicula",160065
2007,"solea solea",173002
2008,"dicentrarchus labrax",170317
2008,"lepidorhombus whiffiagonis",172835
2008,"lophius budegassa",164502
2008,"lophius piscatorius",164501
2008,"merluccius merluccius",164795
2008,"nephrops norvegicus",97317
2008,"sardina pilchardus",161813
2008,"scomber scombrus",172414
2008,"scyliorhinus canicula",160065
2008,"solea solea",173002
2009,"dicentrarchus labrax",170317
2009,"lepidorhombus whiffiagonis",172835
2009,"lophius budegassa",164502
2009,"lophius piscatorius",164501
2009,"merluccius merluccius",164795
2009,"nephrops norvegicus",97317
2009,"sardina pilchardus",161813
2009,"scomber scombrus",172414
2009,"scyliorhinus canicula",160065
2009,"solea solea",173002
2010,"dicentrarchus labrax",170317
2010,"lepidorhombus whiffiagonis",172835
2010,"lophius budegassa",164502
2010,"lophius piscatorius",164501
2010,"merluccius merluccius",164795
2010,"nephrops norvegicus",97317
2010,"sardina pilchardus",161813
2010,"scomber scombrus",172414
2010,"scyliorhinus canicula",160065
2010,"solea solea",173002
2011,"dicentrarchus labrax",170317
2011,"lepidorhombus whiffiagonis",172835
2011,"lophius budegassa",164502
2011,"lophius piscatorius",164501
2011,"merluccius merluccius",164795
2011,"nephrops norvegicus",97317
2011,"raja undulata",160900
2011,"sardina pilchardus",161813
2011,"scomber scombrus",172414
2011,"scyliorhinus canicula",160065
2011,"solea solea",173002
2012,"dicentrarchus labrax",170317
2012,"lepidorhombus whiffiagonis",172835
2012,"lophius budegassa",164502
2012,"lophius piscatorius",164501
2012,"merluccius merluccius",164795
2012,"nephrops norvegicus",97317
2012,"raja undulata",160900
2012,"sardina pilchardus",161813
2012,"scomber scombrus",172414
2012,"scyliorhinus canicula",160065
2012,"solea solea",173002
2013,"dicentrarchus labrax",170317
2013,"lepidorhombus whiffiagonis",172835
2013,"lophius budegassa",164502
2013,"lophius piscatorius",164501
2013,"merluccius merluccius",164795
2013,"nephrops norvegicus",97317
2013,"raja undulata",160900
2013,"sardina pilchardus",161813
2013,"scomber scombrus",172414
2013,"scyliorhinus canicula",160065
2013,"solea solea",173002
2014,"dicentrarchus labrax",170317
2014,"lepidorhombus whiffiagonis",172835
2014,"lophius budegassa",164502
2014,"lophius piscatorius",164501
2014,"merluccius merluccius",164795
2014,"nephrops norvegicus",97317
2014,"raja undulata",160900
2014,"sardina pilchardus",161813
2014,"scomber scombrus",172414
2014,"scyliorhinus canicula",160065
2014,"solea solea",173002
2015,"dicentrarchus labrax",170317
2015,"lepidorhombus whiffiagonis",172835
2015,"lophius budegassa",164502
2015,"lophius piscatorius",164501
2015,"merluccius merluccius",164795
2015,"nephrops norvegicus",97317
2015,"raja undulata",160900
2015,"sardina pilchardus",161813
2015,"scomber scombrus",172414
2015,"scyliorhinus canicula",160065
2015,"solea solea",173002
2016,"dicentrarchus labrax",170317
2016,"lepidorhombus whiffiagonis",172835
2016,"lophius budegassa",164502
2016,"lophius piscatorius",164501
2016,"merluccius merluccius",164795
2016,"nephrops norvegicus",97317
2016,"raja undulata",160900
2016,"sardina pilchardus",161813
2016,"scomber scombrus",172414
2016,"scyliorhinus canicula",160065
2016,"solea solea",173002
2017,"lepidorhombus whiffiagonis",172835
2017,"lophius budegassa",164502
2017,"lophius piscatorius",164501
2017,"merluccius merluccius",164795
2017,"nephrops norvegicus",97317
2017,"raja undulata",160900
2017,"sardina pilchardus",161813
2017,"scomber scombrus",172414
2017,"solea solea",173002
2018,"lepidorhombus whiffiagonis",172835
2018,"lophius piscatorius",164501
2018,"merluccius merluccius",164795
2018,"sardina pilchardus",161813
2018,"solea solea",173002
