"year","scientificname","total_tons","ESPECIE","STOCK","ZONA_CIEM","TAC.2016","TAC_2017","TAC_2018","TAC_2019","TAC_2020","TAC_2021","ratio_TAC_total"
2004,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2004,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2004,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2004,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2004,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2004,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2004,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2004,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2004,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2004,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2004,"solea solea",173002,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,4.62422399741043e-05
2004,"solea solea",173002,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.00149131223916487
2004,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2004,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2005,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2005,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2005,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2005,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2005,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2005,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2005,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2005,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2005,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2005,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2005,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2005,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2005,"solea solea",173002,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,4.62422399741043e-05
2005,"solea solea",173002,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.00149131223916487
2005,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2005,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2006,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2006,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2006,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2006,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2006,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2006,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2006,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2006,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2006,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2006,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2006,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2006,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2006,"solea solea",173002,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,4.62422399741043e-05
2006,"solea solea",173002,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.00149131223916487
2006,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2006,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2007,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2007,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2007,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2007,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2007,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2007,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2007,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2007,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2007,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2007,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2007,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2007,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2007,"solea solea",173002,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,4.62422399741043e-05
2007,"solea solea",173002,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.00149131223916487
2007,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2007,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2008,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2008,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2008,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2008,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2008,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2008,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2008,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2008,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2008,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2008,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2008,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2008,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2008,"solea solea",173002,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,4.62422399741043e-05
2008,"solea solea",173002,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.00149131223916487
2008,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2008,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2009,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2009,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2009,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2009,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2009,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2009,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2009,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2009,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2009,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2009,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2009,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2009,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2009,"solea solea",173002,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,4.62422399741043e-05
2009,"solea solea",173002,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.00149131223916487
2009,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2009,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2010,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2010,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2010,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2010,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2010,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2010,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2010,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2010,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2010,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2010,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2010,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2010,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2010,"solea solea",173002,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,4.62422399741043e-05
2010,"solea solea",173002,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.00149131223916487
2010,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2010,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2011,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2011,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2011,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2011,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2011,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2011,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2011,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2011,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2011,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2011,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2011,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2011,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2011,"solea solea",173002,"LENGUADO COMÚN ","SOL/8AB ","VIIIa, VIIIb ","8 ","8 ","8 ","9 ","8 ",8,4.62422399741043e-05
2011,"solea solea",173002,"LENGUADOS ","SOO/8CDE34 ","VIIIc, VIIId, VIIIe,IX, X, CPACO 3411 ","403 ","403 ","403 ","403 ","323 ",258,0.00149131223916487
2011,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2011,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2012,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2012,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2012,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2012,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2012,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2012,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2012,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2012,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2012,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2012,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2012,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2012,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2012,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2012,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2013,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2013,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2013,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2013,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2013,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2013,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2013,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2013,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2013,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2013,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2013,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
