"Destinos","Indicadores","Orixe dos viaxeiros","Tempo","DatoN","DatoN_normalized"
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2022,43.7,0.325323475046211
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2023,44.9,0.347504621072089
"Mariña Lucense","Indicador Estacional (1)","Todas",2011,50.3,0.44731977818854
"Mariña Lucense","Indicador Estacional (1)","Todas",2017,38.3,0.22550831792976
"Mariña Lucense","Indicador Estacional (1)","Todas",2018,46.3,0.373382624768946
"Mariña Lucense","Indicador Estacional (1)","Todas",2019,45.7,0.362292051756007
"Mariña Lucense","Indicador Estacional (1)","Todas",2020,54.1,0.517560073937153
"Mariña Lucense","Indicador Estacional (1)","Todas",2021,54.1,0.517560073937153
"Mariña Lucense","Indicador Estacional (1)","Todas",2022,47.8,0.401109057301294
"Mariña Lucense","Indicador Estacional (1)","Todas",2023,42.8,0.308687615526802
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2011,57.6,0.582255083179298
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2017,51,0.460258780036969
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2018,55.7,0.547134935304991
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2019,49.6,0.434380776340111
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2020,60.7,0.639556377079482
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2021,63.6,0.693160813308688
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2022,51.2,0.463955637707948
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2023,51.2,0.463955637707948
"Ría de Arousa","Indicador Estacional (1)","Todas",2011,53.6,0.508317929759704
"Ría de Arousa","Indicador Estacional (1)","Todas",2017,44.4,0.33826247689464
"Ría de Arousa","Indicador Estacional (1)","Todas",2018,54.7,0.528650646950092
"Ría de Arousa","Indicador Estacional (1)","Todas",2019,53.9,0.513863216266174
"Ría de Arousa","Indicador Estacional (1)","Todas",2020,73.5,0.876155268022181
"Ría de Arousa","Indicador Estacional (1)","Todas",2021,63.6,0.693160813308688
"Ría de Arousa","Indicador Estacional (1)","Todas",2022,55.3,0.539741219963031
"Ría de Arousa","Indicador Estacional (1)","Todas",2023,48.3,0.410351201478743
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2011,49.3,0.428835489833641
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2017,52.9,0.495378927911275
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2018,61.4,0.652495378927911
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2019,51.2,0.463955637707948
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2020,73.1,0.868761552680222
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2021,64.1,0.702402957486137
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2022,51.5,0.469500924214418
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2023,53.9,0.513863216266174
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2011,67.1,0.757855822550832
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2017,41,0.275415896487985
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2018,64.1,0.702402957486137
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2019,61.6,0.656192236598891
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2020,78.7,0.972273567467652
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2021,75.3,0.909426987060998
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2022,75.5,0.913123844731978
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2023,54.2,0.519408502772643
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2011,71.3,0.835489833641405
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2017,59.4,0.615526802218115
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2018,64.3,0.706099815157116
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2019,57.8,0.585951940850277
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2020,79.9,0.99445471349353
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2021,80.2,1
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2022,74.5,0.89463955637708
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2023,69.2,0.796672828096118
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2011,36.2,0.186691312384473
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2017,30.1,0.0739371534195933
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2018,34.5,0.155268022181146
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2019,33.9,0.144177449168207
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2020,46,0.367837338262477
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2021,41.1,0.277264325323475
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2022,32.6,0.120147874306839
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2023,27,0.0166358595194085
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2011,38.2,0.22365988909427
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2017,36.7,0.195933456561922
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2018,41.6,0.286506469500924
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2019,34.9,0.162661737523105
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2020,50.7,0.454713493530499
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2021,45.1,0.351201478743068
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2022,34.6,0.157116451016636
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2023,32.9,0.125693160813309
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2011,43.1,0.314232902033272
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2017,35.8,0.179297597042514
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2018,41.6,0.286506469500924
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2019,40.3,0.262476894639556
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2020,62.4,0.67097966728281
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2021,51,0.460258780036969
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2022,42.5,0.303142329020333
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2023,40.7,0.269870609981516
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2011,44.7,0.343807763401109
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2017,44.3,0.33641404805915
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2018,48.1,0.406654343807763
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2019,41.4,0.282809611829944
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2020,61,0.645101663585952
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2021,52.5,0.487985212569316
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2022,41.5,0.284658040665434
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2023,43.4,0.319778188539741
