"CodTempo","Year","Month","Establecementos","Viaxeiros/Noites/Estadía media","Procedencia","Zonas turísticas","DatoN","DatoN_normalized"
199903,"1999","Marzo","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199903,"1999","Marzo","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",5093,0.0663228763787423
199904,"1999","Abril","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",4817.8,0.0627391230743186
199904,"1999","Abril","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",275.1,0.00358245106848459
199904,"1999","Abril","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",10433,0.13586227552708
199904,"1999","Abril","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",9880.2,0.128663515255694
199904,"1999","Abril","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",552.7,0.00719745803544686
199904,"1999","Abril","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",2.1,2.73469547212564e-05
199904,"1999","Abril","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
