"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoN_normalized"
"O Ribeiro","Indicador Poboación (1)","Todas",2011,2011,0.61,3.71965616068781e-06
"Ría de Arousa","Indicador Poboación (1)","Todas",2011,2011,2.39,3.86807552778094e-06
"Ría de Muros e Noia","Indicador Poboación (1)","Todas",2011,2011,0.59,3.71798852734969e-06
"Ría de Vigo e Baixo Miño","Indicador Poboación (1)","Todas",2011,2011,0.59,3.71798852734969e-06
"Ría e Terras de Pontevedra","Indicador Poboación (1)","Todas",2011,2011,0.73,3.72966196071656e-06
"Ribeira Sacra","Indicador Poboación (1)","Todas",2011,2011,0.92,3.74550447742875e-06
"Terras de Ourense e Allariz","Indicador Poboación (1)","Todas",2011,2011,0.5,3.71048417732812e-06
"Terras de Santiago","Indicador Poboación (1)","Todas",2011,2011,1.5,3.79386584423437e-06
"Verín - Viana","Indicador Poboación (1)","Todas",2011,2011,0.33,3.69630929395406e-06
"Galicia","Indicador Poboación (2)","Todas",2011,2011,3.08,3.92560887794625e-06
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2011,2011,2.69,3.89309002785281e-06
"Ancares - Courel","Indicador Poboación (2)","Todas",2011,2011,4.19,4.01816252821219e-06
"Celanova - Limia","Indicador Poboación (2)","Todas",2011,2011,1.26,3.77385424417687e-06
"Costa da Morte","Indicador Poboación (2)","Todas",2011,2011,1.55,3.79803492757969e-06
"Deza - Tabeirós","Indicador Poboación (2)","Todas",2011,2011,1.78,3.81721271096812e-06
"Ferrolterra","Indicador Poboación (2)","Todas",2011,2011,1.89,3.82638469432781e-06
"Lugo e a Terra Chá","Indicador Poboación (2)","Todas",2011,2011,2.5,3.87724751114062e-06
"Manzaneda - Trevinca","Indicador Poboación (2)","Todas",2011,2011,1.76,3.81554507763e-06
"Mariña Lucense","Indicador Poboación (2)","Todas",2011,2011,3.89,3.99314802814031e-06
"O Ribeiro","Indicador Poboación (2)","Todas",2011,2011,2.23,3.85473446107594e-06
"Ría de Arousa","Indicador Poboación (2)","Todas",2011,2011,8.71,4.39504766262844e-06
"Ría de Muros e Noia","Indicador Poboación (2)","Todas",2011,2011,2.16,3.8488977443925e-06
"Ría de Vigo e Baixo Miño","Indicador Poboación (2)","Todas",2011,2011,2.16,3.8488977443925e-06
"Ría e Terras de Pontevedra","Indicador Poboación (2)","Todas",2011,2011,2.66,3.89058857784562e-06
"Ribeira Sacra","Indicador Poboación (2)","Todas",2011,2011,3.37,3.94978956134906e-06
"Terras de Ourense e Allariz","Indicador Poboación (2)","Todas",2011,2011,1.83,3.82138179431344e-06
"Terras de Santiago","Indicador Poboación (2)","Todas",2011,2011,5.49,4.12655869519031e-06
"Verín - Viana","Indicador Poboación (2)","Todas",2011,2011,1.22,3.77051897750062e-06
"Galicia","Indicador Estacional (1)","Todas",2011,2011,37.3,6.77892951947812e-06
"A Coruña e As Mariñas","Indicador Estacional (1)","Todas",2011,2011,31.5,6.29531585142187e-06
"Ancares - Courel","Indicador Estacional (1)","Todas",2011,2011,41.5,7.12913252048437e-06
"Celanova - Limia","Indicador Estacional (1)","Todas",2011,2011,27.4,5.95345101710625e-06
"Costa da Morte","Indicador Estacional (1)","Todas",2011,2011,52.3,8.02965452307187e-06
"Deza - Tabeirós","Indicador Estacional (1)","Todas",2011,2011,24.8,5.73665868315e-06
"Ferrolterra","Indicador Estacional (1)","Todas",2011,2011,41.8,7.15414702055625e-06
"Lugo e a Terra Chá","Indicador Estacional (1)","Todas",2011,2011,25.8,5.82004035005625e-06
"Manzaneda - Trevinca","Indicador Estacional (1)","Todas",2011,2011,27.3,5.94511285041562e-06
"Mariña Lucense","Indicador Estacional (1)","Todas",2011,2011,49.4,7.78784768904375e-06
